,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.000101293,0.0,1.0260271849e-08,0.0,0.0102692,0.0,0.00010545646864,0.0,-0.0515337,0.0,0.00265572223569,0.0,-0.00384483,0.0,0.0,1.47827177289e-05,0.000713329,0.0,5.088382622409999e-07,0.0,0.000646228,0.0,0.0,4.17610627984e-07,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.985193624252991e-29,1.984632244282729e-28,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.00403443,0.003933137,1.62766254249e-05,1.5469566660769005e-05,-0.0322936,-0.0425628,0.00104287660096,0.00181159194384,-0.0680198,-0.0164861,0.00462669319204,0.00027179149321,-0.00389743,-5.259999999999987e-05,2.766759999999986e-09,1.51899606049e-05,0.000674973,-3.835599999999992e-05,4.555885507290001e-07,1.4711827359999935e-09,0.000646228,0.0,0.0,4.17610627984e-07,-8.172849849758817e-31,-8.171124698711396e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040240985636399015,0.02327779310055778,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.00672451,0.00269008,4.521903474010001e-05,7.236530406400002e-06,-0.0421687,-0.0098750999999999,0.0017781992596899,9.751760000999996e-05,-0.0888308999999999,-0.0208110999999999,0.00789092879481,0.0004331018832099,-0.00389743,0.0,0.0,1.51899606049e-05,0.000564768,-0.000110205,3.18962893824e-07,1.2145142025000012e-08,0.000646228,0.0,0.0,4.17610627984e-07,-0.0001656682398102835,-0.0009584429779197239,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346094096018294,0.44673345715611307,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.000217561,-0.006506949,4.733278872099999e-08,4.234038528860101e-05,-0.0422248,-5.610000000001032e-05,0.00178293373504,3.147210000001157e-09,-0.0997406,-0.0109097,0.00994818728836,0.00011902155409,-0.00382171,7.572000000000004e-05,5.733518400000005e-09,1.46054673241e-05,0.000519248,-4.551999999999996e-05,2.69618485504e-07,2.0720703999999967e-09,0.000646228,0.0,0.0,4.17610627984e-07,-0.005906147971908204,-0.01839581841706739,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9267431083988571,1.8190681917204716,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.00143491,0.001217349,2.0589667081e-06,1.481938587801e-06,-0.0177017,0.0245231,0.00031335018289,0.00060138243361,-0.0559892,0.0437514,0.00313479051664,0.00191418500196,-0.0035588,0.0002629099999999,6.912166809999993e-08,1.266505744e-05,0.000354787,-0.000164461,1.2587381536899992e-07,2.7047420521000025e-08,0.000646228,0.0,0.0,4.17610627984e-07,-0.03815311605734524,-0.07491663126671715,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9887057145458567,3.9939038847298822,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.00283861,-0.00427352,8.057706732100001e-06,1.8262973190400007e-05,-0.0202605,-0.0025587999999999,0.0004104878602499,6.547457439999982e-06,-0.0571329,-0.0011437,0.00326416826241,1.308049690000026e-06,-0.00331925,0.0002395499999999,5.738420249999992e-08,1.10174205625e-05,0.000354787,0.0,1.2587381536899992e-07,0.0,0.0007540309999999,0.0001078029999999,1.1621486808999943e-08,5.685627489609996e-07,-0.12304211917510455,-0.16451337571578034,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.620753098714349,6.2764091498255565,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0086621,-0.00582349,7.503197640999999e-05,3.3913035780100005e-05,-0.0594965,-0.039236,0.00353983351225,0.001539463696,-0.0951383,-0.0380054,0.00905129612689,0.00144441042916,-0.00309949,0.00021976,4.829445760000012e-08,9.6068382601e-06,0.000208687,-0.0001460999999999,4.355026396900001e-08,2.1345209999999984e-08,0.000646228,-0.0001078029999999,1.1621486808999943e-08,4.17610627984e-07,-0.2725699916978073,-0.25858911842363685,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.622700541063303,7.993759413641848,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.00627161,0.01493371,3.93330919921e-05,0.0002230156943641,-0.0560494,0.0034470999999999,0.00314153524036,1.1882498409999964e-05,-0.11034,-0.0152017,0.0121749156,0.0002310916828899,-0.00297418,0.00012531,1.57025961e-08,8.8457466724e-06,0.000167058,-4.162900000000003e-05,2.7908375364e-08,1.7329736410000024e-09,0.000646228,0.0,0.0,4.17610627984e-07,-0.47849532262408384,-0.32943841433735466,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.459971741835616,8.810562753759047,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.00251632,-0.00878793,6.331866342399998e-06,7.72277136849e-05,-0.0384244,0.017625,0.00147643451536,0.000310640625,-0.0303393,0.0800007,0.0009204731244899,0.00640011200049,-0.00223365,0.00074053,5.483846809000002e-07,4.989192322499999e-06,0.000221405,5.4347000000000034e-05,4.9020174025000006e-08,2.953596409000003e-09,0.0007198969999999,7.366899999999995e-05,5.427121560999992e-09,5.182516906089999e-07,-0.7188101235251053,-0.3632377231005313,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.508356209454398,8.735567856549778,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.00968249,-0.00716617,9.37506126001e-05,5.135399246890001e-05,-0.0408558,-0.0024314,0.00166919639364,5.911705960000002e-06,-0.0594682,-0.0291289,0.00353646681124,0.00084849281521,-0.00281682,-0.00058317,3.400872489000001e-07,7.934474912399997e-06,0.000475272,0.000253867,2.25883473984e-07,6.444845368899997e-08,0.0008238189999999,0.000103922,1.0799782084e-08,6.786777447609999e-07,-0.9678162531214702,-0.36032879400816564,1
