,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q34,Q34_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.014575,0.0,0.0,0.000212430625,0.0133721,0.0,0.0,0.0001788130584099,0.0986986,0.0,0.0,0.00974141364196,0.000218434,0.0,4.7713412356e-08,0.0,0.000246332,0.0,0.0,6.0679454224e-08,0.000693562,0.0,0.0,4.810282478439999e-07,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0177002999999999,-0.0031252999999999,9.767500089999974e-06,0.0003133006200899,-0.0245893,-0.0379614,0.00144106788996,0.00060463367449,0.0986816,-1.7000000000003124e-05,2.890000000001061e-10,0.00973805817856,0.000175565,-4.286900000000001e-05,3.0823069225e-08,1.8377511610000005e-09,0.000385657,0.0001393249999999,1.9411455625e-08,1.48731321649e-07,0.000757972,6.440999999999999e-05,4.1486480999999975e-09,5.745215527839999e-07,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1891827155884826e-05,0.00018727687866965223,0.0003763235604394407,0.002209659462868784,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0221221,-0.0044218,1.955231524000003e-05,0.00048938730841,-0.025083,-0.0004936999999999,2.4373968999999965e-07,0.000629156889,0.0807103999999999,-0.0179712,0.00032296402944,0.0065141686681599,0.000325824,0.000150259,1.06161278976e-07,2.2577767081e-08,0.000512165,0.000126508,1.6004274064e-08,2.62312987225e-07,0.000693638,-6.433399999999997e-05,4.138863555999998e-09,4.81133675044e-07,-8.286559756004099e-05,-0.00048667602998252163,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012076508588624742,0.0038007282531386855,0.014250280134577185,0.044840728185602224,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0258328,-0.0037106999999999,1.376929448999998e-05,0.0006673335558399,0.0462693,0.0713523,0.00509115071529,0.00214084812249,0.09793,0.0172195999999999,0.00029651462416,0.0095902848999999,0.000443531,0.000117707,1.96719747961e-07,1.3854937848999998e-08,0.000381282,-0.000130883,1.7130359688999996e-08,1.4537596352399998e-07,0.000757972,6.433399999999997e-05,4.138863555999998e-09,5.745215527839999e-07,-0.003137879481611005,-0.00987814423295132,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007958155677997854,0.01575537553201634,0.09390623700037458,0.18586160131634893,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0234417,0.0023910999999999,5.7173592099999845e-06,0.0005495132988899,0.0642948,0.0180254999999999,0.0003249186502499,0.00413382130704,0.0875621999999999,-0.0103677999999999,0.0001074912768399,0.0076671388688399,0.000104414,-0.0003391169999999,1.0902283396e-08,1.1500033968900001e-07,0.000420329,3.9047000000000014e-05,1.5246682090000004e-09,1.76676468241e-07,0.000757972,0.0,0.0,5.745215527839999e-07,-0.020677941169997813,-0.040954754131148643,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591815821350311,0.03489971519096591,0.3058342669193365,0.41164783919528664,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0202582,0.0031834999999999,1.0134672249999992e-05,0.00041039466724,0.0272669,-0.0370279,0.0013710653784099,0.00074348383561,0.076812,-0.0107501999999999,0.0001155668000399,0.005900083344,5.293960000000001e-23,-0.000104414,2.80260124816e-45,1.0902283396e-08,0.000428527,8.197999999999951e-06,6.720720399999918e-11,1.83635389729e-07,0.000687377,-7.059500000000001e-05,4.983654025000002e-09,4.72487140129e-07,-0.06734401442475246,-0.09073657853107878,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774872400336391,0.05513894413750356,0.6814349432396937,0.6502634343149998,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0200657,0.0001924999999999,3.705624999999932e-08,0.00040263231649,-0.0164257,-0.0436926,0.00190904329476,0.00026980362049,0.0578386,-0.0189734,0.00035998990756,0.0033453036499599,5.95747e-05,5.95747e-05,3.54914488009e-09,3.54914488009e-09,0.000494318,6.579100000000005e-05,4.328455681000007e-09,2.44350285124e-07,0.000757972,7.059500000000001e-05,4.983654025000002e-09,5.745215527839999e-07,-0.15005043453540767,-0.14339298416890706,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175950302083786,0.07048296586608375,1.200762135645886,0.8310362568397904,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0183861,0.0016796,2.821056160000011e-06,0.00033804867321,-0.0336559,-0.0172302,0.00029687979204,0.00113271960481,0.0479004,-0.0099381999999999,9.876781923999988e-05,0.00229444832016,0.000214986,0.0001554113,4.6218980196e-08,2.415267216769e-08,0.000411245,-8.307299999999998e-05,6.901123328999995e-09,1.69122450025e-07,0.000583143,-0.0001748289999999,3.0565179240999975e-08,3.4005575844900005e-07,-0.2644051086824778,-0.18335608494695965,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326292389142754,0.0778975312820531,1.8085025019188434,0.9181926967177484,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.021261,-0.0028749,8.265050010000017e-06,0.000452030121,-0.0166477,0.0170082,0.00028927886724,0.00027714591529,0.0528432,0.0049427999999999,2.443127183999997e-05,0.00279240378624,0.00030649,9.150399999999996e-05,9.393612009999998e-08,8.372982015999997e-09,0.000255862,-0.000155383,2.4143876689000013e-08,6.546536304399999e-08,0.000326012,-0.000257131,6.611635116100005e-08,1.06283824144e-07,-0.39822816391122706,-0.20273185521445838,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20673850379785844,0.07740624762127048,2.439514344814728,0.9120472731915645,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.0214113,-0.0001502999999999,2.259008999999972e-08,0.00045844376769,0.0638141999999999,0.0804618999999999,0.0064741173516099,0.0040722521216399,0.0841393999999999,0.0312961999999999,0.0009794521344399,0.0070794386323599,0.000313154,6.66400000000003e-06,9.8065427716e-08,4.44088960000004e-11,0.000338421,8.255900000000001e-05,6.815988481000001e-09,1.1452877324100001e-07,0.000326012,0.0,0.0,1.06283824144e-07,-0.5371755457014371,-0.20156981626770223,1
