,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0581236148,0.0581230009,0.0581219779,0.0581205457,0.0581187043,0.189205,0.0,0.0,0.035798532025,-0.109961,0.0,0.0,0.0120914215209999,0.375956,0.0,0.0,0.141342913936,0.00576729,0.0,0.0,3.3261633944099986e-05,-0.00155069,0.0,2.4046394761e-06,0.0,-0.00178802,0.0,3.1970155204e-06,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0581219779,0.0581164537,0.058107247,0.0580943585,0.0580777888999999,0.213423,0.024218,0.000586511524,0.045549376929,-0.195663,-0.085702,0.007344832804,0.038284009569,0.374162,-0.001794,3.218436000000064e-06,0.139997202244,0.00624093,0.00047364,2.243348496e-07,3.89492072649e-05,-0.00180419,-0.0002535,3.2551015561e-06,6.426225000000003e-08,-0.00200834,-0.00022032,4.0334295556e-06,4.854090239999999e-08,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.504665499051847e-05,0.0004994032738729799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.189249562144441e-05,0.0001867887800537449,0.003608104337972744,0.021180362769831443,0.0581187043,0.0581033599,0.0580777888999999,0.0580419958,0.0579959869,0.215226,0.001803,3.250809000000096e-06,0.046322231076,-0.248666,-0.053003,0.0028093180089999,0.061834779556,0.364818,-0.009344,8.731033600000035e-05,0.133092173124,0.00542294,-0.0008179899999999,6.69107640099999e-07,2.94082782436e-05,-0.00217187,-0.0003676799999999,4.717019296899998e-06,1.3518858239999982e-07,-0.00212407,-0.00011573,4.5116733649e-06,1.3393432900000022e-08,-6.477120533825953e-05,-0.0003803577915926049,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220433499863586,0.010134943254669607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012076625624488444,0.0037821457019320153,0.13662689123171257,0.4297166743286882,0.0581137938999999,0.058083721,0.058033611,0.0579634813,0.0578733559,0.227956,0.0127299999999999,0.0001620528999999,0.051963937936,-0.195368,0.0532979999999999,0.0028406768039999,0.038168655424,0.409905,0.045087,0.002032837569,0.168022109025,0.0053087,-0.00011424,1.3050777600000158e-08,2.8182295689999997e-05,-0.00214469,2.717999999999992e-05,4.599695196099998e-06,7.387523999999951e-10,-0.00194617,0.0001778999999999,3.7875776689e-06,3.1648409999999985e-08,-0.0024526697672134115,-0.007719270713425527,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221873730264663,0.04201181307194061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007958202648849253,0.015632796047591147,0.9003379930064781,1.780649079858,0.058107247,0.0580575392999999,0.0579747247,0.0578588503,0.0577099821999999,0.225918,-0.002038,4.1534440000000486e-06,0.0510389427239999,-0.145992,0.0493759999999999,0.002437989376,0.021313664064,0.417491,0.0075859999999999,5.754739599999972e-05,0.174298735081,0.00533645,2.7750000000000868e-05,7.70062500000048e-10,2.8477698602500005e-05,-0.00191163,0.0002330599999999,3.6543292569e-06,5.431696359999991e-08,-0.00208196,-0.0001357899999999,4.334557441599998e-06,1.843892409999994e-08,-0.016162497410378264,-0.0319995733660867,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911536501214811,0.09305734966211046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025918261879555534,0.03450036917748659,2.9322193606403832,3.9424146962929636,0.0580990637,0.0580248176999999,0.0579011447,0.0577281499,0.0575059808999999,0.219184,-0.0067339999999999,4.534675599999949e-05,0.048041625856,-0.209135,-0.0631429999999999,0.0039870384489999,0.043737448225,0.399426,-0.018065,0.0003263442249999,0.159541129476,0.00525069,-8.576000000000071e-05,7.35477760000012e-09,2.7569745476099995e-05,-0.00191163,0.0,3.6543292569e-06,0.0,-0.00177376,0.0003081999999999,3.146224537600001e-06,9.498723999999989e-08,-0.05263799616492495,-0.07088364251517519,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399703743352247,0.14701781164689093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774888903757093,0.05424904037607788,6.533324313117191,6.2248794041116176,0.0580892442,0.0579855599,0.0578128896999999,0.0575714392,0.0572614954999999,0.22794,0.0087559999999999,7.666753599999976e-05,0.0519566436,-0.246647,-0.0375119999999999,0.0014071501439999,0.0608347426089999,0.398562,-0.000864,7.464960000000544e-07,0.1588516678439999,0.00536785,0.00011716,1.3726465600000165e-08,2.8813813622500008e-05,-0.00179767,0.00011396,3.2316174289e-06,1.2986881600000042e-08,-0.00202695,-0.0002531899999999,4.1085263025e-06,6.410517609999996e-08,-0.11728355141307271,-0.11199387430939033,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27135924468665423,0.18792020009471105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175971675749533,0.06891477076435813,11.512415955831303,7.950750257149199,0.0580777888999999,0.0579397703,0.0577099821999999,0.0573887886,0.0569766982,0.231468,0.0035279999999999,1.2446783999999828e-05,0.0535774350239999,-0.238375,0.0082719999999999,6.842598399999956e-05,0.056822640625,0.394624,-0.0039379999999999,1.5507843999999974e-05,0.155728101376,0.00526489,-0.00010296,1.0600761600000008e-08,2.7719066712100006e-05,-0.00207782,-0.00028015,4.3173359524e-06,7.848402250000015e-08,-0.00201688,1.0070000000000044e-05,4.0678049344e-06,1.0140490000000091e-10,-0.20666615706395286,-0.14316454268150078,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087017705518396,0.20767481021512751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326316395693984,0.07553556643871631,17.33917261566179,8.777824103232005,0.058064698,0.0578874541,0.0575924482,0.0571802805,0.0566517895,0.228263,-0.0032049999999999,1.027202499999973e-05,0.052103997169,-0.176701,0.061674,0.003803682276,0.031223243401,0.383874,-0.0107499999999999,0.0001155624999999,0.147359247876,0.00330316,-0.00196173,3.848384592900002e-06,1.09108659856e-05,-0.00149895,0.00057887,2.2468511025e-06,3.3509047690000024e-07,-0.00220433,-0.00018745,4.8590707489e-06,3.5137502500000015e-08,-0.3112656965223937,-0.1582324755391826,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513033245408334,0.20634649713688283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20673874670281245,0.07422012362410879,23.38904354364485,8.710033134903469,0.0580499719,0.0578286171,0.0574603174,0.0569460087999999,0.0562869981,0.227709,-0.0005539999999999,3.069159999999989e-07,0.051851388681,-0.190296,-0.0135949999999999,0.0001848240249999,0.036212567616,0.410668,0.026794,0.000717918436,0.168648206224,0.00510976,0.0018066,3.2638035599999998e-06,2.6109647257599995e-05,-0.00149971,-7.600000000000402e-07,2.2491300841e-06,5.776000000000612e-13,-0.00197924,0.0002250899999999,3.9173909776000015e-06,5.0665508099999936e-08,-0.4198704915728958,-0.1572446119629924,1
