,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0133668,0.0,0.0,0.00017867134224,0.0828732,0.0,0.00686796727824,0.0,0.00902827,0.0,8.15096591929e-05,0.0,-0.00061046,0.0,0.0,3.726614116e-07,5.90276e-05,0.0,0.0,3.48425756176e-09,0.000129878,0.0,0.0,1.6868294883999997e-08,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.7542246638800876e-30,1.985193624252991e-29,1.9846321380300974e-28,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0134632999999999,-9.649999999999764e-05,9.312249999999545e-09,0.0001812604468899,0.0310931,-0.0517801,0.00096678086761,0.00268117875601,0.00663483,-0.0023934399999999,4.40209691289e-05,5.728555033599998e-06,-0.00061046,0.0,0.0,3.726614116e-07,-0.0,-5.90276e-05,3.48425756176e-09,0.0,0.0,-0.000129878,1.6868294883999997e-08,0.0,-4.373257102809075e-31,-4.372012535908226e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.0002057519124217049,0.0040240985636399015,0.023277790946757478,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0128979,0.0005653999999999,3.196771599999988e-07,0.0001663558244099,-0.0182421,-0.0493352,0.00033277421241,0.0024339619590399,0.00694841,0.0003135799999999,4.828040152810001e-05,9.833241639999996e-08,-0.000508625,0.000101835,1.0370367224999998e-08,2.58699390625e-07,-0.000171663,-0.000171663,2.9468185569e-08,2.9468185569e-08,0.0,0.0,0.0,0.0,-8.864836865705785e-05,-0.000512793591470557,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.003948610182335237,0.14346094096018294,0.4467333803721544,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0125669,0.0003309999999999,1.0956099999999981e-07,0.0001579269756099,0.00267171,0.02091381,7.1380343241e-06,0.0004373874487161,8.51129e-05,-0.0068632971,7.24420574641e-09,4.710484708286842e-05,-0.000460604,4.802099999999993e-05,2.306016440999993e-09,2.1215604481600005e-07,-0.00016536,6.302999999999984e-06,3.972780899999979e-11,2.73439296e-08,0.0,0.0,0.0,0.0,-0.0031603545939549093,-0.00984120104499482,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.01607817551904424,0.9267431083988571,1.8190676957038967,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0103817,0.0021851999999999,4.7750990399999925e-06,0.00010777969489,0.0817511999999999,0.0790794899999999,0.0066832587014399,0.00625356573866,0.0252548,0.0251696871,0.00063780492304,0.0006335131487119,-0.000469561,-8.956999999999921e-06,8.022784899999859e-11,2.20487532721e-07,0.000110652,0.000276012,7.618262414400002e-08,1.2243865104000004e-08,0.0,0.0,0.0,0.0,-0.02041556970449028,-0.04007256393874237,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.03530004448516764,2.9887057145458567,3.993902285098271,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.00760539,0.00277631,7.707897216100004e-06,5.78419570521e-05,0.0573741,-0.0243770999999999,0.00329178735081,0.0005942430044099,0.000118537,-0.025136263,1.4051020369e-08,0.0006318317176051,-0.000984433,-0.000514872,2.650931763840001e-07,9.691083314890002e-07,1.11253e-05,-9.95267e-05,9.90556401289e-09,1.2377230009e-10,0.0,0.0,0.0,0.0,-0.06583931327737359,-0.08798201217297752,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05547226179225097,6.620753098714349,6.276405606229446,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.000145422,0.0077508119999999,6.0075086659344e-05,2.1147558084000006e-08,-0.00748421,-0.06485831,5.60133993241e-05,0.0042066003760561,0.0416161,0.041497563,0.00173189977921,0.0017220477349389,-0.000254758,0.000729675,5.324256056250001e-07,6.4901638564e-08,-0.000245635,-0.0002567602999999,6.592585165609002e-08,6.033655322500002e-08,-0.000276262,-0.000276262,7.632069264399999e-08,7.632069264399999e-08,-0.1458510402268339,-0.13826273019545124,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.07064781798824361,11.622700541063303,7.993753192875747,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.00015259,7.167999999999997e-06,5.138022399999995e-11,2.32837081e-08,-0.00725425,0.0002299599999999,5.2624143062500014e-05,5.288160159999978e-08,0.0411174,-0.0004986999999999,0.00169064058276,2.487016899999977e-07,-0.000179792,7.496599999999999e-05,5.619901155999998e-09,3.2325163264000015e-08,-6.91791e-05,0.0001764559,3.1136684644810007e-08,4.78574787681e-09,-0.000231666,4.459600000000002e-05,1.988803216000001e-09,5.366913555599999e-08,-0.256040806670203,-0.17609289392880179,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.0778626029327274,17.459971741835616,8.810553408736354,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.00013611,-1.6480000000000005e-05,2.7159040000000007e-10,1.85259321e-08,0.0463514,0.05360565,0.00214845228196,0.0028735657119225,0.0518056,0.0106882,0.00268382019136,0.00011423761924,-0.000221239,-4.144700000000001e-05,1.7178538090000011e-09,4.8946695121000007e-08,-5.51084e-05,1.40707e-05,1.9798459849e-10,3.03693575056e-09,-0.000112212,0.0001194539999999,1.4269258115999994e-08,1.2591532944e-08,-0.384632231848723,-0.19408424182704376,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07719448678917888,23.508356209454398,8.735555274277278,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.000253651,0.0001175409999999,1.3815886680999997e-08,6.433882980099998e-08,0.0787753,0.0324239,0.00620554789009,0.00105130929121,0.0415791,-0.0102265,0.00172882155681,0.00010458130225,-0.00034019,-0.0001189509999999,1.4149340400999991e-08,1.157292361e-07,-6.8401e-05,-1.3292599999999995e-05,1.766932147599999e-10,4.6786968009999995e-09,4.5465e-05,0.000157677,2.4862036329e-08,2.067066225e-09,-0.5178743499493553,-0.1924297498031658,1
