,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.000493153,0.0,2.4319988140900013e-07,0.0,-0.0303232,0.0,0.00091949645824,0.0,0.0105132,0.0,0.0,0.00011052737424,-0.000247619,0.0,0.0,6.131516916100002e-08,0.000354811,0.0,0.0,1.2589084572099994e-07,-0.00035351,0.0,1.249693201e-07,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.000602113,-0.0001089599999999,3.625400647690001e-07,1.1872281599999993e-08,-0.0384806999999999,-0.0081574999999999,0.0014807642724899,6.654480624999986e-05,0.0305655,0.0200523,0.0004020947352899,0.00093424979025,-0.000197688,4.993100000000005e-05,2.4931047610000044e-09,3.9080545343999993e-08,0.000123289,-0.000231522,5.3602436483999985e-08,1.5200177521e-08,-0.000485395,-0.000131885,2.35608306025e-07,1.7393653224999998e-08,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014946636327058027,-0.008777300555019862,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.00484068,0.005442793,2.34321828624e-05,2.9623995640849e-05,0.0422176,0.0806983,0.00178232574976,0.00651221562289,0.0906391,0.0600736,0.00360883741696,0.00821544644881,-0.000413413,-0.000215725,4.6537275625000016e-08,1.70910308569e-07,0.00010845,-1.4839000000000012e-05,2.2019592100000038e-10,1.1761402499999998e-08,-0.00029739,0.000188005,8.844081210000003e-08,3.5345880025e-08,2.1636560377372995e-05,0.00012705112988577497,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0565985702520213,-0.17813721521175896,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.00365161,-0.00118907,1.33342555921e-05,1.4138874649e-06,0.0346693,-0.0075482999999999,0.00120196036249,5.697683288999992e-05,0.0695376,-0.0211015,0.00044527330225,0.00483547781376,-0.000372277,4.113600000000005e-05,1.6921704960000039e-09,1.38590164729e-07,0.000101287,-7.162999999999985e-06,5.130856899999979e-11,1.0259056369e-08,-0.000290373,7.017000000000058e-06,8.431647912899997e-08,4.923828900000082e-11,0.0008193136942215855,0.0025783904053528874,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.372972229442166,-0.73846619076564,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.000231383,-0.003882993,5.3538092689e-08,1.5077634638048998e-05,-0.0258648,-0.0605341,0.0006689878790399,0.00366437726281,0.0084260199999999,-0.06111158,0.0037346252100964,7.099781304039996e-05,-0.000305619,6.665799999999993e-05,4.443288963999991e-09,9.3402973161e-08,1.4471099999999998e-23,-0.000101287,1.0259056369e-08,2.0941273521e-46,-0.000266944,2.3428999999999934e-05,7.125909913600001e-08,5.489180409999971e-10,0.0053990984893369925,0.010687957459571785,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2146976816061794,-1.6358425927347826,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.00463962,0.004871003,2.15260737444e-05,2.3726670226009e-05,0.0336575,0.0595223,0.00113282730625,0.00354290419729,0.0674628999999999,0.0590368799999999,0.0034853532001343,0.0045512428764099,-0.000321257,-1.5638000000000002e-05,2.445470440000001e-10,1.0320606004900003e-07,-0.0,-1.4471099999999998e-23,2.0941273521e-46,0.0,-0.00031404,-4.7096e-05,9.862112160000003e-08,2.218033216e-09,0.017583808927463355,0.023673784061258703,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.706490198290989,-2.5846448027479543,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.00281772,-0.0018219,7.9395459984e-06,3.3193196099999982e-06,0.0460181,0.0123606,0.00211766552761,0.0001527844323599,0.0389514,-0.0285114999999999,0.0008129056322499,0.00151721156196,-0.000429212,-0.0001079549999999,1.1654282024999992e-08,1.84222940944e-07,0.000115078,0.000115078,1.3242946084e-08,1.3242946084e-08,-0.000418827,-0.0001047869999999,1.7541605592899998e-07,1.0980315368999991e-08,0.03917880739499968,0.03740058427194029,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.769128708243269,-3.304123315981016,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.00253678,-0.0002809399999999,6.435252768400002e-06,7.892728359999995e-08,-0.0363245,-0.0823426,0.00131946930025,0.00678030377476,-0.00128402,-0.04023542,0.0016188890225764,1.6487073604000003e-06,-0.000295076,0.000134136,1.7992466496000007e-08,8.706984577599999e-08,-0.0,-0.000115078,1.3242946084e-08,0.0,-0.000145712,0.000273115,2.1231986944000002e-08,7.459180322499999e-08,0.06903729975457225,0.04780468565443947,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.182922366378238,-3.65203514210697,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.00584308,0.0033062999999999,3.4141583886399995e-05,1.0931619689999995e-05,0.0269287,0.0632532,0.00072515488369,0.00400096731024,0.0722543,0.07353832,0.0054078845084224,0.00522068386849,-0.000302755,-7.679000000000019e-06,5.896704100000029e-11,9.1660590025e-08,-0.0,0.0,0.0,0.0,-0.000418827,-0.000273115,1.7541605592899998e-07,7.459180322499999e-08,0.10397906931392908,0.05282816605372568,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.689144544659634,-3.6294420988779375,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.00542561,-0.0004174699999999,2.94372438721e-05,1.7428120089999973e-07,0.0611981,0.0342693999999999,0.00374520744361,0.0011743917763599,0.0643588,-0.0078955,6.233892025000001e-05,0.00414205513744,-0.000375866,-7.3111e-05,5.345218321e-09,1.4127524995599998e-07,-1.7568699999999998e-23,-1.7568699999999998e-23,3.086592196899998e-46,3.086592196899998e-46,-0.000324085,9.474199999999998e-05,1.05031087225e-07,8.976046563999997e-09,0.14025882235865317,0.05248777322365921,1
