,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.0303276,0.0,0.0009197633217599,0.0,0.0140652,0.0,0.0,0.00019782985104,-0.0838152999999999,0.0,0.0070250045140899,0.0,-0.000698792,0.0,4.883102592639999e-07,0.0,-0.000538109,0.0,0.0,2.895612958810001e-07,-0.0007386319999999,0.0,0.0,5.455772314239999e-07,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.754397836945005e-30,2.070590875031109e-30,2.0699507451774964e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0285564,-0.0017711999999999,0.00081546798096,3.137149439999989e-06,0.0173642,0.0032989999999999,1.0883400999999964e-05,0.00030151544164,-0.0529689,0.0308463999999999,0.00280570436721,0.0009515003929599,-0.000601465,9.732699999999992e-05,3.61760146225e-07,9.472544928999985e-09,-0.000538109,0.0,0.0,2.895612958810001e-07,-0.0007415809999999,-2.948999999999812e-06,8.696600999998889e-12,5.499423795609996e-07,7.798640716607274e-31,7.797570088799082e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.00020578701557100382,0.0004197203569618515,0.002427802920580066,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.0237713,-0.0047851,0.00056507470369,2.289718201000004e-05,-0.0100913,-0.0274555,0.00075380448025,0.0001018343356899,-0.0465096,0.0064593,0.00216314289216,4.1722556490000014e-05,-0.000698792,-9.732699999999992e-05,4.883102592639999e-07,9.472544928999985e-09,-0.000538109,0.0,0.0,2.895612958810001e-07,-0.000803607,-6.202600000000029e-05,3.847224676000036e-09,6.45784210449e-07,0.00015808281128170507,0.0009146755472819018,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.003949861625546542,0.014963221302270107,0.04659111724017337,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0191216,-0.0046497,0.00036563558656,2.161971009e-05,-0.0203188,-0.0102275,0.0001046017562499,0.0004128536334399,-0.0507959,-0.0042863,0.00258022345681,1.837236769e-05,-0.000644,5.479199999999991e-05,4.147360000000001e-07,3.0021632639999894e-09,-0.000538109,0.0,0.0,2.895612958810001e-07,-0.000502586,0.000301021,9.061364244100005e-08,2.52592687396e-07,0.005635724000654438,0.017557690774893792,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.01608625971508999,0.09666088991549654,0.18970643176936156,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.0191393,1.7700000000002436e-05,0.00036631280449,3.1329000000008624e-10,-0.000764177,0.019554623,0.0003823832806721,5.83966487329e-07,-0.0289974,0.0217985,0.0008408492067599,0.00047517460225,-0.0007164539999999,-7.24539999999999e-05,5.133063341159999e-07,5.249582115999986e-09,-0.000538109,0.0,0.0,2.895612958810001e-07,-0.000502586,0.0,0.0,2.52592687396e-07,0.03640620466789021,0.07151330146067404,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.03532611566141969,0.3117271134205164,0.4164887987102494,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.018419,-0.0007203,0.000339259561,5.188320900000002e-07,0.00608627,0.006850447,4.692862409980901e-05,3.704268251290001e-05,-0.0419733,-0.0129759,0.0017617579128899,0.0001683739808099,-0.000465305,0.0002511489999999,2.16508743025e-07,6.307582020099996e-08,-0.000538109,0.0,0.0,2.895612958810001e-07,-0.000502586,0.0,0.0,2.52592687396e-07,0.11740840687106611,0.1570674713348242,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05553001616402393,0.6905558623880017,0.654458102257392,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.0181745,-0.0002445,0.00033031245025,5.978025000000081e-08,-0.0100365,-0.01612277,0.0002599437124729,0.00010073133225,-0.0534425,-0.0114692,0.00285610080625,0.0001315425486399,-0.000504594,-3.9289000000000016e-05,2.5461510483600004e-07,1.5436255210000019e-09,-0.000538109,0.0,0.0,2.895612958810001e-07,-0.000369835,0.0001327509999999,1.7622828000999992e-08,1.36777927225e-07,0.26008986760506264,0.2469410790431977,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.0707492055129022,1.212267528443255,0.8334430955194152,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.0175501,-0.0006244,0.00030800601001,3.8987536000000084e-07,-0.0132371,-0.0032006,1.024384036000003e-05,0.00017522081641,-0.0598696,-0.0064271,0.00358436900416,4.130761441000007e-05,-0.000454561,5.003300000000005e-05,2.06625702721e-07,2.5033010890000056e-09,-0.000538109,0.0,0.0,2.895612958810001e-07,-0.000502586,-0.0001327509999999,1.7622828000999992e-08,2.52592687396e-07,0.4565865242015225,0.3146914212502593,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.0780149103340288,1.8211048899852103,0.9184765308739143,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.0163664,-0.0011836999999999,0.00026785904896,1.4011456899999985e-06,0.00894371,0.02218081,0.0004919883322561,7.998994856410001e-05,-0.0363551,0.0235145,0.00132169329601,0.00055293171025,-0.000191066,0.000263495,3.6506216356e-08,6.942961502499999e-08,-0.000450098,8.801100000000004e-05,7.745936121000005e-09,2.02588209604e-07,-0.000502586,0.0,0.0,2.52592687396e-07,0.6858980649201349,0.34711239603207655,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07739955565733464,2.4519617260303037,0.910488079603942,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.0137562,-0.0026101999999999,0.00018923303844,6.813144039999991e-06,-0.00820628,-0.01714999,0.0002941221570001,6.73430314384e-05,-0.0328774,0.0034777,0.00108092343076,1.2094397290000002e-05,-0.000186737,4.328999999999992e-06,3.4870707169e-08,1.874024099999993e-11,-0.000417809,3.228900000000001e-05,1.042579521000001e-09,1.74564360481e-07,-0.000400503,0.0001020829999999,1.0420938888999988e-08,1.60402653009e-07,0.9235029856825424,0.34451200836554224,1
