,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0325313,0.0,0.0,0.00105828547969,-0.0989078,0.0,0.0,0.00978275290084,-0.116387,0.0,0.0135459337689999,0.0,-0.000472536,0.0,2.23290271296e-07,0.0,0.000244335,0.0,5.9699592225e-08,0.0,0.000556957,0.0,0.0,3.10201099849e-07,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0300607,0.0024705999999999,6.103864359999983e-06,0.00090364568449,-0.0764479,0.0224599,0.00050444710801,0.0058442814144099,-0.0756634999999999,0.0407235,0.0057249652322499,0.00165840345225,-0.000963531,-0.000490995,9.28391987961e-07,2.4107609002500017e-07,0.000315852,7.1517e-05,9.9762485904e-08,5.114681289e-09,0.000417899,-0.0001390579999999,1.9337127363999992e-08,1.7463957420100004e-07,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0329314,-0.0028706999999999,8.240918489999981e-06,0.00108447710596,-0.0591567,0.0172912,0.00029898559744,0.00349951515489,-0.0678424,0.0078210999999999,0.00460259123776,6.116960520999976e-05,-0.000933827,2.970400000000019e-05,8.720328659289999e-07,8.823276160000111e-10,0.000409081,9.3229e-05,1.67347264561e-07,8.691646441000002e-09,0.000423402,5.502999999999963e-06,3.0283008999999596e-11,1.7926925360399998e-07,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0274644,0.005467,2.9888089e-05,0.00075429326736,-0.0962304,-0.0370737,0.0013744592316899,0.0092602898841599,-0.0875856,-0.0197432,0.00767123732736,0.00038979394624,-0.00129147,-0.000357643,1.6678947609000005e-06,1.2790851544900012e-07,0.000351766,-5.7315e-05,1.23739318756e-07,3.285009225e-09,0.000496093,7.269100000000011e-05,5.2839814810000164e-09,2.461082646490001e-07,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0254711,0.0019933,3.97324489e-06,0.00064877693521,-0.0966441,-0.0004137,1.7114769000000247e-07,0.00934008206481,-0.0753279999999999,0.0122576,0.0056743075839999,0.00015024875776,-0.0008743839999999,0.000417086,7.645473794559995e-07,1.739607313960003e-07,0.000290683,-6.108300000000002e-05,8.4496606489e-08,3.731132889000003e-09,0.00041405,-8.204300000000007e-05,6.731053849000011e-09,1.714374025e-07,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0495506,-0.0240795,0.0005798223202499,0.00245526196036,-0.0799447,0.0166994,0.00027886996036,0.0063911550580899,-0.0867721,-0.0114441,0.00752939733841,0.00013096742481,-0.00162747,-0.000753086,2.6486586009e-06,5.671385233960004e-07,0.00133467,0.001043987,1.7813440089e-06,1.0899088561690003e-06,0.0001318379999999,-0.000282212,7.964361294400001e-08,1.7381258243999998e-08,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0322767,0.0172739,0.00029838762121,0.00104178536289,-0.0349353,0.0450093999999999,0.0020258460883599,0.00122047518609,-0.048706,0.0380661,0.002372274436,0.00144902796921,-0.0001655859999999,0.0014618839999999,2.7418723396e-08,2.137104829456e-06,0.00115467,-0.00018,1.3332628089e-06,3.240000000000001e-08,0.000304974,0.000173136,2.9976074496000015e-08,9.3009140676e-08,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.00592426,0.03820096,0.0014593133449216,3.50968565476e-05,-0.0391913,-0.0042559999999999,1.8113535999999967e-05,0.00153595799569,-0.0155092999999999,0.0331966999999999,0.00024053838649,0.00110202089089,0.000930322,0.0010959079999999,8.654990236839998e-07,1.2010143444639995e-06,-0.000438675,-0.001593345,1.92435755625e-07,2.538748289025e-06,0.000430028,0.000125054,1.5638502916000013e-08,1.8492408078400006e-07,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.00415629,-0.01008055,0.0001016174883025,1.72747465641e-05,-0.0635174,-0.0243261,0.00059175914121,0.00403446010276,-0.0244196,-0.0089103,0.00059631686416,7.939344609000003e-05,0.000510293,-0.0004200289999999,2.60398945849e-07,1.764243608409999e-07,-5.55499e-24,0.000438675,3.0857913900099977e-47,1.92435755625e-07,5.12357e-05,-0.0003787923,1.4348360653929006e-07,2.6250969544899995e-09,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.00524511,0.0094013999999999,8.838632196000002e-05,2.75111789121e-05,-0.0624273,0.0010900999999999,1.1883180099999926e-06,0.00389716778529,-0.0354273,-0.0110077,0.00125509358529,0.00012116945929,0.000131945,-0.000378348,1.7409483025000004e-08,1.4314720910399994e-07,-0.0006132069999999,-0.0006132069999999,3.76022824849e-07,3.76022824849e-07,5.12357e-05,0.0,0.0,2.6250969544899995e-09,1
