,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q39,Q39_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,non_steady_state_outlier00,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.985193624252991e-29,1.9847263425876155e-28,0.0576867774,0.0576861863,0.0576852012,0.057683822,0.0576820487,0.0,3.62523e-06,3.62523e-06,1.3142292552900006e-11,1.3142292552900006e-11,-0.106158,-0.106158,0.0112695209639999,0.0112695209639999,-0.0427682,-0.0427682,0.00182911893124,0.00182911893124,-0.000226308,-0.000226308,5.1215310864e-08,5.1215310864e-08,-0.0,0.0,0.0,0.0,0.000108171,0.000108171,1.1700965241000005e-08,1.1700965241000005e-08,1.621098981077704e-30,1.6207679030749024e-29,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040240985636399015,0.023279700525853264,0.0576852012,0.0576798813999999,0.0576710155,0.0576586041,0.0576426476999999,0.0,0.00579233,0.00578870477,3.350910291422075e-05,3.35510868289e-05,-0.0701735,0.0359844999999999,0.0049243201022499,0.0012948842402499,0.0715035,0.1142716999999999,0.00511275051225,0.01305802142089,8.32517e-05,0.0003095597,6.93084555289e-09,9.582720786408999e-08,-0.000321791,-0.000321791,1.03549447681e-07,1.03549447681e-07,5.47155e-05,-5.34555e-05,2.8574904802500003e-09,2.99378594025e-09,0.0003286058347949617,0.0019011108329281756,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346094096018294,0.4468014577339751,0.0576820487,0.0576672723,0.0576426476999999,0.0576081793,0.0575638727,0.0,0.0109688999999999,0.0051765699999999,2.6796876964899983e-05,0.0001203167672099,0.0483597,0.1185331999999999,0.00233866058409,0.01405011950224,0.148466,0.0769625,0.022042153156,0.00592322640625,2.41486e-05,-5.910310000000001e-05,5.8315488196e-10,3.49317642961e-09,-0.000163214,0.000158577,2.5146664929e-08,2.6638809796e-08,7.2022e-05,1.7306499999999994e-05,2.995149422499998e-10,5.187168484e-09,0.011714947215917688,0.03648922852729344,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9267431083988571,1.8195074685471748,0.0576773201,0.0576483603,0.0576001048,0.0575325696999999,0.0574457775,0.0,0.00727088,-0.0036980199999999,1.3675351920399986e-05,5.2865695974400015e-05,0.037824,-0.0105356999999999,0.001430654976,0.0001110009744899,0.0864771999999999,-0.0619888,0.0074783061198399,0.00384261132544,-0.000754248,-0.0007783966,5.68890045504e-07,6.0590126689156e-07,-0.000338934,-0.00017572,3.08775184e-08,1.14876256356e-07,8.949269999999997e-05,1.7470699999999975e-05,3.0522535848999906e-10,8.008943353289995e-09,0.07567736921941243,0.1486036268413265,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9887057145458567,3.9953205331520145,0.0576710155,0.0576231476,0.0575433971,0.0574318083,0.0572884427,0.0,-0.00795472,-0.0152256,0.00023181889536,6.327757027840001e-05,-0.0536511,-0.0914751,0.00287844053121,0.00836769392001,0.0173349,-0.0691422999999999,0.00030049875801,0.0047806576492899,-0.000897632,-0.0001433839999999,8.05743207424e-07,2.0558971456e-08,-0.000507043,-0.000168109,2.8260635881e-08,2.57092603849e-07,9.27451e-05,3.25240000000003e-06,1.0578105760000194e-11,8.60165357401e-09,0.24405618320553088,0.3263318659202981,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.620753098714349,6.2795473910331046,0.0576631351,0.0575916368,0.0574725387,0.0573059391,0.0570919758,0.0,-0.00380081,0.00415391,1.72549682881e-05,1.44461566561e-05,-0.0936052,-0.0399541,0.00876193346704,0.00159633010681,0.0331219,0.015787,0.00109706025961,0.000249229369,-0.000652459,0.000245173,4.25702746681e-07,6.010979992900002e-08,-0.0005673999999999,-6.035699999999992e-05,3.6429674489999915e-09,3.219427599999999e-07,0.000102637,9.891900000000013e-06,9.784968561000024e-11,1.0534353769000004e-08,0.5406473187889451,0.512953061789403,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.622700541063303,7.99926858113943,0.0576536791,0.0575538315,0.0573875469,0.0571550173,0.056856511,0.0,0.0083149699999999,0.0121157799999999,0.0001467921250083,6.913872610089996e-05,0.00632991,0.09993511,4.00677606081e-05,0.0099870262107121,0.142393,0.1092711,0.020275766449,0.01194017329521,-0.00044804,0.0002044189999999,2.007398416e-07,4.1787127560999986e-08,-0.000507043,6.035699999999992e-05,3.6429674489999915e-09,2.57092603849e-07,-5.28886e-05,-0.0001555256,2.4188212255360005e-08,2.7972040099599993e-09,0.9491037939223126,0.6535118621718671,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.459971741835616,8.81883879154295,0.0576426476999999,0.0575097357,0.0572884427,0.0569791087,0.0565822092,0.0,0.0104261,0.00211113,4.456869876900012e-06,0.00010870356121,0.0828625,0.07653259,0.00686619390625,0.0058572373321081,0.146277,0.0038839999999999,0.021396960729,1.508545599999977e-05,-0.000928865,-0.000480825,8.627901882249998e-07,2.3119268062500002e-07,-0.000391173,0.0001158699999999,1.3425856899999993e-08,1.5301631592899998e-07,0.00013771,0.0001905986,3.6327826321960006e-08,1.8964044100000003e-08,1.4257723808168008,0.7205860429943974,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.508356209454398,8.746710832443645,0.0576300413,0.0574593544,0.0571752504,0.0567782904,0.0562692577,0.0,0.00249682,-0.00792928,6.28734813184e-05,6.234110112399998e-06,0.0124184,-0.0704441,0.0001542166585599,0.00496237122481,0.0463166,-0.0999604,0.00214522743556,0.0099920815681599,-0.00121047,-0.000281605,1.4652376209e-06,7.9301376025e-08,-0.00035752,3.3653000000000025e-05,1.1325244090000012e-09,1.278205504e-07,8.24125e-05,-5.52975e-05,3.057813506250001e-09,6.7918201562500025e-09,1.9196803693291333,0.7148499769821132,1
