,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0272739,0.0,0.0,0.00074386562121,-0.0321312,0.0,0.0,0.00103241401344,-0.0298895999999999,0.0,0.0008933881881599,0.0,0.000515462,0.0,0.0,2.65701073444e-07,0.000274474,0.0,7.533597667600001e-08,0.0,0.000515458,0.0,2.65696949764e-07,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.754419909502045e-30,2.070590875031109e-30,2.069950747329132e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0238909,0.003383,1.1444689000000004e-05,0.00057077510281,-0.0448571999999999,-0.0127259999999999,0.0001619510759999,0.0020121683918399,-0.0425746999999999,-0.0126850999999999,0.0018126050800899,0.0001609117620099,0.000405503,-0.0001099589999999,1.209098168099998e-08,1.6443268300900008e-07,0.000166145,-0.000108329,2.7604161025e-08,1.1735172241000004e-08,0.000583984,6.852600000000007e-05,3.410373122560001e-07,4.695812676000009e-09,9.951119366357128e-31,9.948940449010966e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.00020579148980182929,0.0004197203569618515,0.0024278029249415515,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0191337,0.0047572,2.2630951839999995e-05,0.00036609847569,-0.0429143,0.0019428999999999,3.7748604099999634e-06,0.00184163714449,-0.0407323,0.0018423999999999,0.00165912026329,3.3944377599999524e-06,0.000376085,-2.9418000000000026e-05,8.654187240000012e-10,1.41439927225e-07,0.0003561219999999,0.0001899769999999,1.2682287888399993e-07,3.609126052899998e-08,0.00049702,-8.696400000000003e-05,2.470288804000001e-07,7.562737296000005e-09,0.00020171475799412366,0.0011669675528975306,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.0039500211339070215,0.014963221302270107,0.0465911173956623,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0158199999999999,0.0033137,1.098060769000004e-05,0.0002502723999999,-0.00493818,0.03797612,0.0014421856902544,2.4385621712400004e-05,-0.00632048,0.03441182,3.99484674304e-05,0.0011841733557124,0.000264494,-0.000111591,1.2452551281000004e-08,6.995707603599999e-08,0.000265791,-9.033099999999996e-05,7.064485568099997e-08,8.159689560999994e-09,0.000419067,-7.795300000000007e-05,1.7561715048899997e-07,6.076670209000011e-09,0.007191222712302857,0.022397860923232805,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.016087290122898668,0.09666088991549654,0.18970643277380428,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0107783,0.0050416999999999,2.541873888999998e-05,0.0001161717508899,0.0374594,0.04239758,0.0017975547898563,0.0014032066483599,0.0541291999999999,0.0604496799999999,0.0029299702926399,0.0036541638121023,0.000264494,0.0,0.0,6.995707603599999e-08,0.000265791,0.0,7.064485568099997e-08,0.0,0.000522835,0.000103768,2.73356437225e-07,1.0767797824000014e-08,0.046454568365320394,0.09121352289266871,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.03532943868122766,0.3117271134205164,0.4164888019495329,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.00910789,0.0016704099999999,2.790269568099996e-06,8.295366025210001e-05,0.0279076,-0.0095518,9.123688323999996e-05,0.0007788341377599,0.0461387,-0.0079904999999999,0.00212877963769,6.384809024999986e-05,0.000264494,0.0,0.0,6.995707603599999e-08,0.000265791,0.0,7.064485568099997e-08,0.0,0.000332508,-0.000190327,1.10561570064e-07,3.6224366929000006e-08,0.14981393730574125,0.200296811985261,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05553737750896454,0.6905558623880017,0.6544581094332393,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.00642762,0.00268027,7.183847272900001e-06,4.13142988644e-05,-0.00693198,-0.0348395799999999,0.0012137963345763,4.80523467204e-05,0.00835009,-0.03778861,6.97240030081e-05,0.0014279790457321,0.000264494,0.0,0.0,6.995707603599999e-08,0.000182765,-8.302599999999999e-05,3.3403045225e-08,6.893316675999997e-09,0.000391106,5.859799999999998e-05,1.52963903236e-07,3.4337256039999983e-09,0.33187646572901314,0.3148274502859899,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.0707621283188955,1.212267528443255,0.8334431081165812,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.00934812,-0.0029204999999999,8.529320249999997e-06,8.738734753439999e-05,-0.0283055,-0.02137352,0.0004568273571904,0.00080120133025,-0.0286123,-0.03696239,0.00081866371129,0.0013662182745121,9.46067e-05,-0.0001698873,2.886169470129e-08,8.95042768489e-09,0.000162918,-1.9847e-05,2.6542274724e-08,3.9390340900000005e-10,0.000290057,-0.0001010489999999,8.413306324900003e-08,1.0210900400999994e-08,0.5826075554069231,0.40107256195222973,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.0780343233634423,1.8211048899852103,0.9184765497977575,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.00521819,0.00412993,1.7056321804899992e-05,2.72295068761e-05,-0.0214424,0.0068631,4.710214161000001e-05,0.00045977651776,-0.00732419,0.02128811,5.36437591561e-05,0.0004531836273721,0.000644819,0.0005502123,3.0273357507129e-07,4.157915427610001e-07,-0.000140371,-0.000303289,1.9704017641e-08,9.1984217521e-08,0.000140647,-0.00014941,1.9781578609e-08,2.2323348100000008e-08,0.875210663653061,0.44220295672108995,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07742569363838668,2.4519617260303037,0.9104881050832756,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.00832295,-0.00310476,9.639534657600005e-06,6.927149670250002e-05,0.00906749,0.03050989,0.0009308533878121,8.221937490009997e-05,0.0445801,0.05190429,0.00198738531601,0.0026940553204041,0.000158109,-0.00048671,2.368866241e-07,2.4998455881e-08,0.000265791,0.000406162,7.064485568099997e-08,1.6496757024399996e-07,0.000159918,1.9270999999999985e-05,2.5573766724e-08,3.713714409999994e-10,1.1783961820608342,0.43863720783710664,1
