,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-2.74441e-05,0.0,0.0,7.531786248099999e-10,0.0274997,0.0,0.00075623350009,0.0,0.0437547,0.0,0.0,0.0019144737720899,0.000640194,0.0,4.0984835763599993e-07,0.0,-0.0,0.0,0.0,0.0,7.87742e-05,0.0,0.0,6.20537458564e-09,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.159732514968135e-30,-9.157432364968695e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.000169005,0.0001964491,3.859224889081e-08,2.8562690025000005e-08,0.0280198,0.0005200999999999,0.0007851091920399,2.705040099999954e-07,0.0225934,-0.0211612999999999,0.0004478006176899,0.00051046172356,0.00055591,-8.428400000000001e-05,3.090359281e-07,7.103792656000002e-09,-1.89071e-23,-1.89071e-23,3.5747843040999995e-46,3.5747843040999995e-46,0.000174387,9.56128e-05,9.14180752384e-09,3.0410825769e-08,3.980555730421521e-32,3.979832418161449e-31,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018567290367295483,-0.010741019338411878,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,4.91258e-05,-0.0001198792,1.4371022592640009e-08,2.4133442256399995e-09,0.0123388,-0.015681,0.0001522459854399,0.000245893761,-0.000813102,-0.023406502,0.000547864335876,6.61134862404e-07,0.000297716,-0.0002581939999999,8.8634816656e-08,6.666414163599997e-08,-0.000128468,-0.000128468,1.6504027024000002e-08,1.6504027024000002e-08,6.44952e-05,-0.0001098918,1.2076207707240001e-08,4.15963082304e-09,8.06880920912956e-06,4.668297412718871e-05,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06619323321851694,-0.20614488489876026,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.00202787,0.0019787442,3.915428609033641e-06,4.1122567369000015e-06,-1.43465e-05,-0.0123531465,2.0582206225e-10,0.0001526002284504,-0.0005807459999999,0.000232356,5.3989310736000044e-08,3.37265916516e-07,0.000230026,-6.769000000000002e-05,5.291196067599999e-08,4.581936100000004e-09,-0.0001560229999999,-2.755499999999999e-05,2.4343176529e-08,7.592780249999996e-10,0.0,-6.44952e-05,4.15963082304e-09,0.0,0.00028765671199735085,0.0008960458958319614,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4276015638634681,-0.839457978948277,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-5.5385e-06,-0.0020334085,4.134750127872252e-06,3.0674982250000014e-11,0.0142144,0.0142287464999999,0.00020204916736,0.0002024572269612,0.0342248,0.034805546,0.0012114260323581,0.00117133693504,0.00040805,0.000178024,1.6650480250000005e-07,3.1692544576000025e-08,-0.000138485,1.7537999999999967e-05,1.9178095225000004e-08,3.0758144399999883e-10,0.0,0.0,0.0,0.0,0.0018582331444641023,0.0036493320995113943,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3789962136060143,-1.8432338386765235,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.00837419,-0.0083686515,7.003432792845224e-05,7.01270581561e-05,0.0233368,0.0091224,0.0005446062342399,8.321818175999997e-05,0.0336303,-0.0005944999999999,3.534302499999973e-07,0.00113099707809,0.00056724,0.0001591899999999,3.217612176e-07,2.5341456099999993e-08,-0.0,0.000138485,0.0,1.9178095225000004e-08,0.0,0.0,0.0,0.0,0.005992720061780205,0.008014322157795052,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.054831865818112,-2.896918121947763,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,1.06711e-05,0.0083848611,7.03058956662932e-05,1.1387237520999996e-10,0.015582,-0.0077547999999999,0.000242798724,6.013692303999999e-05,0.00365895,-0.02997135,0.0008982818208225,1.3387915102499998e-05,0.000319117,-0.000248123,1.01835659689e-07,6.1565023129e-08,-0.00014193,-0.00014193,2.01441249e-08,2.01441249e-08,0.0,0.0,0.0,0.0,0.013275418762595663,0.012598384825182362,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.362742795316775,-3.690038654954794,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,3.23058e-05,2.16347e-05,4.680602440899999e-10,1.0436647136399998e-09,1.57076e-05,-0.0155662924,2.4672869776e-10,0.0002423094590822,-0.00373162,-0.00739057,5.46205249249e-05,1.39249878244e-05,0.00026942,-4.9697000000000016e-05,7.258713639999997e-08,2.4697918090000028e-09,-0.000234037,-9.210700000000002e-05,5.4773317369000006e-08,8.483699449000003e-09,6.38855e-05,6.38855e-05,4.08135711025e-09,4.08135711025e-09,0.023304934428807586,0.016052018940759496,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.05607417434136,-4.067766663782251,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,8.11235e-06,-2.419345e-05,5.853230229024999e-10,6.581022252250001e-11,0.00707085,0.0070551424,4.99969197225e-05,4.977503428427775e-05,0.0240911,0.02782272,0.0007741037481983,0.0005803810992099,0.000113224,-0.000156196,1.2819674176e-08,2.4397190416e-08,-0.0001780029999999,5.6034000000000026e-05,3.1685068009e-08,3.1398091560000032e-09,0.0,-6.38855e-05,4.08135711025e-09,0.0,0.03500937627487792,0.017701639345554604,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.846813737184913,-4.034047606040737,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-1.55052e-05,-2.361755e-05,5.577886680024998e-10,2.4041122704e-10,0.0236689,0.01659805,0.00056021682721,0.0002754952638025,0.0225154,-0.0015756999999999,2.482830489999987e-06,0.00050694323716,0.000346619,0.000233395,1.20144731161e-07,5.447322602500001e-08,-0.0,0.0001780029999999,0.0,3.1685068009e-08,-5.57174e-05,-5.57174e-05,3.1044286627599994e-09,3.1044286627599994e-09,0.04713712601084234,0.017563523187504124,1
