,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.0526099,0.0,0.0,0.00276780157801,-0.0821857,0.0,0.00675448928449,0.0,-0.125891,0.0,0.0,0.015848543881,-0.00128607,0.0,1.6539760449e-06,0.0,-0.00344878,0.0,1.18940834884e-05,0.0,-0.00101986,0.0,1.0401144196e-06,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0524329,-0.000177,3.132900000000125e-08,0.00274920900241,-0.0822988,-0.0001131,0.00677309248144,1.27916100000011e-08,-0.0828042999999999,0.0430867,0.00185646371689,0.0068565520984899,-0.00148475,-0.0001986799999999,2.2044825625e-06,3.947374239999997e-08,-0.00330918,0.0001395999999999,1.09506722724e-05,1.948815999999992e-08,-0.00106704,-4.717999999999997e-05,1.1385743616e-06,2.2259523999999968e-09,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1891827155884826e-05,0.00018726987751595026,-0.0014946636327058027,-0.008777302045301626,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.0732945,0.0208615999999999,0.0004352063545599,0.00537208373025,-0.038229,0.0440698,0.0014614564409999,0.00194214727204,0.0270664,0.1098706999999999,0.0120715707184899,0.0007325900089599,-0.00362554,-0.00214079,1.31445402916e-05,4.5829818241e-06,-0.00332893,-1.97499999999998e-05,1.10817749449e-05,3.9006249999999216e-10,-0.00137227,-0.00030523,1.8831249529e-06,9.316535290000007e-08,0.0003630917231263798,0.0021321514103797793,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012076508588624742,0.0038004631397840984,-0.0565985702520213,-0.1781372716444006,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0881526999999999,0.0148581999999999,0.0002207661072399,0.0077708985172899,-0.028864,0.009365,0.0008331304959999,8.770322500000002e-05,0.0718577,0.0447913,0.00200626055569,0.0051635290492899,-0.00454048,-0.00091494,2.0615958630400008e-05,8.371152036000006e-07,-0.00410836,-0.00077943,1.68786218896e-05,6.075111249000004e-07,-0.00202428,-0.0006520099999999,4.097709518399998e-06,4.251170400999997e-07,0.01374922888977581,0.04327111065791517,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007958155677997854,0.015753628492851304,-0.372972229442166,-0.738466562644436,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.093844,0.0056913,3.239089569000028e-05,0.008806696336,-0.0521025999999999,-0.0232385999999999,0.0027146809267599,0.0005400325299599,0.0610747,-0.010783,0.000116273089,0.0037301189800899,-0.00459053,-5.0049999999999394e-05,2.10729656809e-05,2.5050024999999403e-09,-0.00445603,-0.0003476699999999,1.98562033609e-05,1.208744288999997e-07,-0.00211623,-9.195000000000036e-05,4.478429412900002e-06,8.454802500000066e-09,0.09060441861510064,0.1793728080680955,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591815821350311,0.034894025425734276,-1.2146976816061794,-1.635843803871365,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.104969,0.0111249999999999,0.0001237656249999,0.0110184909609999,-0.122082,-0.0699794,0.014904014724,0.0048971164243599,0.0637636999999999,0.0026889999999999,7.230720999999983e-06,0.0040658094376899,-0.00413882,0.00045171,1.7129830992399998e-05,2.040419241000001e-07,-0.00433253,0.0001234999999999,1.8770816200900007e-05,1.5252249999999868e-08,-0.00228602,-0.0001697899999999,5.2258874404000016e-06,2.8828644099999987e-08,0.29508088953336997,0.3973245968587431,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774872400336391,0.05512626666716409,-2.706490198290989,-2.5846475013036025,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.1108859999999999,0.0059169999999999,3.501088899999974e-05,0.0122957049959999,-0.118409,0.003673,0.0140206912809999,1.349092900000007e-05,0.0464762,-0.0172874999999999,0.0002988576562499,0.0021600371664399,-0.00382629,0.0003125299999999,1.46404951641e-05,9.76750008999998e-08,-0.00445603,-0.0001234999999999,1.98562033609e-05,1.5252249999999868e-08,-0.0022566999999999,2.9320000000000648e-05,5.092694889999999e-06,8.59662400000038e-10,0.6574751457243492,0.627735262005375,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175950302083786,0.07046062679100341,-4.769128708243269,-3.3041280711281877,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.119971,0.009085,8.253722500000043e-05,0.014393040841,-0.151478,-0.033069,0.022945584484,0.001093558761,0.0251893,-0.0212868999999999,0.0004531321116099,0.00063450083449,-0.00371277,0.00011352,1.3784661072899998e-05,1.2886790400000046e-08,-0.00421,0.0002460299999999,1.7724100000000002e-05,6.053076089999976e-08,-0.00239497,-0.00013827,5.735881300900001e-06,1.9118592900000184e-08,1.1585423787643427,0.8024077387042065,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326292389142754,0.07786388575645395,-7.182922366378238,-3.6520423039713408,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.11753,-0.002441,5.958481000000061e-06,0.0138133009,-0.168157,-0.016679,0.028276776649,0.000278189041,-0.00716819,-0.03235749,0.0010470071591001,5.13829478761e-05,-0.00427387,-0.0005611,1.82659647769e-05,3.148332100000002e-07,-0.00434332,-0.00013332,1.8864428622400005e-05,1.7774222400000042e-08,-0.00208895,0.00030602,4.3637121025e-06,9.364824040000009e-08,1.744914107778146,0.8867990035489933,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20673850379785844,0.07736086270073492,-9.689144544659634,-3.6294517596170572,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.120742,0.003212,1.0316944000000042e-05,0.0145786305639999,-0.175769,-0.007612,0.030894741361,5.7942544000000125e-05,-0.070453,-0.06328481,0.0040049671767361,0.004963625209,-0.00537379,-0.00109992,2.88776189641e-05,1.2098240063999998e-06,-0.00463295,-0.0002896299999999,2.1464225702500007e-05,8.388553689999995e-08,-0.00158188,0.00050707,2.5023443344e-06,2.571199849000001e-07,2.353739069687724,0.8811804344314609,1
