,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0574008,0.0,0.0032948518406399,0.0,0.0721562,0.0,0.00520651719844,0.0,0.0376949,0.0,0.0,0.00142090548601,-0.000275898,0.0,7.6119706404e-08,0.0,-0.000115214,0.0,1.3274265796e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0566703,0.0007305,0.00321152290209,5.336302500000029e-07,0.0450091,-0.0271471,0.00202581908281,0.00073696503841,-0.00586222,-0.04355712,0.0018972227026944,3.43656233284e-05,-0.000361348,-8.545000000000003e-05,1.3057237710400006e-07,7.301702500000006e-09,-0.000140711,-2.5497000000000017e-05,1.9799585521000005e-08,6.50097009000001e-10,0.00028485,0.00028485,8.113952250000001e-08,8.113952250000001e-08,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1891827155884826e-05,0.00018725565868390331,0.003608028712235769,0.021185313002671673,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0503596,0.0063107,0.00253608931216,3.982493449000003e-05,0.00557476,-0.03943434,3.10779490576e-05,0.0015550671712356,0.00550319,0.01136541,0.0001291725444681,3.02851001761e-05,3.24104e-05,0.0003937584,1.0504340281599994e-09,1.5504567757056006e-07,-0.00027919,-0.000138479,7.79470561e-08,1.9176433441e-08,0.000198407,-8.644300000000001e-05,3.9365337649e-08,7.472392249000002e-09,-0.0001994809256425859,-0.0011714325110883134,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012076508588624742,0.003799924713915628,0.13662556716597454,0.4299154223853323,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0504328,-7.320000000000243e-05,0.00254346731584,5.358240000000356e-09,-0.0213049,-0.02687966,0.00045389876401,0.0007225161217156,0.0085322,0.00302901,9.174901580100004e-06,7.279843684000001e-05,-0.00013634,-0.0001687504,1.85885956e-08,2.8476697500160002e-08,-0.000295425,-1.623499999999997e-05,8.727593062499999e-08,2.6357522499999903e-10,0.000289424,9.101700000000004e-05,8.376625177600003e-08,8.284094289000007e-09,-0.00755376322596486,-0.023774400422179955,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007958155677997854,0.015750080383850344,0.9003326790374899,1.7819729199501708,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0453721,0.0050607,0.00205862745841,2.561068449000001e-05,0.0085305499999999,0.02983545,7.277028330249996e-05,0.0008901540767024,0.0467182,0.038186,0.0014581705959999,0.0021825902112399,9.83106e-05,0.0002346506,9.66497407236e-09,5.5060904080360016e-08,-0.0,0.000295425,0.0,8.727593062499999e-08,0.000111664,-0.00017776,1.2468848895999998e-08,3.159861760000002e-08,-0.049777651600055144,-0.09855615828954406,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591815821350311,0.0348824699279322,2.9322076325543187,3.9467408064249465,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0391722,0.0061999,0.0015344612528399,3.843876001000001e-05,0.0121758,0.00364525,0.0001482501056399,1.3287847562500008e-05,0.0329114,-0.0138067999999999,0.0001906277262399,0.00108316024996,9.10899e-05,-7.220699999999997e-06,8.29736988201e-09,5.213850848999996e-11,-0.000269413,-0.000269413,7.2583364569e-08,7.2583364569e-08,0.0,-0.000111664,0.0,1.2468848895999998e-08,-0.16211608592098392,-0.21831944787386862,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774872400336391,0.055100519650427934,6.533305642247236,6.234531439038654,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0343914,0.0047808,0.0011827683939599,2.2856048640000017e-05,-0.000260712,-0.012436512,6.797074694400002e-08,0.0001546668307261,0.0532928,0.0203814,0.00041540146596,0.00284012253184,0.000819567,0.0007284771,6.71690067489e-07,5.3067888522441e-07,-0.000336261,-6.684800000000001e-05,1.1307146012099995e-07,4.468655103999999e-09,0.000166445,0.000166445,2.770393802500001e-08,2.770393802500001e-08,-0.3612138264315023,-0.34494425128813533,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175950302083786,0.07041525776038746,11.512391775090789,7.967768298689642,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.033671,0.0007203999999999,0.001133736241,5.189761599999942e-07,-0.0185696,-0.018308888,0.0003448300441599,0.0003352153797965,0.0167017,-0.0365911,0.00133890859921,0.00027894678289,-0.000475331,-0.001294898,2.2593955956100002e-07,1.6767608304040002e-06,-2.31871e-05,0.0003130739,5.3764160641e-10,9.801526686120997e-08,0.000157561,-8.884000000000019e-06,2.4825468721e-08,7.892545600000033e-11,-0.6364978637412618,-0.44096138341951235,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326292389142754,0.07779555415026582,17.33914545625017,8.803462486000921,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.035975,-0.002304,0.001294200625,5.308416000000001e-06,0.00715223,0.02572183,5.11543939729e-05,0.0006616125385488,0.0483435,0.0316418,0.0010012035072399,0.00233709399225,-2.26503e-06,0.00047306597,5.130360900899999e-12,2.2379141197204093e-07,-8.44084e-06,1.474626e-05,7.12477799056e-11,2.174521839876e-10,0.000125665,-3.189599999999998e-05,1.5791692225000003e-08,1.0173548159999988e-09,-0.9586477994851947,-0.4873874340656012,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20673850379785844,0.07726868924046969,23.38901606299772,8.744621366154744,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.0318033,0.0041716999999999,0.00101144989089,1.7403080890000006e-05,0.0402956,0.0331433699999999,0.0016237353793599,0.0010984829749568,0.0771531999999999,0.0288096999999999,0.0008299988140899,0.00595261627024,0.000464133,0.00046639803,2.1541944168900007e-07,2.1752712238788098e-07,6.26257e-05,7.106654000000001e-05,3.92197830049e-09,5.0504531075716e-09,0.000136815,1.115e-05,1.8718344225e-08,1.243225e-10,-1.2931334382937734,-0.48436486457982114,1
