,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.0089835999999999,0.0,0.0,8.070506895999996e-05,-0.0169089,0.0,0.0,0.00028591089921,0.0171762,0.0,0.0,0.00029502184644,-0.0007226639999999,0.0,5.222432568959999e-07,0.0,1.72954e-23,0.0,2.9913086115999995e-46,0.0,-0.000159522,0.0,0.0,2.5447268484e-08,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.7542918397607437e-30,-8.223872232468199e-30,-8.222273008847842e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0085469199999999,-0.00043668,1.9068942240000005e-07,7.304984148639998e-05,-0.0169060999999999,2.800000000004188e-06,7.840000000023452e-12,0.0002858162172099,0.0214329,0.0042567,1.8119494890000017e-05,0.00045936920241,-0.0008205909999999,-9.792699999999992e-05,6.733695892809998e-07,9.589697328999987e-09,9.26554e-05,9.26554e-05,8.585023149160003e-09,8.585023149160003e-09,-0.00017605,-1.6527999999999998e-05,2.7317478400000007e-10,3.09936025e-08,5.982081916335521e-31,5.9813220930267495e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.00020576552934861608,-0.0016670249205885984,-0.009644541624505823,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.00527992,-0.0032669999999999,1.0673288999999988e-05,2.78775552064e-05,0.00419701,0.02110311,0.000445341251672,1.7614892940100002e-05,0.0340746,0.0126416999999999,0.0001598125788899,0.0011610783651599,-0.000410104,0.0004104869999999,1.68185290816e-07,1.6849957716899994e-07,0.0001658239999999,7.316859999999995e-05,2.7497598975999987e-08,5.353644025959993e-09,-8.644549999999997e-05,8.960450000000003e-05,8.028966420250005e-09,7.472824470249995e-09,0.00012126014789192284,0.0007016301102156821,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.003949095631962469,-0.0594301953417847,-0.18511649743379868,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.014132,0.0088520799999999,7.835932032639998e-05,0.000199713424,0.00034349,-0.00385352,1.48496163904e-05,1.179853801e-07,0.017314,-0.0167605999999999,0.0002809177123599,0.000299774596,-0.000314946,9.515800000000004e-05,9.9190982916e-08,9.055044964000005e-09,0.000124004,-4.1819999999999976e-05,1.5376992015999996e-08,1.748912399999998e-09,-0.000129192,-4.274650000000004e-05,1.8272632622500026e-09,1.6690572864000006e-08,0.0043229793312544946,0.01346837349843775,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.01608131147433284,-0.3839130260485544,-0.7539071061702098,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.00440832,-0.0097236799999999,9.454995274239997e-05,1.94332852224e-05,-0.0212622,-0.02160569,0.0004668058403761,0.00045208114884,0.020588,0.0032739999999999,1.0719075999999996e-05,0.000423865744,-0.000913781,-0.000598835,8.349957159609999e-07,3.586033572250001e-07,-0.0,-0.000124004,0.0,1.5376992015999996e-08,0.0,0.000129192,1.6690572864000006e-08,0.0,0.027926007428758844,0.0548583790129792,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.03531015780287851,-1.23810260302047,-1.6556099801932964,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.00386271,-0.00054561,2.976902721000003e-07,1.49205285441e-05,-0.0137312999999999,0.0075309,5.671445481000005e-05,0.00018854859969,0.0477105,0.0271225,0.00073563000625,0.00227629181025,-4.79577e-05,0.0008658233,2.29994098929e-09,7.496499868228902e-07,0.000111633,0.000111633,1.2461926689e-08,1.2461926689e-08,-0.000108843,-0.000108843,1.1846798648999998e-08,1.1846798648999998e-08,0.0900601442086586,0.12049056067190184,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05549466539634175,-2.742716221800936,-2.6024905703595396,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.00601233,0.00214962,4.620866144399999e-06,3.61481120289e-05,0.00104773,0.01477903,0.0002184197277409,1.0977381529e-06,0.033933,-0.0137775,0.00018981950625,0.0011514484889999,-0.000382373,-0.0003344153,1.4620911112900006e-07,1.1183359287409001e-07,0.000221445,0.000109812,4.9037888025e-08,1.2058675344e-08,0.0,0.000108843,1.1846798648999998e-08,0.0,0.1995064204341517,0.1894408993578944,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.07068714740855354,-4.814825268336773,-3.315751015162018,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.0081148899999999,0.0021025599999999,4.420758553599992e-06,6.585143971209996e-05,0.00928635,0.00823862,6.78748595044e-05,8.62362963225e-05,0.0370919,0.0031589,9.97864921000004e-06,0.00137580904561,0.000827982,0.001210355,6.85554192324e-07,1.464959226025e-06,0.000216994,-4.450999999999988e-06,4.7086396036e-08,1.981140099999989e-11,0.0,0.0,0.0,0.0,0.35023257115204837,0.24142544389077863,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.07792168477560962,-7.232975918980813,-3.656256109466285,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.00812299,8.100000000002203e-06,6.561000000003568e-11,6.59829665401e-05,-0.0228401,-0.03212645,0.0010321087896025,0.0005216701680099,0.0123096,-0.0247823,0.00061416239329,0.00015152625216,-0.0007913749999999,-0.0016193569999999,6.262743906249997e-07,2.622317093448999e-06,0.000148619,-6.8375e-05,2.2087607161000002e-08,4.675140625e-09,0.0,0.0,0.0,0.0,0.526129944910872,0.2663125720027626,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07727403542926393,-9.738582448583646,-3.627401699151522,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.00433923,-0.00378376,1.43168397376e-05,1.88289169929e-05,-0.0317022,-0.0088621,7.853681641000002e-05,0.00100502948484,0.0142843,0.0019747,3.899440089999997e-06,0.00020404122649,-0.000981668,-0.000190293,9.636720622240005e-07,3.6211425849000174e-08,6.99336e-05,-7.868540000000001e-05,4.89070840896e-09,6.1913921731600024e-09,-9.85251e-05,-9.85251e-05,9.70719533001e-09,9.70719533001e-09,0.7083888989229868,0.2643366129707242,1
