,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.0577613,0.0,0.00333636777769,0.0,-0.0231825,0.0,0.0005374283062499,0.0,0.434783,0.0,0.0,0.189036257089,0.0093178,0.0,0.0,8.682139683999999e-05,-0.00063386,0.0,4.017784996e-07,0.0,-0.000331441,0.0,0.0,1.0985313648099997e-07,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0529066,-0.0048547,0.00279910832356,2.3568112090000037e-05,0.0706473,0.0938298,0.00499104099729,0.00880403136804,0.478055,0.043272,0.001872465984,0.228536583025,0.00914029,-0.0001775099999999,3.150980009999957e-08,8.354490128410003e-05,-0.000474319,0.0001595409999999,2.2497851376100002e-07,2.5453330680999993e-08,-0.000105825,0.000225616,5.090257945599999e-08,1.1198930625e-08,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1427828354076713e-05,8.506230262475206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285435632778767e-06,3.1897953988532156e-05,-0.00016656059826066817,-0.0012398598060831994,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.0627318,0.0098252,0.0039352787312399,9.653455503999996e-05,0.0416099,-0.0290374,0.00173138377801,0.00084317059876,0.429324,-0.048731,0.002374710361,0.184319096976,0.00851543,-0.00062486,3.904500196000018e-07,7.251254808489999e-05,-0.000396088,7.8231e-05,1.56885703744e-07,6.120089361000001e-09,-0.00051274,-0.000406915,1.6557981722500006e-07,2.629023076000001e-07,-6.596142525973087e-06,-4.909643707241004e-05,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014286782270966723,0.005300103294113774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005357543351612522,0.0019874875411686555,-0.020822985159934002,-0.07725860001863864,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.061858,-0.0008738,0.003826412164,7.635264400000018e-07,-0.0204143,-0.0620241999999999,0.00041674364449,0.0038470013856399,0.414011,-0.015313,0.000234487969,0.1714051081209999,0.00884754,0.00033211,1.1029705210000002e-07,7.827896405159998e-05,-0.000651745,-0.000255657,4.24771545025e-07,6.536050164900002e-08,-0.000602812,-9.007199999999996e-05,8.112965183999993e-09,3.63382307344e-07,-0.0008246330726802006,-0.0030590290944083787,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013293650832198842,0.029922853907250975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004985119062074564,0.01122059386106439,-0.19375496087929817,-0.43621487124156344,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.061178,-0.00068,0.003742747684,4.6240000000000965e-07,-0.0265098,-0.0060955,0.00070276949604,3.715512025e-05,0.43231,0.018299,0.000334853401,0.1868919361,0.00904096,0.00019342,3.741129640000056e-08,8.17389577216e-05,-0.000474319,0.0001774259999999,2.2497851376100002e-07,3.1479985476000005e-08,-0.00056587,3.694199999999999e-05,1.364711363999999e-09,3.202088569e-07,-0.0076730952603451825,-0.017269698448638664,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05095643645884381,0.07659284162660025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019108663672066428,0.028720489677390916,-0.7426900613876488,-1.1166828724426783,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.0530432,-0.0081347999999999,0.0028135810662399,6.617497103999996e-05,0.0699407,0.0964505,0.0048917015164899,0.0093026989502499,0.483955,0.051645,0.002667206025,0.234212442025,0.0088439899999999,-0.00019697,3.8797180900001145e-08,7.821615912009996e-05,-0.000474319,0.0,2.2497851376100002e-07,0.0,-0.000314059,0.000251811,6.3408779721e-08,9.8633055481e-08,-0.02941205512404469,-0.04420259269265681,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12471190329329963,0.13159379344272118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046766963734987364,0.04934320371345553,-1.8176759904998425,-1.9188170612697086,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.0607085,0.0076653,0.00368552197225,5.8756824090000095e-05,0.0418359,-0.0281047999999999,0.00175024252881,0.0007898797830399,0.439559,-0.0443959999999999,0.0019710048159999,0.193212114481,0.00893524,9.12500000000028e-05,8.326562500000508e-09,7.983851385760003e-05,-0.000474319,0.0,2.2497851376100002e-07,0.0,-0.000658763,-0.000344704,1.1882084761600007e-07,4.3396869016899993e-07,-0.07198371058089265,-0.07593930613313647,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23339073413516195,0.17767885898810565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08752152530068574,0.06662120898182905,-3.401669950019986,-2.5912367408878967,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.0651585,0.00445,0.00424563012225,1.9802500000000023e-05,-0.0481707,-0.0900065999999999,0.0023204163384899,0.0081011880435599,0.441405,0.0018459999999999,3.407715999999848e-06,0.194838374025,0.00927838,0.0003431399999999,1.1774505959999913e-07,8.608833542439999e-05,-0.000758423,-0.000284104,5.752054469290001e-07,8.071508281600001e-08,-0.000187607,0.0004711559999999,2.219879763360001e-07,3.5196386449000006e-08,-0.13471313174281568,-0.10252511267680525,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3662890356685442,0.20409447017520427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13735838837570405,0.07652230100451557,-5.338662694869031,-2.977136772790137,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.0525701,-0.0125884,0.00276361541401,0.00015846781456,0.00499522,0.05316592,2.49522228484e-05,0.0028266150494464,0.467894,0.0264889999999999,0.0007016671209999,0.218924795236,0.00873113,-0.0005472499999999,2.9948256249999906e-07,7.62326310769e-05,-0.000677526,8.089700000000002e-05,4.5904148067600004e-07,6.5443246090000045e-09,-0.00017667,1.0937000000000007e-05,1.1961796900000016e-10,3.12122889e-08,-0.21142203138788396,-0.11775448028294765,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5087895011206159,0.20871618610324918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19079606292023094,0.07825033822872046,-7.415606978832978,-3.045455266090636,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.0530728,0.0005027,0.00281672209984,2.527072900000017e-07,0.104885,0.09988978,0.011000863225,0.0099779681484484,0.4921680000000001,0.024274,0.000589227076,0.2422293402240001,0.00885542,0.0001242899999999,1.5448004099999782e-08,7.841846337639999e-05,-0.000474319,0.000203207,2.2497851376100002e-07,4.1293084849e-08,-0.00031035,-0.0001336799999999,1.7870342399999994e-08,9.631712249999998e-08,-0.29367330004681996,-0.12040313101156468,1
