,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.116025,0.0,0.013461800625,0.0,-0.195306,0.0,0.038144433636,0.0,0.34086,0.0,0.1161855396,0.0,-0.00934592,0.0,8.734622064640001e-05,0.0,0.000429343,0.0,0.0,1.8433541164900008e-07,0.00133898,0.0,0.0,1.7928674404000004e-06,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.110563,0.0054619999999999,0.012224176969,2.9833443999999937e-05,-0.211218,-0.0159119999999999,0.044613043524,0.0002531917439999,0.316467,-0.024393,0.100151362089,0.0005950184489999,-0.00941845,-7.252999999999947e-05,8.87072004025e-05,5.260600899999923e-09,0.000273962,-0.000155381,2.414325516100002e-08,7.505517744399999e-08,0.00125177,-8.721000000000011e-05,7.605584100000018e-09,1.5669281328999996e-06,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1891827155884826e-05,0.0001872687380237419,-0.0014946636327058027,-0.008777556115211449,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.10778,0.002783,0.0116165284,7.745089000000042e-06,-0.224683,-0.013465,0.050482450489,0.000181306225,0.282064,-0.034403,0.079560100096,0.001183566409,-0.0102812999999999,-0.0008628499999999,0.0001057051296899,7.44510122499997e-07,0.000127951,-0.0001460109999999,2.1319212120999995e-08,1.6371458401000004e-08,0.0013265999999999,7.48299999999999e-05,5.599528899999986e-09,1.7598675599999995e-06,-6.485407486938661e-05,-0.0003808502248899494,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012076508588624742,0.0038004199905240276,-0.0565985702520213,-0.178146892533894,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0947663,0.0130137,0.00898065161569,0.00016935638769,-0.206313,0.0183699999999999,0.042565053969,0.0003374568999999,0.318116,0.036052,0.101197789456,0.001299746704,-0.0111041,-0.0008228,0.00012330103681,6.769998400000033e-07,0.000271733,0.0001437819999999,2.0673263523999993e-08,7.3838823289e-08,0.000734996,-0.0005916039999999,3.499952928159998e-07,5.402191200160001e-07,-0.002455835435013443,-0.0077294292319162955,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007958155677997854,0.015753344148641622,-0.372972229442166,-0.7385299622071386,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0889335,0.0058327999999999,0.00790916742225,3.402155583999999e-05,-0.1687779999999999,0.037535,0.0284860132839999,0.001408876225,0.356096,0.03798,0.126804361216,0.0014424804,-0.0105036,0.0006005,0.00011032561296,3.606002500000004e-07,0.000700743,0.00042901,1.840495801e-07,4.91040752049e-07,0.00053873,-0.000196266,3.8520342756000033e-08,2.902300129e-07,-0.016183419709393163,-0.032042232941136284,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591815821350311,0.034893099372197284,-1.2146976816061794,-1.6360502838603577,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0903352,-0.0014017,0.00816044835904,1.964762890000016e-06,-0.213653,-0.044875,0.0456476044089999,0.002013765625,0.294829,-0.061267,0.086924139241,0.003753645289,-0.0123699,-0.0018663,0.00015301442601,3.4830756899999986e-06,0.000571022,-0.0001297209999999,1.6827537840999993e-08,3.26066124484e-07,0.00045271,-8.601999999999998e-05,7.399440399999994e-09,2.049463441e-07,-0.052706236147557047,-0.07097949336851787,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774872400336391,0.05512420331028202,-2.706490198290989,-2.585107563156699,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0970222,-0.0066869999999999,0.00941330729284,4.471596899999998e-05,-0.230462,-0.0168089999999999,0.053112733444,0.0002825424809999,0.27121,-0.023619,0.0735548641,0.0005578571609999,-0.0117055,0.0006643999999999,0.00013701873025,4.414273599999987e-07,0.00074511,0.0001740879999999,3.0306631743999985e-08,5.551889121e-07,0.0007353429999999,0.0002826329999999,7.988141268899985e-08,5.407293276489997e-07,-0.11743573210212314,-0.11214792947572721,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175950302083786,0.07045699093281783,-4.769128708243269,-3.3049387499152587,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0974244,-0.0004021999999999,0.00949151371536,1.617648399999931e-07,-0.241666,-0.0112039999999999,0.058402455556,0.0001255296159999,0.257977,-0.0132329999999999,0.066552132529,0.0001751122889999,-0.0114579,0.0002476,0.00013128347241,6.13057600000003e-08,0.000672815,-7.2295e-05,5.226567025e-09,4.52680024225e-07,0.000835427,0.000100084,1.0016807056000056e-08,6.97938272329e-07,-0.2069344724379399,-0.14336572958939958,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326292389142754,0.07785840968552363,-7.182922366378238,-3.6532632906856506,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.097388,3.6399999999992e-05,0.009484422544,1.324959999999417e-09,-0.209954,0.0317119999999999,0.044080682116,0.0010056509439999,0.312508,0.054531,0.097661250064,0.0029736299609999,-0.0100137,0.0014441999999999,0.00010027418769,2.0857136399999997e-06,0.000402466,-0.000270349,7.308858180100003e-08,1.61978881156e-07,0.00103086,0.000195433,3.819405748899998e-08,1.0626723396e-06,-0.3116699802796221,-0.15846098283258236,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20673850379785844,0.07735347595198917,-9.689144544659634,-3.631098765690439,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.105524,-0.008136,0.011135314576,6.619449600000007e-05,-0.195931,0.014023,0.038388956761,0.000196644529,0.3135,0.0009919999999999,0.09828225,9.84063999999986e-07,-0.0110822,-0.0010685,0.00012281515684,1.14169225e-06,0.00093531,0.000532844,2.839227283360001e-07,8.748047961e-07,0.00113271,0.00010185,1.0373422500000023e-08,1.2830319441000002e-06,-0.4204159999411387,-0.15747984607806792,1
