,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.291127,0.0,0.0,0.084754930129,-0.0931869,0.0,0.0086837983316099,0.0,-0.0496654,0.0,0.00246665195716,0.0,0.00101331,0.0,1.0267971560999998e-06,0.0,0.00804762,0.0,6.47641876644e-05,0.0,0.0030336,0.0,9.20272896e-06,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.159732514968135e-30,-9.15708972024123e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.29005,0.001077,1.159929000000108e-06,0.0841290024999999,-0.119706,-0.0265191,0.014329526436,0.00070326266481,-0.0703204,-0.020655,0.00494495865616,0.000426629025,0.000625293,-0.0003880169999999,3.909913358490001e-07,1.5055719228899986e-07,0.00789651,-0.0001511099999999,6.235487018010001e-05,2.2834232099999832e-08,0.00314661,0.00011301,9.9011544921e-06,1.2771260100000044e-08,-1.2490585241577363e-31,-1.248871731113877e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018567290367295483,-0.010740324778375623,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.297421,-0.007371,5.433164100000024e-05,0.088459251241,-0.158657,-0.038951,0.025172043649,0.001517180401,-0.0738242999999999,-0.0035038999999999,0.0054500272704899,1.2277315209999738e-05,0.0,-0.000625293,0.0,3.909913358490001e-07,0.00812903,0.0002325199999999,6.608112874090001e-05,5.4065550399999985e-08,0.0033349,0.00018829,1.1121558010000004e-05,3.5453124100000094e-08,-2.5319115231677623e-05,-0.00014649464137149858,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06619323321851694,-0.20612012351809855,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.297557,-0.000136,1.84960000000068e-08,0.0885401682489999,-0.146759,0.0118979999999999,0.021538204081,0.0001415624039999,-0.0426021,0.0312221999999999,0.00181493892441,0.0009748257728399,3.3882199999999995e-21,3.3882199999999995e-21,1.1480034768399992e-41,1.1480034768399992e-41,0.0079028299999999,-0.0002262,6.245472200889998e-05,5.1166440000001255e-08,0.00336857,3.366999999999953e-05,1.13472638449e-05,1.1336688999999683e-09,-0.0009026379543075259,-0.0028119926120905906,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4276015638634681,-0.8392980229440219,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.299691,-0.0021339999999999,4.553955999999869e-06,0.0898146954809999,-0.145037,0.001722,0.021035731369,2.965284000000004e-06,-0.0424501999999999,0.0001519,0.0018020194800399,2.3073610000001042e-08,-0.000420392,-0.000420392,1.7672943366399998e-07,1.7672943366399998e-07,0.0081432399999999,0.0002404099999999,6.631235769759996e-05,5.779696809999996e-08,0.00324525,-0.00012332,1.05316475625e-05,1.5207822400000032e-08,-0.00583094951096071,-0.011453114143212801,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3789962136060143,-1.8427179876066202,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.302786,-0.003095,9.579025000000087e-06,0.091679361796,-0.124225,0.020812,0.015431850625,0.0004331393439999,-0.0483591,-0.0059089,0.00233860255281,3.4915099210000106e-05,-0.000371413,4.897899999999994e-05,1.3794761656900004e-07,2.398942440999994e-09,0.00825254,0.0001093,6.810441645159998e-05,1.1946490000000308e-08,0.00313679,-0.0001084599999999,9.8394515041e-06,1.1763571599999976e-08,-0.018804555401275565,-0.025154188675894792,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.054831865818112,-2.8957753789359924,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.296344,0.006442,4.149936400000004e-05,0.087819766336,-0.139277,-0.015052,0.019398082729,0.000226562704,-0.018159,0.0302000999999999,0.000329749281,0.00091204604001,0.000127499,0.000498912,1.6255995000999997e-08,2.48913183744e-07,0.00825254,0.0,6.810441645159998e-05,0.0,0.00335537,0.0002185799999999,1.12585078369e-05,4.777721639999996e-08,-0.04165693458442732,-0.03954586855528533,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.362742795316775,-3.6880325750386307,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.297678,-0.001334,1.779556000000005e-06,0.088612191684,-0.1534089999999999,-0.0141319999999999,0.0235343212809999,0.0001997134239999,-0.00906677,0.00909223,8.22063182329e-05,8.266864637290003e-05,-0.000202034,-0.000329533,4.081773715600001e-08,1.08591998089e-07,0.00815911,-9.342999999999851e-05,6.65710759921e-05,8.729164899999722e-09,0.00343463,7.926000000000027e-05,1.17966832369e-05,6.282147600000042e-09,-0.07312855031967282,-0.05039314916561024,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.05607417434136,-4.064753069951426,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.294489,0.0031889999999999,1.0169720999999982e-05,0.0867237711209999,-0.136185,0.0172239999999999,0.018546354225,0.0002966661759999,0.0147049,0.02377167,0.00021623408401,0.0005650922945889,0.00018676,0.000388794,3.48792976e-08,1.5116077443600009e-07,0.00825254,9.342999999999851e-05,6.810441645159998e-05,8.729164899999722e-09,0.00346289,2.8260000000000007e-05,1.1991607152100003e-05,7.986276000000001e-10,-0.10985591666857838,-0.05558130589362691,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.846813737184913,-4.029990060112647,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.293738,0.000751,5.640010000000025e-07,0.086282012644,-0.102807,0.033378,0.010569279249,0.001114090884,0.0126538,-0.0020510999999999,0.00016011865444,4.20701121e-06,-2.33514e-05,-0.0002101114,5.452878819599999e-10,4.414680040996e-08,0.00785279,-0.0003997499999999,6.16663107841e-05,1.5980006249999926e-07,0.00334074,-0.00012215,1.11605437476e-05,1.4920622500000032e-08,-0.14791158078298078,-0.0551601515615321,1
