,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.000193403,0.0,0.0,3.7404720409e-08,-0.0479841,0.0,0.0,0.00230247385281,0.0513757,0.0,0.0026394625504899,0.0,-0.000426356,0.0,1.81779438736e-07,0.0,-0.000247833,0.0,6.1421195889e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.7542918248809078e-30,-8.223872232468199e-30,-8.222273197041108e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0002566,6.3197e-05,3.993860809e-09,6.584356e-08,-0.0399803,0.0080037999999999,6.406081443999997e-05,0.00159842438809,0.0560881,0.0047123999999999,0.0031458749616099,2.2206713759999988e-05,-0.000426356,0.0,1.81779438736e-07,0.0,-0.000257711,-9.878000000000004e-06,6.6414959521e-08,9.757488400000007e-11,5.34454e-05,5.34454e-05,2.8564107811600003e-09,2.8564107811600003e-09,-3.3437657987763503e-31,-3.343348914753596e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.00020576552633239006,-0.0016670249205885984,-0.009644542005984103,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.000176402,-8.019800000000001e-05,6.431719203999999e-09,3.1117665604e-08,-0.0341816999999999,0.0057986,3.362376196000009e-05,0.0011683886148899,0.0613494,0.0052613,0.00376374888036,2.768127769000011e-05,-0.000426356,0.0,1.81779438736e-07,0.0,-0.000259806,-2.0949999999999727e-06,6.749915763599997e-08,4.389024999999884e-12,0.0,-5.34454e-05,0.0,2.8564107811600003e-09,-6.778000384253384e-05,-0.00039218725066429613,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.003949095524432642,-0.0594301953417847,-0.18511651103367258,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.000100907,-7.549500000000001e-05,5.6994950250000005e-09,1.0182222649e-08,-0.0142804,0.0199013,0.0003960617416899,0.0002039298241599,0.0530717,-0.0082777,0.0028166053408899,6.85203172900001e-05,-0.000285172,0.0001411839999999,8.1323069584e-08,1.9932921856e-08,-0.000223952,3.585399999999996e-05,5.0154498304e-08,1.285509315999997e-09,0.0,0.0,0.0,0.0,-0.0024163879129091973,-0.0075283865663383015,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.01608131077970108,-0.3839130260485544,-0.753907194024014,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.000202333,0.000101426,1.0287233475999998e-08,4.0938642889e-08,-0.0135118,0.0007686,5.907459600000019e-07,0.00018256873924,0.0442259,-0.0088458,0.00195593023081,7.824817764000001e-05,-4.05585e-05,0.0002446135,1.64499192225e-09,5.983576438224999e-08,-0.000295476,-7.152399999999997e-05,8.730606657599998e-08,5.115682575999996e-09,0.0,0.0,0.0,0.0,-0.015609620503802673,-0.030664200282986706,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.03531015556272168,-1.23810260302047,-1.6556102635179457,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.000232512,3.0179000000000024e-05,9.107720410000011e-10,5.406183014400001e-08,-0.0119272,0.0015845999999999,2.510957159999995e-06,0.00014225809984,0.0447267,0.0005008,0.00200047769289,2.508006400000027e-07,3.98512e-05,8.04097e-05,1.58811814144e-09,6.465719854090001e-09,-0.000367122,-7.164599999999997e-05,1.3477856288399994e-07,5.133149315999996e-09,7.50518e-05,7.50518e-05,5.63277268324e-09,5.63277268324e-09,-0.050340338739836205,-0.06735101136366309,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.055494660433817254,-2.742716221800936,-2.602491197996627,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,6.9587e-05,-0.000162925,2.6544555625000013e-08,4.842350568999999e-09,-0.0267443,-0.0148170999999999,0.0002195464524099,0.0007152575824899,0.0429063,-0.0018204,0.00184095057969,3.3138561599999987e-06,-0.000182333,-0.0002221842,3.3245322889e-08,4.936581872963999e-08,-0.00023206,0.0001350619999999,5.38518436e-08,1.824174384399999e-08,0.0,-7.50518e-05,0.0,5.63277268324e-09,-0.1115168188289643,-0.10589317054051783,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.07068713869686542,-4.814825268336773,-3.315752116975937,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,6.14199e-05,-8.167099999999997e-06,6.670152240999998e-11,3.77240411601e-09,-0.0344689,-0.0077246,5.966944516000008e-05,0.00118810506721,0.0360071,-0.0068992,0.00129651125041,4.7598960640000016e-05,-0.000457301,-0.000274968,2.09124204601e-07,7.5607401024e-08,-0.00012376,0.0001082999999999,1.53165376e-08,1.1728889999999998e-08,0.0,0.0,0.0,0.0,-0.1957672444835241,-0.13495260931729744,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.07792167168864865,-7.232975918980813,-3.6562577646444274,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.00223277,0.0021713501,4.714761256770009e-06,4.985261872899999e-06,-0.0435968,-0.0091279,8.331855841000002e-05,0.00190068097024,0.0355115,-0.0004955999999999,0.0012610666322499,2.4561935999999884e-07,-0.000470847,-1.3546000000000022e-05,2.2169689740900002e-07,1.8349411600000057e-10,-0.000149479,-2.5719e-05,2.2343971441e-08,6.61466961e-10,0.0,0.0,0.0,0.0,-0.2940874665559137,-0.14886590921715911,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.0772740178087921,-9.738582448583646,-3.627403927707097,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.0,-0.00223277,4.985261872899999e-06,0.0,-0.0429119,0.0006849,4.69088010000003e-07,0.00184143116161,0.0439978,0.0084863,0.00193580640484,7.201728769000004e-05,-0.000507056,-3.620899999999999e-05,2.57105787136e-07,1.3110916809999992e-09,-0.0,0.000149479,0.0,2.2343971441e-08,0.0,0.0,0.0,0.0,-0.39596358016817673,-0.14776380558077665,1
