,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0118995,0.0,0.0,0.00014159810025,-0.0148471,0.0,0.00022043637841,0.0,0.0336005,0.0,0.0,0.00112899360025,0.000107082,0.0,0.0,1.1466554724e-08,-0.0001471729999999,0.0,0.0,2.1659891929e-08,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.7544017344940676e-30,2.070590875031109e-30,2.0700525636243646e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.014162,-0.0022625,5.118906250000003e-06,0.000200562244,2.67943e-05,0.0148738943,7.179345124899997e-10,0.0002212327316475,0.0295171,-0.0040834,1.6674155560000008e-05,0.0008712591924099,0.0001673309999999,6.024899999999998e-05,3.6299420009999966e-09,2.7999663560999994e-08,-0.0,0.0001471729999999,2.1659891929e-08,0.0,6.34638e-05,6.34638e-05,4.02765391044e-09,4.02765391044e-09,1.0138291422857115e-30,1.0136226841478287e-29,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.0002057878056260087,0.0004197203569618515,0.0024280093122694153,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0191642,-0.0050021999999999,2.5022004839999975e-05,0.00036726656164,0.0453208,0.0452940057,0.00205397491264,0.0020515469523516,0.0518008,0.0222837,0.00049656328569,0.00268332288064,0.0,-0.0001673309999999,2.7999663560999994e-08,0.0,0.000103637,0.000103637,1.0740627769000002e-08,1.0740627769000002e-08,0.0,-6.34638e-05,4.02765391044e-09,0.0,0.0002055088403169426,0.0011889487000558857,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.0039498897913661955,0.014963221302270107,0.046598475197612066,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0185319,0.0006322999999999,3.998032899999985e-07,0.00034343131761,0.0531609,0.0078401,0.00282608128881,6.146716801000004e-05,0.0414497,-0.0103511,0.00010714527121,0.00171807763009,-7.559439999999998e-05,-7.559439999999998e-05,5.714513311359997e-09,5.714513311359997e-09,-0.0,-0.000103637,1.0740627769000002e-08,0.0,0.0,0.0,0.0,0.0,0.007326483469837504,0.022820267982138456,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.016086441663424364,0.09666088991549654,0.18975396342712544,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0203119,-0.00178,3.1684000000000136e-06,0.00041257328161,0.0144101,-0.0387508,0.00020765098201,0.00150162450064,0.0354935,-0.0059562,3.547631844000002e-05,0.00125978854225,0.0,7.559439999999998e-05,5.714513311359997e-09,0.0,0.000122158,0.000122158,1.4922576964000006e-08,1.4922576964000006e-08,0.000130811,0.000130811,1.7111517720999996e-08,1.7111517720999996e-08,0.04732833912161865,0.09293642210148322,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.035326702436785776,0.3117271134205164,0.4166420862134348,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0157995,0.0045124,2.0361753760000028e-05,0.00024962420025,-0.0158447,-0.0302548,0.00025105451809,0.00091535292304,0.0351128,-0.0003806999999999,1.4493248999999298e-07,0.00123290872384,8.543040000000001e-05,8.543040000000001e-05,7.2983532441600035e-09,7.2983532441600035e-09,-0.00017029,-0.000292448,8.552583270399999e-08,2.89986841e-08,0.0,-0.000130811,1.7111517720999996e-08,0.0,0.15263180951745217,0.2040876072859424,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.055531316022623047,0.6905558623880017,0.6547976735663935,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0197519,-0.0039523999999999,1.5621465759999987e-05,0.00039013755361,-0.018996,-0.0031513,0.000360848016,9.930691690000017e-06,0.0345241,-0.0005887,3.465676900000053e-07,0.0011919134808099,0.000447933,0.0003625026,1.3140813500676e-07,2.0064397248900002e-07,-0.000140442,2.984799999999999e-05,8.909031039999992e-10,1.9723955364e-08,0.000107338,0.000107338,1.1521446244e-08,1.1521446244e-08,0.33811877860935663,0.3208008858493536,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.07075148740848387,1.212267528443255,0.8340392113355493,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0101987,0.0095531999999999,9.126363023999996e-05,0.00010401348169,-0.0191286,-0.0001325999999999,0.0003659033379599,1.7582759999998182e-08,0.0184208,-0.0161032999999999,0.00025931627089,0.00033932587264,0.000275326,-0.000172607,2.979317644900001e-08,7.5804406276e-08,-0.0,0.000140442,1.9723955364e-08,0.0,0.0,-0.000107338,1.1521446244e-08,0.0,0.5935659059465233,0.40870732913914254,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.07801833826648158,1.8211048899852103,0.919372034054762,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.0073846399999999,0.00281406,7.918933683600015e-06,5.4532907929599984e-05,0.0133194,0.0324479999999999,0.0001774064163599,0.0010528727039999,0.042397,0.0239762,0.00057485816644,0.001797505609,0.0,-0.000275326,7.5804406276e-08,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8916726287602721,0.4506570217256787,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07740417107472211,2.4519617260303037,0.911693797922009,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.00915569,-0.00177105,3.136618102500002e-06,8.382665937609999e-05,0.0656889,0.0523695,0.0043150315832099,0.00274256453025,0.0603094,0.0179124,0.00032085407376,0.00363722372836,0.0,0.0,0.0,0.0,-0.000220432,-0.000220432,4.8590266624e-08,4.8590266624e-08,6.94491e-05,6.94491e-05,4.82317749081e-09,4.82317749081e-09,1.2005608078328596,0.4470715260989789,1
