,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.00945589,0.0,8.94138556921e-05,0.0,-0.0362018,0.0,0.00131057032324,0.0,0.046184,0.0,0.002132961856,0.0,0.000296267,0.0,8.777413528900002e-08,0.0,-0.000222518,0.0,0.0,4.9514260324e-08,-0.000200184,0.0,4.0073633856e-08,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.7542272533056396e-30,-9.159732514968135e-30,-9.157432193498994e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.00657413,0.00288176,4.32191852569e-05,8.304540697599999e-06,-0.0578845,-0.0216827,0.00335061534025,0.00047013947929,0.043175,-0.0030089999999999,0.001864080625,9.054080999999986e-06,8.43076e-05,-0.0002119593999999,7.107771417760001e-09,4.4926787248360004e-08,-0.000277174,-5.465600000000004e-05,2.987278336000004e-09,7.682542627600003e-08,-0.00032353,-0.0001233459999999,1.046716609e-07,1.5214235715999996e-08,-2.105370682645178e-31,-2.1050230399204157e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.0002057524373127542,-0.0018567290367295483,-0.0107410189908332,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.014148,-0.0075738699999999,0.000200165904,5.736350677689999e-05,-0.0358805,0.022004,0.00128741028025,0.000484176016,0.0714072999999999,0.0282322999999999,0.0050990024932899,0.0007970627632899,0.000364596,0.0002802884,1.3293024321599993e-07,7.856158717456e-08,-0.000275318,1.856000000000058e-06,3.4447360000002167e-12,7.580000112399999e-08,-0.000119895,0.000203635,1.4374811025e-08,4.146721322499999e-08,-4.2677041858574534e-05,-0.0002469197518183415,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.003948628894939475,-0.06619323321851694,-0.20614487250742256,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.00875715,0.0053908499999999,7.66876761225e-05,2.906126372249999e-05,-0.022021,0.0138595,0.000484924441,0.00019208574025,0.049894,-0.0215132999999999,0.002489411236,0.0004628220768899,0.000222688,-0.0001419079999999,4.9589945344e-08,2.0137880464e-08,-0.000235694,3.962399999999996e-05,1.5700613759999967e-09,5.5551661636000017e-08,-0.000184629,-6.473400000000001e-05,3.4087867641000006e-08,4.190490756000001e-09,-0.0015214559200285266,-0.004739562405970715,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.01607829640056712,-0.4276015638634681,-0.839457898901494,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0081791399999999,0.00057801,6.689833113959996e-05,3.340955601000024e-07,-0.0244335,-0.0024124999999999,0.00059699592225,5.82015624999999e-06,0.0252506,-0.0246434,0.0006375928003599,0.00060729716356,0.000182918,-3.9770000000000014e-05,3.3458994724e-08,1.5816529000000003e-09,-0.0,0.000235694,5.5551661636000017e-08,0.0,-0.000249884,-6.525500000000001e-05,6.244201345600002e-08,4.258215025000001e-09,-0.009828450721025304,-0.019303449971548994,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.03530043432275579,-1.3789962136060143,-1.8432335805291733,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,1.75052e-05,0.0081966451999999,3.0643202704e-10,6.718499253468301e-05,-0.0364281,-0.0119945999999999,0.00132700646961,0.0001438704291599,0.0252619,1.130000000000575e-05,0.00063816359161,1.2769000000012995e-10,7.33238e-05,-0.0001095941999999,5.3763796464400015e-09,1.2010888673639996e-08,-0.0,0.0,0.0,0.0,-0.000202276,4.760800000000004e-05,4.091558017599999e-08,2.266521664000004e-09,-0.03169632076985285,-0.042394110614826716,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.055473125382937465,-3.054831865818112,-2.8969175500848796,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.00790789,-0.0079253952,6.25347242521e-05,6.281188907618306e-05,-0.0264783,0.0099497999999999,0.00070110037089,9.899852003999988e-05,0.0511732,0.0259112999999999,0.00261869639824,0.0006713954676899,0.000400439,0.0003271152,1.60351392721e-07,1.0700435407103999e-07,7.58314e-05,7.58314e-05,5.75040122596e-09,5.75040122596e-09,0.0,0.000202276,0.0,4.091558017599999e-08,-0.07021551601199891,-0.06664623879761757,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.07064933401758189,-5.362742795316775,-3.690037651052225,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-9.81448e-05,0.0078097452,9.632401767039998e-09,6.0992120088923047e-05,-0.0123933,0.014085,0.00015359388489,0.000198387225,0.0502409,-0.0009322999999999,0.00252414803281,8.691832899999944e-07,0.000518456,0.000118017,2.6879662393600005e-07,1.3928012289000013e-08,0.00032124,0.0002454086,6.022538095396e-08,1.0319513759999997e-07,0.0,0.0,0.0,0.0,-0.123263004038343,-0.08492178504065935,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.0778648803577813,-8.05607417434136,-4.067765155689495,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.000100216,-2.071200000000015e-06,1.0043246656e-08,4.289869440000062e-12,-0.0210495,-0.0086562,0.00044308145025,7.492979843999999e-05,-0.00143861,-0.05167951,2.0695987321000004e-06,0.0026707717538401,0.000227998,-0.000290458,5.198308800399999e-08,8.436584976400005e-08,2.40661e-05,-0.0002971739,8.831232684121e-08,5.7917716921e-10,-8.27181e-25,-8.27181e-25,6.84228406761e-49,6.84228406761e-49,-0.1851694070340684,-0.09365712425695664,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07719755314691411,-10.846813737184913,-4.034045575523034,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.00209465,0.002194866,4.3875586225e-06,4.817436757956e-06,-0.0421114,-0.0210619,0.00177337000996,0.00044360363161,-0.0255175,-0.02407889,0.00065114280625,0.0005797929436321,0.0,-0.000227998,0.0,5.198308800399999e-08,-0.000121465,-0.0001455311,2.117930106721e-08,1.4753746225000005e-08,-0.000147395,-0.000147395,2.1725286025e-08,2.1725286025e-08,-0.24931474368999668,-0.09293725029821807,1
