,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.208662,0.0,0.0,0.043539830244,-0.570471,0.0,0.325437161841,0.0,-0.189307,0.0,0.0,0.035837140249,-0.0254382,0.0,0.00064710201924,0.0,-0.0169604,0.0,0.0,0.00028765516816,0.0103737,0.0,0.0,0.00010761365169,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.211772,0.00311,9.67210000000001e-06,0.0448473799839999,-0.622346,-0.051875,0.387314543716,0.002691015625,-0.200534,-0.0112269999999999,0.0001260455289999,0.040213885156,-0.0260424,-0.0006042,0.00067820659776,3.650576400000032e-07,-0.016733,0.0002273999999999,5.171075999999961e-08,0.000279993289,0.0102911,-8.260000000000038e-05,6.8227600000000626e-09,0.00010590673921,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1891827155884826e-05,0.0001872887762937677,-0.0014946636327058027,-0.00877722493739451,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.208646,-0.0031259999999999,9.771875999999935e-06,0.043533153316,-0.633034,-0.010688,0.400732045156,0.000114233344,-0.205137,-0.0046029999999999,2.1187608999999968e-05,0.042081188769,-0.0263879,-0.0003454999999999,0.00069632126641,1.1937024999999902e-07,-0.0171411999999999,-0.0004081999999999,1.666272399999951e-07,0.0002938207374399,0.0105015,0.0002103999999999,4.426815999999978e-08,0.00011028150225,-0.0001464971523884518,-0.0008603245147053961,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012076508588624742,0.0038011787816051566,-0.0565985702520213,-0.17813435179193188,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.232529,0.0238829999999999,0.0005703976889999,0.0540697358409999,-0.5900449999999999,0.042989,0.3481531020249999,0.001848054121,-0.0782197,0.1269172999999999,0.01610800103929,0.00611832146809,-0.0247836,0.0016043,0.00061422682896,2.573778490000009e-06,-0.0182614,-0.0011202,1.2548480400000117e-06,0.00033347872996,0.0106597,0.0001582,2.5027240000000225e-08,0.00011362920409,-0.005547421633701379,-0.017461015771393747,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007958155677997854,0.015758344416315333,-0.372972229442166,-0.7384473214537124,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.229478,-0.0030509999999999,9.30860099999982e-06,0.052660152484,-0.560647,0.0293979999999999,0.314325058609,0.0008642424039999,-0.01822,0.0599996999999999,0.00359996400009,0.0003319683999999,-0.0237587,0.0010248999999999,0.00056447582569,1.0504200099999971e-06,-0.0176784,0.000583,3.398890000000002e-07,0.00031252582656,0.0107495,8.979999999999926e-05,8.064039999999866e-09,0.00011555175025,-0.03655629824506766,-0.07238734330075632,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591815821350311,0.034909384267080075,-1.2146976816061794,-1.6357811390724382,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.212827,-0.016651,0.000277255801,0.045295331929,-0.603404,-0.042757,0.3640963872160001,0.001828161049,-0.1443329999999999,-0.1261129999999999,0.0159044887689999,0.0208320148889999,-0.0254468,-0.0016880999999999,0.00064753963024,2.8496816099999924e-06,-0.0164606999999999,0.0012177,1.4827932900000051e-06,0.0002709546444899,0.0105235,-0.000226,5.107600000000023e-08,0.00011074405225,-0.11905672117412505,-0.1603597257254457,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774872400336391,0.05516048798345453,-2.706490198290989,-2.584507876714998,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.221588,0.008761,7.675512100000032e-05,0.049101241744,-0.641628,-0.0382239999999999,0.411686490384,0.0014610741759999,-0.214027,-0.069694,0.004857253636,0.045807556729,-0.0263834,-0.0009366,0.00069608379556,8.772195600000049e-07,-0.0174152999999999,-0.0009546,9.112611599999998e-07,0.0003032926740899,0.0106234,9.99e-05,9.980009999999996e-09,0.00011285662756,-0.26527246555073486,-0.2533859809930806,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175950302083786,0.07052092845478097,-4.769128708243269,-3.3038820374886377,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.221482,-0.0001059999999999,1.1235999999998937e-08,0.049054276324,-0.650927,-0.009299,0.4237059593290001,8.647140100000106e-05,-0.1988,0.0152269999999999,0.0002318615289999,0.03952144,-0.0262811,0.0001023,0.0006906962172099,1.0465290000000632e-08,-0.0169016999999999,0.0005136,2.63784960000003e-07,0.0002856674628899,0.0106391,1.5700000000000436e-05,2.464900000000137e-10,0.00011319044881,-0.46743880017128486,-0.3239472397951472,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326292389142754,0.0779547078323457,-7.182922366378238,-3.6516717456072207,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.242784,0.021302,0.000453775204,0.058944070656,-0.606352,0.044575,0.367662747904,0.001986930625,-0.123763,0.0750369999999999,0.0056305513689999,0.015317280169,-0.0260528,0.0002282999999999,0.00067874838784,5.2120889999998755e-08,-0.0191171,-0.0022154,4.907997160000012e-06,0.0003654635124099,0.0110484,0.0004092999999999,1.675264899999997e-07,0.00012206714256,-0.7040230654416767,-0.35809722870232935,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20673850379785844,0.07748337387046166,-9.689144544659634,-3.6289519082516857,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.231003,-0.011781,0.000138791961,0.053362386009,-0.581929,0.0244229999999999,0.3386413610409999,0.0005964829289999,-0.0839243,0.0398387,0.00158712201769,0.00704328813049,-0.0249866,0.0010662,0.0006243301795599,1.1367824400000069e-06,-0.0177013,0.0014157999999999,2.004489639999995e-06,0.00031333602169,0.0109891,-5.929999999999824e-05,3.516489999999792e-09,0.00012076031881,-0.9496665696636565,-0.3559346664395716,1
