,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,non_steady_state_outlier00,non_steady_state_outlier01,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.754227312252831e-30,-9.159732514968135e-30,-9.157432131617868e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2691462320826677e-31,-2.2685522757903536e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.00020575244926167974,-0.0018567290367295483,-0.010741018865396693,0.0577348291,0.0577342355,0.0577332462,0.0577318613,0.0577300806,0.0,0.0,1.57833e-06,1.57833e-06,2.4911255889e-12,2.4911255889e-12,0.0270501,0.0270501,0.0007317079100099,0.0007317079100099,-0.028348,-0.028348,0.000803609104,0.000803609104,0.000377384,0.000377384,1.4241868345600004e-07,1.4241868345600004e-07,0.000111928,0.000111928,1.2527877183999998e-08,1.2527877183999998e-08,0.0,0.0,0.0,0.0,-4.599686389104118e-05,-0.0002660830469706092,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.003948629320924096,-0.06619323321851694,-0.20614486803555418,0.0577332462,0.0577279042999999,0.0577190014,0.0577065382,0.0576905153,0.0,0.0,4.62934e-06,3.05101e-06,9.3086620201e-12,2.14307888356e-11,0.0207963,-0.0062537999999999,0.00043248609369,3.911001443999996e-05,-0.0790396,-0.0506915999999999,0.00256963831056,0.0062472583681599,0.000210017,-0.000167367,2.8011712689000012e-08,4.4107140289e-08,0.00020078,8.885200000000002e-05,4.0312608400000006e-08,7.894677904000004e-09,-6.1344e-05,-6.1344e-05,3.763086336e-09,3.763086336e-09,-0.0016398090828713414,-0.0051066656136419045,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.01607829915238451,-0.4276015638634681,-0.8394578700136783,0.0577300806,0.0577152426,0.0576905153,0.0576559030999999,0.0576114118,0.0,0.0,0.0,-4.62934e-06,2.14307888356e-11,0.0,0.0043849,-0.0164114,1.922734801e-05,0.00026933404996,-0.0801608,-0.0011212,1.2570894400000064e-06,0.00642575385664,0.0,-0.000210017,4.4107140289e-08,0.0,-0.0,-0.00020078,0.0,4.0312608400000006e-08,0.0,6.1344e-05,0.0,3.763086336e-09,-0.010593000132786305,-0.02079481785456036,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.035300443197245686,-1.3789962136060143,-1.8432334873672398,0.0577253323,0.0576962517,0.0576477949,0.0575799782,0.0574928242999999,0.0,0.0,-0.00651363,-0.00651363,4.242737577690001e-05,4.242737577690001e-05,8.693119999999996e-06,-0.00437620688,7.557033533439992e-11,1.9151186656559333e-05,-0.0537894,0.0263714,0.00069545073796,0.00289329955236,-0.000194469,-0.000194469,3.7818191961000006e-08,3.7818191961000006e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03416195895509988,-0.04565891243277553,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05547314504221879,-3.054831865818112,-2.8969173437071967,0.0577190014,0.0576709338,0.0575908508,0.0574787967999999,0.0573348341,0.0,0.0,-0.00354404,0.00296959,8.818464768100004e-06,1.25602195216e-05,-2.18986e-05,-3.0591719999999995e-05,4.7954868196e-10,9.358533325583995e-10,-0.07135,-0.0175605999999999,0.0003083746723599,0.0050908225,-9.61541e-05,9.831490000000004e-05,9.665819562010004e-09,9.24561094681e-09,0.000110829,0.000110829,1.2283067240999998e-08,1.2283067240999998e-08,-0.000154124,-0.000154124,2.3754207376e-08,2.3754207376e-08,-0.0756775397822995,-0.07175748236699231,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.07064936852935666,-5.362742795316775,-3.6900372887571855,0.0577110880999999,0.0576392917,0.057519697,0.0573524034,0.0571375495,0.0,0.0,6.294990000000002e-05,0.0036069899,1.301037613870201e-05,3.962689910010002e-09,0.027613,0.0276348986,0.000762477769,0.0007636876206322,-0.0576474,0.0137025999999999,0.0001877612467599,0.00332322272676,0.000332305,0.0004284591,1.8357720037281e-07,1.1042661302500003e-07,0.000252125,0.000141296,6.3567015625e-08,1.9964559616e-08,5.046e-05,0.000204584,2.5462116e-09,4.1854613056e-08,-0.1328515607604931,-0.09139942460019194,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.07786493220241157,-8.05607417434136,-4.067764611438946,0.0577015927,0.0576013287,0.0574343511,0.0572008532,0.0569011055999999,0.0,0.0,-5.3006e-05,-0.0001159559,1.3445770744810005e-08,2.8096360359999998e-09,-1.14064e-05,-0.0276244064,1.3010596096000004e-10,0.0007631078289523,-0.0798776,-0.0222302,0.00049418179204,0.00638043098176,-6.617449999999998e-24,-0.000332305,1.1042661302500003e-07,4.379064450249998e-47,0.000279827,2.7702e-05,7.830314992900004e-08,7.67400804e-10,-0.000149903,-0.000200363,2.2470909409e-08,4.0145331769e-08,-0.19957362650287805,-0.10074980629892338,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.0771976229512674,-10.846813737184913,-4.034044842736295,0.0576905153,0.0575570491,0.0573348341,0.0570242129,0.0566256646,0.0,0.0,-9.94821e-05,-4.647609999999999e-05,2.160027871209999e-09,9.896688220409996e-09,-0.0230689,-0.0230574936,0.00053217414721,0.000531648011114,-0.0582352,0.0216424,0.00046839347776,0.0033913385190399,-0.000129957,-0.000129957,1.6888821849000005e-08,1.6888821849000005e-08,0.000195519,-8.430799999999999e-05,3.8227679361000006e-08,7.107838864000002e-09,-0.00017556,-2.5657e-05,3.08213136e-08,6.58281649e-10,-0.26870879124051905,-0.09990712753052333,1
