,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q39,Q39_derivative,Q40,Q40_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.112129,0.0,0.0125729126409999,0.0,-0.0397852,0.0,0.00158286213904,0.0,-0.0206068,0.0,0.0,0.0004246402062399,-0.00380996,0.0,1.4515795201599996e-05,0.0,-0.000921339,0.0,8.488655529209998e-07,0.0,0.000945631,0.0,0.0,8.942179881610001e-07,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.100496,0.0116329999999999,0.010099446016,0.0001353266889999,-0.0473399,-0.0075546999999999,0.00224106613201,5.707349208999996e-05,-0.0414991999999999,-0.0208924,0.0004364923777599,0.0017221836006399,-0.00353385,0.00027611,1.24880958225e-05,7.62367321e-08,-0.000909583,1.175599999999992e-05,8.273412338890001e-07,1.3820353599999808e-10,0.000886563,-5.906800000000001e-05,3.489028624000001e-09,7.859939529689999e-07,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0809613,0.0195347,0.00655473209769,0.00038160450409,-0.0331529999999999,0.0141869,0.0010991214089999,0.00020126813161,-0.0982041,-0.0567049,0.00321544568401,0.0096440452568099,-0.00340357,0.0001302799999999,1.15842887449e-05,1.6972878399999994e-08,-0.00079894,0.0001106429999999,6.383051236000001e-07,1.2241873449e-08,0.000644415,-0.000242148,5.863565390400005e-08,4.15270692225e-07,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0731766999999999,0.0077846,0.0053548294228899,6.059999716000048e-05,-0.0292844,0.0038685999999999,0.0008575760833599,1.4966065959999973e-05,-0.0951841,0.0030199999999999,9.12039999999997e-06,0.00906001289281,-0.00305011,0.0003534599999999,9.3031710121e-06,1.2493397159999994e-07,-0.0009129,-0.0001139599999999,8.333864099999998e-07,1.2986881599999971e-08,0.0007866779999999,0.0001422629999999,2.0238761168999967e-08,6.188622756839997e-07,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0885471,-0.0153704,0.00784058891841,0.00023624919616,-0.0404249,-0.0111405,0.00163417254001,0.00012411074025,-0.00652596,0.08865814,0.0078602657882596,4.25881539216e-05,-0.00299655,5.355999999999981e-05,8.979311902500001e-06,2.868673599999979e-09,-0.000700461,0.0002124389999999,4.906456125210001e-07,4.5130328720999924e-08,0.0007866779999999,0.0,0.0,6.188622756839997e-07,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0886105999999999,-6.349999999996636e-05,0.0078518384323599,4.032249999995728e-09,-0.0406212,-0.0001962999999999,0.0016500818894399,3.8533689999998624e-08,0.00546751,0.01199347,0.0001438433226408,2.98936656001e-05,-0.00330825,-0.0003116999999999,1.09445180625e-05,9.715688999999989e-08,-0.000502551,0.00019791,2.52557507601e-07,3.9168368100000057e-08,0.00105413,0.000267452,7.153057230400006e-08,1.1111900568999998e-06,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0776740999999999,0.0109365,0.0060332658108099,0.00011960703225,-0.0347409,0.0058802999999999,0.00120693013281,3.4577928089999985e-05,-0.0358513,-0.04131881,0.0017072440598161,0.00128531571169,-0.00337987,-7.16200000000001e-05,1.14235212169e-05,5.129424400000015e-09,-0.000502551,0.0,2.52557507601e-07,0.0,0.000733004,-0.0003211259999999,1.0312190787599997e-07,5.37294864016e-07,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0686079,0.0090661999999999,0.00470704394241,8.219598243999944e-05,-0.0082632499999999,0.02647765,6.828130056249997e-05,0.0007010659495224,-0.108364,-0.0725127,0.00525809166129,0.011742756496,-0.00305878,0.00032109,9.3561350884e-06,1.030987881e-07,-0.000745227,-0.000242676,5.55363281529e-07,5.889164097600003e-08,0.000374109,-0.000358895,1.28805621025e-07,1.399575438810001e-07,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.0733368,-0.0047289,0.00537828623424,2.2362495210000075e-05,-0.0249326,-0.01666935,0.00062163454276,0.0002778672294225,-0.102609,0.005755,3.3120025000000274e-05,0.0105286068809999,-0.00286586,0.00019292,8.2131535396e-06,3.721812640000003e-08,-0.000502551,0.000242676,2.52557507601e-07,5.889164097600003e-08,0.0007866779999999,0.0004125689999999,1.702131797609999e-07,6.188622756839997e-07,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.08837,-0.0150331999999999,0.0078092568999999,0.0002259971022399,-0.0297689,-0.0048363,0.00088618740721,2.338979769000001e-05,-0.0378696,0.0647394,0.00419118991236,0.0014341066041599,-0.00223167,0.00063419,4.980350988899998e-06,4.021969561000002e-07,-0.000445635,5.6915999999999954e-05,1.98590553225e-07,3.239431055999995e-09,0.00114118,0.000354502,1.2567166800400017e-07,1.3022917924000002e-06,1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.18849154048911346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-0.0724693999999999,0.0159006,0.0052518139363599,0.00025282908036,-0.0434252,-0.0136562999999999,0.00188574799504,0.0001864945296899,-0.0268882,0.0109813999999999,0.0001205911459599,0.00072297529924,-0.00165612,0.0005755499999999,2.7427334544000003e-06,3.312578024999997e-07,-0.000502551,-5.6915999999999954e-05,2.52557507601e-07,3.239431055999995e-09,0.00123163,9.044999999999996e-05,8.181202499999989e-09,1.5169124569000004e-06,1
