,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.734056,0.0,0.0,0.5388382111360001,-0.65868,0.0,0.4338593424000001,0.0,-0.231476,0.0,0.0,0.053581138576,-0.0178099,0.0,0.0,0.00031719253801,-0.00464534,0.0,0.0,2.1579183715600005e-05,-0.00964946,0.0,0.0,9.31120782916e-05,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.744499,0.0104429999999999,0.0001090562489999,0.554278761001,-0.559912,0.098768,0.313501447744,0.009755117824,-0.172224,0.059252,0.003510799504,0.0296611061759999,-0.0177087,0.0001012,1.0241440000000541e-08,0.00031359805569,-0.00507267,-0.0004273299999999,1.826109288999993e-07,2.5731980928899995e-05,-0.00921476,0.0004346999999999,1.889640899999997e-07,8.491180185760001e-05,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003608028712235769,0.021186105947342857,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.755774,0.0112749999999999,0.0001271256249999,0.5711943390759999,-0.583242,-0.02333,0.3401712305640001,0.0005442889,-0.197863,-0.025639,0.000657358321,0.039149766769,-0.0180102999999999,-0.0003015999999999,9.096255999999736e-08,0.0003243709060899,-0.00539429,-0.00032162,1.0343942440000046e-07,2.909836460410001e-05,-0.00918362,3.1139999999998946e-05,9.696995999999344e-10,8.433887630440002e-05,-5.124771302203331e-05,-0.00030094631956275095,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13662556716597454,0.42994544889678016,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.75766,0.001886,3.5569960000002053e-06,0.5740486756000001,-0.64745,-0.0642079999999999,0.4191915025,0.0041226672639999,-0.225587,-0.0277239999999999,0.0007686201759999,0.0508894945689999,-0.0178977,0.0001125999999999,1.267875999999942e-08,0.00032032766529,-0.00615532,-0.0007610299999999,5.791666608999991e-07,3.788796430239999e-05,-0.00951946,-0.0003358399999999,1.1278850559999913e-07,9.06201186916e-05,-0.0019406020339720806,-0.006107734733060899,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9003326790374899,1.782170788109511,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.7665609999999999,0.0089009999999999,7.922780099999888e-05,0.5876157667209999,-0.676084,-0.028634,0.4570895750559999,0.000819905956,-0.225605,-1.8000000000045754e-05,3.2400000000164725e-10,0.050897616025,-0.0169505,0.0009471999999999,8.971878399999977e-07,0.00028731945025,-0.0063715,-0.00021618,4.673379240000031e-08,4.0596012250000014e-05,-0.00978758,-0.00026812,7.188833440000008e-08,9.57967222564e-05,-0.01278814400872114,-0.02531936874428007,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9322076325543187,3.9473852243613003,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.8010899999999999,0.0345289999999999,0.0011922518409999,0.6417451880999998,-0.600114,0.0759699999999999,0.360136812996,0.0057714408999999,-0.1787089999999999,0.046896,0.002199234816,0.0319369066809999,-0.0167457999999999,0.0002047,4.190209000000086e-08,0.0002804218176399,-0.00598437,0.00038713,1.4986963690000025e-07,3.58126842969e-05,-0.00962503,0.00016255,2.6422502500000288e-08,9.26412025009e-05,-0.04164848654462147,-0.05608666893625712,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.533305642247236,6.235967278469942,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.824974,0.0238840000000001,0.000570445456,0.680582100676,-0.52079,0.079324,0.2712222241,0.006292296976,-0.0878757,0.0908332999999999,0.0082506883888899,0.00772213865049,-0.0171280999999999,-0.0003822999999999,1.4615328999999893e-07,0.0002933718096099,-0.00641599,-0.0004316199999999,1.8629582439999973e-07,4.11649276801e-05,-0.00932275,0.00030228,9.137319840000016e-08,8.691366756249999e-05,-0.09279775726386692,-0.08861632141737094,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.512391775090789,7.970298403197876,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.8173159999999999,-0.007658,5.864496400000082e-05,0.6680054438559999,-0.599983,-0.079193,0.3599796002890001,0.006271531249,-0.11081,-0.0229342999999999,0.0005259821164899,0.0122788561,-0.0176019,-0.0004738,2.244864400000032e-07,0.00030982688361,-0.00641599,0.0,0.0,4.11649276801e-05,-0.0089406899999999,0.00038206,1.4596984360000136e-07,7.993593767609996e-05,-0.16351969370040764,-0.11328234244509391,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.33914545625017,8.807273149409951,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.797477,-0.0198389999999999,0.0003935859209999,0.635969565529,-0.6384489999999999,-0.0384659999999998,0.407617125601,0.0014796331559999,-0.0855568,0.0252531999999999,0.0006377241102399,0.0073199660262399,-0.0159020999999999,0.0016998,2.8893200400000164e-06,0.0002528767844099,-0.00589617,0.0005198199999999,2.702128323999998e-07,3.47648206689e-05,-0.00910398,-0.00016329,2.666362410000056e-08,8.288245184039999e-05,-0.24628172923783967,-0.12520793036641015,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.38901606299772,8.749761623378458,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.8128119999999999,0.0153349999999998,0.0002351622249999,0.6606633473439998,-0.66578,-0.0273310000000001,0.4432630084000001,0.000746983561,-0.115938,-0.0303812,0.00092301731344,0.013441619844,-0.0165271,-0.000625,3.9062500000000505e-07,0.00027314503441,-0.00655098,-0.0006548099999999,4.2877613609999946e-07,4.29153389604e-05,-0.0087811,0.0003228799999999,1.0425149439999957e-07,7.710771720999999e-05,-0.3322128726413274,-0.1244298463220506,1
