,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0399421,0.0,0.00159537135241,0.0,-0.0377985,0.0,0.0,0.0014287266022499,0.0196855,0.0,0.00038751891025,0.0,6.23767e-05,0.0,0.0,3.8908527028899996e-09,-0.0,0.0,0.0,0.0,0.000463549,0.0,2.1487767540100002e-07,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.7543826025633932e-30,2.070590875031109e-30,2.069972192710271e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0373536,0.0025885,0.00139529143296,6.7003322500000025e-06,-0.0602242,-0.0224257,0.00050291202049,0.0036269542656399,1.54598e-05,-0.0196700402,2.3900541604e-10,0.0003869104814696,-0.000205309,-0.0002676857,7.165563398449e-08,4.2151785481e-08,-0.0,0.0,0.0,0.0,0.000315501,-0.000148048,9.9540881001e-08,2.1918210304000005e-08,2.2677064470326484e-31,2.2674324564242285e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.00020578392747660275,0.0004197203569618515,0.002427846395929159,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0300407,0.0073129,0.0009024436564899,5.347850641000006e-05,-0.0601842,3.999999999999837e-05,1.5999999999998692e-09,0.0036221379296399,-0.0327152,-0.0327306598,0.00107028431104,0.0010712960909433,-0.000458044,-0.000252735,6.387498022500001e-08,2.09804305936e-07,-0.0,0.0,0.0,0.0,0.000413546,9.8045e-05,1.7102029411599998e-07,9.612822025e-09,4.5967678642403716e-05,0.000265978998338901,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.003949751533578976,0.014963221302270107,0.046592667156108776,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0317521,-0.0017114,0.00100819585441,2.928889960000006e-06,-0.0601708,1.3399999999989807e-05,1.7955999999972687e-10,0.00362052517264,-0.0313325,0.0013827,0.00098172555625,1.911859290000001e-06,-0.00037592,8.212399999999999e-05,6.744351375999997e-09,1.4131584640000002e-07,-0.0,0.0,0.0,0.0,0.000367037,-4.650900000000002e-05,1.3471615936899997e-07,2.1630870810000027e-09,0.0016387686155056767,0.005105734931277347,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.016085548532160685,0.09666088991549654,0.18971644406889143,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0236781,0.008074,0.0005606524196099,6.518947600000002e-05,-0.0476814,0.0124894,0.00015598511236,0.00227351590596,-0.00647438,0.02485812,4.19175963844e-05,0.0006179261299343,-0.00028455,9.137e-05,8.348476900000003e-09,8.096870250000002e-08,0.00017666,0.00017666,3.12087556e-08,3.12087556e-08,0.000331337,-3.570000000000001e-05,1.0978420756899999e-07,1.27449e-09,0.01058627881927623,0.020796542721708618,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.03532382212779032,0.3117271134205164,0.4165210879353318,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0196028,0.0040752999999999,0.00038426976784,1.6608070089999977e-05,-0.0430268,0.0046545999999999,2.1665301159999957e-05,0.00185130551824,-0.0229764,-0.01650202,0.0005279149569599,0.0002723166640804,-0.000237714,4.6836e-05,2.1936108959999995e-09,5.6507945796000004e-08,0.000328275,0.000151615,2.2987108225e-08,1.07764475625e-07,0.000184798,-0.0001465389999999,3.4150300803999995e-08,2.1473678520999988e-08,0.03414028301500952,0.045678055659358695,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05552493539618194,0.6905558623880017,0.6545296312091985,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0100338,0.009569,0.0001006771424399,9.156576100000004e-05,-0.0600571,-0.0170302999999999,0.00029003111809,0.00360685526041,-0.0775287999999999,-0.0545523999999999,0.0060107148294399,0.0029759643457599,-0.000689478,-0.000451764,2.04090711696e-07,4.7537991248400004e-07,0.000320359,-7.915999999999956e-06,6.266305599999929e-11,1.0262988888100004e-07,0.000118124,-6.667399999999999e-05,1.3953279376e-08,4.445422275999999e-09,0.07562952199091164,0.07181853687318801,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.07074028624914691,1.212267528443255,0.8335686642537371,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0081604899999999,0.00187331,6.659359704009998e-05,3.509290356100005e-06,-0.0705737,-0.0105166,0.00011059887556,0.0049806471316899,-0.0877962,-0.0102674,0.00770817273444,0.00010541950276,-0.000943795,-0.000254317,6.4677136489e-08,8.90749002025e-07,0.000226605,-9.375400000000004e-05,8.789812516000007e-09,5.1349826025e-08,8.1747e-05,-3.6377e-05,6.682572009000001e-09,1.3232861289999995e-09,0.13276726575634124,0.09152854065283182,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.0780015115466665,1.8211048899852103,0.9186651640186102,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.00563219,0.0025282999999999,3.1721564196099985e-05,6.39230088999999e-06,-0.0689022,0.0016715,2.793912250000021e-06,0.0047475131648399,-0.0726051999999999,0.015191,0.0052715150670399,0.000230766481,-0.0007989589999999,0.000144836,2.0977466896000017e-08,6.383354836809997e-07,-0.0,-0.000226605,5.1349826025e-08,0.0,0.0001659009999999,8.415399999999998e-05,2.7523141800999992e-08,7.0818957159999974e-09,0.19944699600205174,0.10096696150788012,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07738151533798332,2.4519617260303037,0.910742057973666,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.0105572,-0.00492501,0.00011145447184,2.425572350010001e-05,-0.0397055,0.0291967,0.0008524472908899,0.0015765267302499,-0.0132284,0.0593767999999999,0.0001749905665599,0.0035256043782399,-0.000458044,0.0003409149999999,1.1622303722499997e-07,2.09804305936e-07,0.000161946,0.000161946,2.6226506916e-08,2.6226506916e-08,0.0,-0.0001659009999999,0.0,2.7523141800999992e-08,0.2685382941191935,0.1002221880781764,1
