,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.0,0.0,0.0,0.0,-0.0196182,0.0,0.0,0.00038487377124,0.0214043,0.0,0.0,0.00045814405849,0.000265277,0.0,7.037188672899999e-08,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.00681159,-0.00681159,4.63977583281e-05,4.63977583281e-05,-0.0197408,-0.0001225999999999,1.5030759999999266e-08,0.00038969918464,0.0149334,-0.0064709,4.187254681000002e-05,0.00022300643556,0.000207472,-5.780500000000003e-05,4.3044630784e-08,3.341418025000002e-09,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1891827155884826e-05,0.00018727090634410604,-0.001664753377537188,-0.009776113975614955,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-9.20123e-05,0.0067195777,8.466263351289998e-09,4.5152724466337294e-05,-0.048421,-0.0286802,0.00082255387204,0.002344593241,0.0243953,0.0094619,8.952755161000004e-05,0.00059513066209,8.888709999999997e-05,-0.0001185849,7.900916546409998e-09,1.4062378508010002e-08,0.000213908,0.000213908,4.5756632464e-08,4.5756632464e-08,-0.000161246,-0.000161246,2.6000272516000006e-08,2.6000272516000006e-08,4.601500015099463e-05,0.00027020379948629233,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012076508588624742,0.003800502098517942,-0.06303937483262115,-0.19840789468205064,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-7.94033e-05,1.2608999999999987e-05,6.304884050890001e-09,1.5898688099999968e-10,-0.0593174,-0.0108964,0.00011873153296,0.00351855394276,0.0288642,0.0044688999999999,1.9971067209999985e-05,0.00083314204164,0.0,-8.888709999999997e-05,0.0,7.900916546409998e-09,5.18366e-05,-0.0001620714,2.626713869796e-08,2.68703309956e-09,0.0,0.000161246,2.6000272516000006e-08,0.0,0.0017424543968987208,0.005483566060024798,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007958155677997854,0.015753885222407425,-0.4154157263914878,-0.822495708947203,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.0,7.94033e-05,0.0,6.304884050890001e-09,-0.0305553,0.0287621,0.00082725839641,0.00093362635809,0.0307175,0.0018533,3.434720890000008e-06,0.00094356480625,7.179840000000001e-05,7.179840000000001e-05,5.1550102425600005e-09,5.1550102425600005e-09,-0.0,-5.18366e-05,2.68703309956e-09,0.0,0.0,0.0,0.0,0.0,0.011482394311708099,0.022730605514977898,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591815821350311,0.034894861543739865,-1.3529278587448628,-1.8219771710633283,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.000225986,0.000225986,5.1069672196e-08,5.1069672196e-08,-0.0110138,0.0195415,0.00038187022225,0.0001213037904399,0.0201252,-0.0105923,0.00011219681929,0.00040502367504,0.000216074,0.0001442755999999,4.6687973476000014e-08,2.0815448755360003e-08,-0.0,0.0,0.0,0.0,8.57289e-05,8.57289e-05,7.349444295209999e-09,7.349444295209999e-09,0.03739591489312897,0.05034847958781558,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774872400336391,0.055128129637038,-3.0144833929755963,-2.8787253299485824,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.0,-0.000225986,0.0,5.1069672196e-08,-0.0219459,-0.0109321,0.00011951081041,0.00048162252681,0.0172349,-0.0028902999999999,8.353834089999991e-06,0.0002970417780099,0.000198357,-1.771700000000002e-05,3.9345499449e-08,3.1389208900000067e-10,-0.0,0.0,0.0,0.0,0.0,-8.57289e-05,7.349444295209999e-09,0.0,0.08332252431777645,0.0795426638460767,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175950302083786,0.07046390954558861,-5.311846057687736,-3.6800433191527935,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.00306981,-0.00306981,9.4237334361e-06,9.4237334361e-06,-0.0287209,-0.006775,4.5900625e-05,0.00082489009681,0.0195201,0.0022851999999999,5.2221390399999895e-06,0.00038103430401,0.00019179,-6.566999999999992e-06,3.67834041e-08,4.312548899999992e-11,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14682330755091158,0.10167079061038427,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326292389142754,0.07786883000786252,-8.000324627132517,-4.067504986616563,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.0,0.00306981,0.0,9.4237334361e-06,-0.0499737,-0.0212527999999999,0.0004516815078399,0.00249737069169,0.0199521,0.000432,1.866240000000016e-07,0.00039808629441,0.000109267,-8.2523e-05,1.1939277289000004e-08,6.810045528999999e-09,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22113482026396145,0.11235607003086098,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20673850379785844,0.07736753207068203,-10.791749898248213,-4.04229746663194,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-3.00122e-05,-3.00122e-05,9.007321488399999e-10,9.007321488399999e-10,-0.0340881999999999,0.0158855,0.00025234911025,0.0011620053792399,0.0173115,-0.0026406,6.972768359999998e-06,0.00029968803225,6.04949e-05,-4.877210000000002e-05,3.659632926009999e-09,2.378717738410001e-09,5.80917e-05,5.80917e-05,3.37464560889e-09,3.37464560889e-09,0.0,0.0,0.0,0.0,0.2982918550566477,0.11163393546823137,1
