,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0133325,0.0,0.0,0.0001777555562499,0.0253938,0.0,0.0,0.0006448450784399,0.032527,0.0,0.0,0.001058005729,0.000752556,0.0,5.663405331360001e-07,0.0,-0.000207355,0.0,4.2996096025e-08,0.0,0.000860973,0.0,7.41274506729e-07,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.7542918555785935e-30,-8.223872232468199e-30,-8.22227313532774e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.00955022,0.0037822799999999,1.4305641998399994e-05,9.12067020484e-05,0.0108459,-0.0145478999999999,0.0002116413944099,0.00011763354681,0.0140843,-0.0184427,0.00034013318329,0.00019836750649,0.0008228539999999,7.029799999999989e-05,6.770887053159999e-07,4.941808803999984e-09,-0.000380134,-0.000172779,1.4450185795600002e-07,2.9852582841000016e-08,0.0008888519999999,2.787899999999975e-05,7.900578779039996e-07,7.77238640999986e-10,6.318991618035498e-31,6.31762510147028e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.00020576553255498268,-0.0016670249205885984,-0.009644541880887652,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.00859531,0.0009549099999999,9.118531080999996e-07,7.38793539961e-05,0.000451943,-0.0103939569999999,0.0001080343421178,2.04252475249e-07,0.0084090299999999,-0.00567527,3.220868957290001e-05,7.071178554089998e-05,0.000532027,-0.0002908269999999,2.83052728729e-07,8.458034392899996e-08,-0.000389186,-9.051999999999952e-06,1.5146574259599994e-07,8.193870399999915e-11,0.0007785169999999,-0.000110335,6.060887192889995e-07,1.2173812225000009e-08,0.00012808949607299707,0.0007410314772100299,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.003949095746270895,-0.0594301953417847,-0.18511650657392734,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0078198799999999,0.00077543,6.012916849000036e-07,6.115052321439997e-05,0.0171964,0.016744457,0.0002803768402248,0.00029571617296,0.0397529,0.03134387,0.0009824381865769,0.00158029305841,0.000504335,-2.769200000000006e-05,2.54353792225e-07,7.668468640000031e-10,-0.000465212,-7.602599999999998e-05,2.16422204944e-07,5.7799526759999965e-09,0.000656401,-0.0001221159999999,4.308622728010001e-07,1.4912317455999926e-08,0.0045664486948168576,0.014222834649882669,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.01608131221275366,-0.3839130260485544,-0.7539071652145125,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0114124,-0.00359252,1.2906199950400012e-05,0.00013024287376,0.0451213,0.0279249,0.00077980004001,0.00203593171369,0.0501159,0.0103629999999999,0.0001073917689999,0.00251160343281,0.0007634649999999,0.0002591299999999,5.828788062249996e-07,6.714835689999987e-08,-0.00031342,0.0001517919999999,9.82320964e-08,2.3040811263999983e-08,0.000563016,-9.338500000000008e-05,3.16987016256e-07,8.720758225000015e-09,0.029498794790095727,0.05792166794255243,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.035310160184253134,-1.23810260302047,-1.6556101706085724,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0126401,-0.0012277,1.507247290000004e-06,0.00015977212801,0.0246232,-0.0204981,0.00042017210361,0.00060630197824,0.0257389,-0.024377,0.0005942381289999,0.00066249097321,0.0005778959999999,-0.0001855689999999,3.339637868159999e-07,3.4435853760999924e-08,-0.00021581,9.761e-05,4.657395610000001e-08,9.527712100000002e-09,0.000444702,-0.0001183139999999,1.97759868804e-07,1.3998202596e-08,0.09513231418973819,0.12719167077410287,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05549467067170002,-2.742716221800936,-2.60249099217843,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0083009499999999,0.00433915,1.882822272250003e-05,6.890577090249996e-05,-0.00298654,-0.02760974,0.0007622977428676,8.9194211716e-06,0.0183999,-0.0073389999999999,5.386092099999998e-05,0.00033855632001,0.0007497979999999,0.0001719019999999,5.621970408039995e-07,2.95502976039999e-08,-0.00026664,-5.083e-05,7.109688960000002e-08,2.5836889e-09,0.000444702,0.0,1.97759868804e-07,0.0,0.21074258361877007,0.19992210987244172,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.07068715666941988,-4.814825268336773,-3.3157517556630722,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0072441999999999,0.0010567499999999,1.1167205624999969e-06,5.247843363999999e-05,-0.015844,-0.01285746,0.0001653142776516,0.000251032336,0.0183251,-7.48000000000068e-05,5.595040000001017e-09,0.0003358092900099,0.000678996,-7.080199999999958e-05,4.610355680160001e-07,5.012923203999941e-09,-0.00033545,-6.880999999999999e-05,1.125267025e-07,4.7348160999999975e-09,0.000444702,0.0,1.97759868804e-07,0.0,0.3699576021233285,0.2546923321390367,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.07792169868756268,-7.232975918980813,-3.6562572218693306,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.00865804,-0.00141384,1.998943545600004e-06,7.496165664160001e-05,0.00206296,0.01790696,0.0003206592164416,4.2558039616e-06,0.0431994,0.0248743,0.00061873080049,0.00186618816036,0.000549893,-0.000129103,3.023823114490001e-07,1.6667584608999997e-08,-0.000253263,8.2187e-05,6.414214716900001e-08,6.754702969000001e-09,0.000381195,-6.350699999999992e-05,1.45309628025e-07,4.03313904899999e-09,0.5557614821038516,0.28081528908958686,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07727405416051694,-9.738582448583646,-3.627403196906927,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.00720041,0.00145763,2.1246852169000016e-06,5.18459041681e-05,0.0287281,0.02666514,0.0007110296912196,0.00082530372961,0.0277876,-0.0154118,0.00023752357924,0.0007721507137599,0.000710186,0.0001602929999999,5.04364154596e-07,2.569384584899998e-08,-0.00017072,8.2543e-05,2.91453184e-08,6.813346848999999e-09,0.000444702,6.350699999999992e-05,1.97759868804e-07,4.03313904899999e-09,0.7482852253126324,0.27855623826541165,1
