,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388456,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0335706,0.0,0.00112698518436,0.0,0.0661804,0.0,0.0,0.00437984534416,0.122002,0.0,0.0,0.014884488004,5.29395e-23,0.0,2.80259066025e-45,0.0,0.000443725,0.0,0.0,1.96891875625e-07,0.00106162,0.0,1.1270370244000003e-06,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0417594,-0.0081888,0.00174384748836,6.705644544000005e-05,-0.0170326,-0.083213,0.0069244033689999,0.0002901094627599,0.0432443,-0.0787577,0.00620277530929,0.00187006948249,0.000405281,0.000405281,1.64252688961e-07,1.64252688961e-07,0.000180042,-0.000263683,6.952872448900001e-08,3.2415121764e-08,0.00107596,1.433999999999984e-05,1.1576899216e-06,2.056355999999954e-10,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001664753377537188,-0.009774954777953893,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164505,-0.0423554,-0.0005959999999999,0.00179397990916,3.552159999999992e-07,-0.0260497,-0.0090171,8.130809241e-05,0.00067858687009,0.0376835,-0.0055607999999999,3.092249663999997e-05,0.00142004617225,0.000600983,0.000195702,3.61180566289e-07,3.8299272804000006e-08,-0.0,-0.000180042,3.2415121764e-08,0.0,0.000886678,-0.0001892819999999,7.86197875684e-07,3.582767552399997e-08,-0.00010128271887298544,-0.000594768924147991,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06303937483262115,-0.1983639992337237,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.026185,0.0161704,0.000685654225,0.00026148183616,0.0378608,0.0639105,0.00408455201025,0.00143344017664,0.0775696,0.0398861,0.00159090097321,0.00601704284416,0.00032956,-0.000271423,1.086097936e-07,7.367044492900001e-08,-0.0,0.0,0.0,0.0,0.0008561149999999,-3.0563000000100016e-05,7.329328932248288e-07,9.340969690061136e-10,-0.003835282369900761,-0.012070853774349952,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4154157263914878,-0.8222064475197153,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0354819,-0.0092968999999999,0.0012589652276099,8.643234960999994e-05,0.0407468,0.0028859999999999,8.328995999999998e-06,0.00166030171024,0.0472983,-0.0302713,0.00091635160369,0.00223712918289,0.000454326,0.000124766,2.0641211427600002e-07,1.5566554756e-08,-0.0,0.0,0.0,0.0,0.000846492,-9.622999999899982e-06,7.16548706064e-07,9.260212899807504e-11,-0.02527367404640465,-0.050039032440109044,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3529278587448628,-1.8210351031086367,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.028361,0.0071208999999999,0.000804346321,5.070721680999994e-05,-0.025151,-0.0658978,0.00434252004484,0.000632572801,-0.0489019,-0.0962002,0.0092544784800399,0.00239139582361,0.000518656,6.433000000000003e-05,2.69004046336e-07,4.138348900000004e-09,0.000164848,0.000164848,2.7174863104e-08,2.7174863104e-08,0.000929201,8.270900000000004e-05,8.63414498401e-07,6.840778681000006e-09,-0.08231141850897077,-0.11084431018850359,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0144833929755963,-2.8766262910485283,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0261234,0.0022375999999999,0.00068243202756,5.006853759999997e-06,0.0175291,0.0426801,0.0018215909360099,0.00030726934681,0.0379847,0.0868866,0.00754928125956,0.00144283743409,0.000469367,-4.928900000000005e-05,2.20305380689e-07,2.4294055210000044e-09,0.000143829,-2.1019e-05,4.4179836099999984e-10,2.0686781241e-08,0.0008580699999999,-7.113100000010007e-05,7.362841248998284e-07,5.0596191610142354e-09,-0.18339958227909367,-0.17513161847343986,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.311846057687736,-3.6763445853889363,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0135543,0.0125691,0.00018371904849,0.00015798227481,0.0976705,0.0801414,0.00642264399396,0.00953952657025,0.104707,0.0667222999999999,0.0044518653172899,0.0109635558489999,0.000260352,-0.000209015,6.778316390399999e-08,4.3687270225e-08,0.000139547,-4.281999999999984e-06,1.833552399999986e-11,1.9473365209e-08,0.0008580699999999,0.0,7.362841248998284e-07,0.0,-0.3231699170679982,-0.22387689383122114,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.000324627132517,-4.061934216963447,0.0575823448,0.0574123653,0.0571294377,0.0567341187,0.0562271859,-0.0143565,-0.0008021999999999,0.0002061090922499,6.435248399999991e-07,0.0263882,-0.0712822999999999,0.0050811662932899,0.00069633709924,-0.0355561,-0.1402631,0.01967373722161,0.00126423624721,0.000196389,-6.3963e-05,3.8568639321e-08,4.091265369e-09,-1.11585e-23,-0.000139547,1.9473365209e-08,1.2451212224999998e-46,0.000411678,-0.0004463919999999,1.69478775684e-07,1.992658176639107e-07,-0.48673553754924526,-0.24744226375080663,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.791749898248213,-4.034782977453176,0.0575682224,0.0573559385,0.0570027116,0.0565094097,0.0558772451,-0.00413234,0.01022416,1.70762338756e-05,0.0001045334477055,-0.0180279,-0.0444161,0.00197278993921,0.00032500517841,-0.0807733999999999,-0.0452172999999999,0.0020446042192899,0.0065243421475599,0.000513012,0.000316623,2.63181312144e-07,1.0025012412899998e-07,0.000102877,0.000102877,1.0583677129e-08,1.0583677129e-08,0.000127907,-0.000283771,1.6360200649e-08,8.052598044100002e-08,-0.6565643811510613,-0.24590076682281833,1
