,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q39,Q39_derivative,Q40,Q40_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.118875,0.0,0.0,0.0141312656249999,-0.857086,0.0,0.7345964113960001,0.0,0.391279,0.0,0.0,0.1530992558409999,0.00366151,0.0,1.34066554801e-05,0.0,-0.00189399,0.0,3.587198120099999e-06,0.0,-0.00441301,0.0,1.94746572601e-05,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.119999,0.001124,1.263376e-06,0.0143997600009999,-0.8569559999999999,0.00013,0.7343735859359999,1.6900000000019372e-08,0.381912,-0.009367,8.774068900000027e-05,0.1458567757439999,0.00377989,0.0001183799999999,1.4287568412100004e-05,1.4013824399999993e-08,-0.00196635,-7.236000000000005e-05,3.8665323225e-06,5.2359696000000066e-09,-0.00445685,-4.383999999999985e-05,1.98635119225e-05,1.921945599999987e-09,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.112088,-0.0079109999999999,6.25839209999998e-05,0.012563719744,-0.8312649999999999,0.025691,0.6910015002249998,0.000660027481,0.440183,0.058271,0.003395509441,0.193761073489,0.00419413,0.0004142399999999,1.75907264569e-05,1.7159477759999985e-07,-0.0018449,0.0001214499999999,3.4036560100000013e-06,1.4750102499999931e-08,-0.00415371,0.00030314,1.7253306764099998e-05,9.189385960000024e-08,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.112274,0.0001859999999999,3.4595999999996924e-08,0.012605451076,-0.803555,0.0277099999999999,0.645700638025,0.0007678440999999,0.481511,0.0413279999999999,0.0017080035839999,0.231852843121,0.00459599,0.00040186,2.112312408010001e-05,1.6149145960000036e-07,-0.00199713,-0.0001522299999999,3.988528236900002e-06,2.3173972899999986e-08,-0.00416487,-1.116000000000051e-05,1.73461421169e-05,1.2454560000001137e-10,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.111851,-0.0004229999999999,1.7892899999999397e-07,0.012510646201,-0.81981,-0.016255,0.6720884361,0.000264225025,0.492682,0.0111709999999999,0.0001247912409999,0.2427355531239999,0.00461369,1.7699999999999834e-05,2.12861354161e-05,3.1328999999999407e-10,-0.00222373,-0.0002266,4.944975112900002e-06,5.1347559999999996e-08,-0.00414973,1.5140000000000294e-05,1.72202590729e-05,2.2921960000000883e-10,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.116195,0.004344,1.8870336000000006e-05,0.013501278025,-0.8318040000000001,-0.011994,0.6918978944160001,0.000143856036,0.509306,0.016624,0.000276357376,0.259392601636,0.00482341,0.00020972,2.32652840281e-05,4.3982478400000017e-08,-0.00237147,-0.0001477399999999,5.6238699609e-06,2.1827107599999985e-08,-0.00449647,-0.0003467399999999,2.02182424609e-05,1.2022862759999993e-07,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.119125,0.0029299999999999,8.58489999999993e-06,0.014190765625,-0.8630609999999999,-0.0312569999999997,0.7448742897209998,0.0009770000489999,0.474621,-0.034685,0.001203049225,0.225265093641,0.00418777,-0.0006356399999999,1.7537417572900006e-05,4.040382095999998e-07,-0.00206934,0.00030213,4.282168035599999e-06,9.128253690000019e-08,-0.00449329,3.180000000000197e-06,2.01896550241e-05,1.0112400000001252e-11,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.128552,0.009427,8.886832900000114e-05,0.016525616704,-0.869468,-0.0064070000000001,0.7559746030239999,4.104964900000208e-05,0.4401100000000001,-0.0345109999999999,0.0011910091209999,0.1936968121000001,0.00390222,-0.00028555,1.52273209284e-05,8.153880250000018e-08,-0.0022442,-0.0001748599999999,5.036433639999998e-06,3.057601959999992e-08,-0.00455652,-6.323000000000006e-05,2.07618745104e-05,3.998032900000007e-09,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.136875,0.0083229999999999,6.927232899999902e-05,0.018734765625,-0.8748869999999999,-0.0054189999999998,0.7654272627689997,2.9365560999998278e-05,0.413889,-0.026221,0.000687540841,0.171304104321,0.00390222,0.0,1.52273209284e-05,0.0,-0.00201649,0.0002277099999999,4.0662319201000014e-06,5.1851844099999753e-08,-0.00501215,-0.00045563,2.51216476225e-05,2.0759869690000026e-07,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.143819,0.006944,4.821913600000008e-05,0.020683904761,-0.8528540000000001,0.0220329999999997,0.7273599453160002,0.0004854530889999,0.437984,0.024095,0.000580569025,0.191829984256,0.00441175,0.0005095299999999,1.94635380625e-05,2.5962082089999977e-07,-0.00211766,-0.0001011699999999,4.4844838756e-06,1.0235368899999964e-08,-0.00515922,-0.00014707,2.66175510084e-05,2.1629584900000004e-08,1
