,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.0077220199999999,0.0,0.0,5.962959288039997e-05,0.0392681,0.0,0.00154198367761,0.0,-0.0196493,0.0,0.00038609499049,0.0,-0.0008185789999999,0.0,6.700715792409999e-07,0.0,-0.000363216,0.0,1.3192586265599998e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.7542919478048862e-30,-8.223872232468199e-30,-8.222273110572425e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.012463,0.00474098,2.247689136040001e-05,0.000155326369,0.014303,-0.0249650999999999,0.000204575809,0.00062325621801,0.0050691,0.0247184,2.569577481e-05,0.00061099929856,-0.000175358,0.0006432209999999,3.0750428164e-08,4.1373325484100005e-07,-0.0,0.000363216,0.0,1.3192586265599998e-07,-0.000318048,-0.000318048,1.01154530304e-07,1.01154530304e-07,-1.7200482086389601e-31,-1.7196316298151292e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.0002057655512497683,-0.0016670249205885984,-0.009644541830707244,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.00964541,-0.00281759,7.9388134081e-06,9.30339340681e-05,-0.0412836,-0.0555866,0.00170433562896,0.0030898700995599,-6.53304e-05,-0.0051344304,4.26806116416e-09,2.636237553244416e-05,-3.57697e-05,0.0001395883,1.2794714380899998e-09,1.948489349689e-08,-0.00028206,-0.00028206,7.95578436e-08,7.95578436e-08,0.0,0.000318048,1.01154530304e-07,0.0,-3.4866339692079e-05,-0.00020170191741887832,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.00394909641274849,-0.0594301953417847,-0.185116504784973,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,3.6931e-05,-0.009608479,9.2322868693441e-05,1.3638987609999994e-09,-0.0559019,-0.0146182999999999,0.00312502242361,0.0002136946948899,0.00918923,0.0092545604,8.444194799289999e-05,8.564688819724817e-05,1.55423e-05,5.1312e-05,2.4156308928999997e-10,2.632921344e-09,-0.000195164,8.689599999999999e-05,3.8088986896e-08,7.550914815999998e-09,0.0,0.0,0.0,0.0,-0.001243000841296151,-0.003871175290946527,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.016081316518131238,-0.3839130260485544,-0.7539071536580492,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.0140314,0.013994469,0.0001958451625919,0.00019688018596,-0.0224135,0.0334884,0.00050236498225,0.00112147293456,0.0219956,0.01280637,0.00048380641936,0.0001640031125769,-9.5051e-05,-0.0001105933,9.034692601000001e-09,1.2230878004890002e-08,-0.0,0.000195164,0.0,3.8088986896e-08,-7.332439999999999e-05,-7.332439999999999e-05,5.376467635359999e-09,5.376467635359999e-09,-0.00802965919291514,-0.015764366863894992,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.035310174068906235,-1.23810260302047,-1.655610133339487,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.00368175,-0.0103496499999999,0.0001071152551224,1.35552830625e-05,0.0226302,0.0450437,0.00051212595204,0.00202893490969,0.0373405,0.0153448999999999,0.0013943129402499,0.0002354659560099,9.40756e-05,0.0001891266,8.850218515360001e-09,3.576887082756e-08,-0.000108049,-0.000108049,1.1674586401000001e-08,1.1674586401000001e-08,-0.000235249,-0.0001619246,2.6219576085160007e-08,5.534209200100001e-08,-0.02589529730324429,-0.03461523311665994,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05549470142978356,-2.742716221800936,-2.602490909617805,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.000303877,-0.003985627,1.5885222583129003e-05,9.234123112900003e-08,-0.010826,-0.0334562,0.000117202276,0.00111931731844,0.0165995,-0.020741,0.00027554340025,0.000430189081,-0.000388425,-0.0004825005999999,1.5087398062500005e-07,2.3280682900036e-07,0.000235702,0.000343751,5.5555432804000016e-08,1.18164750001e-07,0.0,0.000235249,5.534209200100001e-08,0.0,-0.05736475459198423,-0.05440451224371772,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.07068721066508908,-4.814825268336773,-3.315751610728288,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.000188608,0.000115269,1.3286942361000009e-08,3.5572977664e-08,-0.0395455,-0.0287194999999999,0.0015638465702499,0.0008248096802499,0.0159493999999999,-0.0006501,0.0002543833603599,4.226300100000054e-07,-0.0003431869999999,4.5238000000000064e-05,1.1777731696899995e-07,2.046476644000006e-09,0.000362123,0.000126421,1.31133067129e-07,1.5982269240999998e-08,0.0,0.0,0.0,0.0,-0.10070355355249364,-0.0693018889459192,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.07792177980148757,-7.232975918980813,-3.656257004143921,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,1.7470799999999995e-05,0.0002060788,4.246847180944e-08,3.052288526399998e-10,-0.00262194,0.03692356,6.874569363600002e-06,0.0013633492830735,0.0236646,0.0077152,0.0005600132931599,5.9524311040000025e-05,2.94847e-05,0.0003726717,8.6934753409e-10,1.3888419598088994e-07,-0.0,-0.000362123,0.0,1.31133067129e-07,0.000108499,0.000108499,1.1772033001e-08,1.1772033001e-08,-0.15127991925085874,-0.0763995182538354,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07727416337346801,-9.738582448583646,-3.627402903758315,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.00223848,0.0022210092,4.93288186648464e-06,5.0107927104000015e-06,0.0395845,0.04220644,0.00156693264025,0.0017813835774736,0.0173288,-0.0063357999999999,0.0003002873094399,4.014236163999999e-05,-0.000196048,-0.0002255327,3.8434818304e-08,5.086499876928999e-08,9.69965e-24,9.69965e-24,9.408321012249998e-47,9.408321012249998e-47,-0.000357854,-0.000466353,2.1748512060900002e-07,1.28059485316e-07,-0.2036854515958568,-0.07577100670834136,1
