,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q36,Q36_derivative,Q39,Q39_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0530422,0.0,0.00281347498084,0.0,0.0454235,0.0,0.0,0.00206329435225,-0.0610746,0.0,0.0,0.00373010676516,0.012425,0.0,0.000154380625,0.0,0.00346756,0.0,1.20239723536e-05,0.0,-0.000147239,0.0,0.0,2.1679323121000002e-08,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070590875031109e-30,2.0700082867601924e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0526884,0.0003538,0.00277606749456,1.2517444000000094e-07,0.0787131,0.0332896,0.00110819746816,0.00619575211161,-0.0491115,0.0119630999999999,0.0001431157616099,0.0024119394322499,0.010909,-0.001516,0.000119006281,2.298256e-06,0.00331014,-0.00015742,1.09570268196e-05,2.4781056400000043e-08,0.0,0.000147239,2.1679323121000002e-08,0.0,1.881371624163153e-30,1.8810868722119486e-29,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004197203569618515,0.0024279195605880974,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0442795,0.0084089,0.00196067412025,7.070959921000006e-05,0.106429,0.0277158999999999,0.0007681711128099,0.011327132041,-0.0447483,0.0043632,1.903751424000004e-05,0.00200241035289,0.0105082,-0.0004007999999999,0.00011042226724,1.6064063999999982e-07,0.0028845,-0.00042564,8.320340249999999e-06,1.8116940960000013e-07,0.000247103,0.000247103,6.1059892609e-08,6.1059892609e-08,0.00038136455597960315,0.0022065419322583424,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014963221302270107,0.04659527550942079,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0483505,-0.0040709999999999,0.00233777085025,1.6573040999999984e-05,0.0839743,-0.0224546999999999,0.0005042135520899,0.00705168306049,-0.0766073,-0.031859,0.001014995881,0.00586867841329,0.0102304,-0.0002777999999999,0.0001046610841599,7.717283999999996e-08,0.00298251,9.800999999999994e-05,8.895365900099999e-06,9.605960099999987e-09,0.000265142,1.803900000000002e-05,3.2540552100000084e-10,7.0300280164e-08,0.013595819581568304,0.04235488034195406,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09666088991549654,0.18973329376637704,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0453606,0.0029898999999999,0.00205758403236,8.93950200999998e-06,0.0396863,-0.044288,0.0019614269439999,0.00157500240769,-0.0827322999999999,-0.0061249999999999,3.7515624999999735e-05,0.0068446334632899,0.00915482,-0.00107558,8.381072923239998e-05,1.156872336400003e-06,0.00262129,-0.0003612199999999,6.8711612641e-06,1.3047988839999985e-07,0.000189789,-7.535299999999998e-05,5.678074608999998e-09,3.6019864521000024e-08,0.08782761367604366,0.17250885675400435,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3117271134205164,0.41657542746772996,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0365983,0.0087622999999999,0.00133943556289,7.677790129000003e-05,0.0141717999999999,-0.0255145,0.00065098971025,0.00020083991524,-0.0715571,0.0111751999999999,0.0001248850950399,0.00512041856041,0.00714925,-0.0020055699999999,5.11117755625e-05,4.022311024899996e-06,0.0023365,-0.00028479,5.45923225e-06,8.110534410000002e-08,0.000221849,3.205999999999999e-05,1.0278435999999991e-09,4.921697880100001e-08,0.2832401865302517,0.3788752636210599,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905558623880017,0.6546500072722402,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0308803,0.005718,0.00095359292809,3.269552400000001e-05,0.0352385999999999,0.0210668,0.0004438100622399,0.0012417589299599,-0.0174688,0.0540883,0.00292554419689,0.00030515897344,0.00509093,-0.00205832,2.59175682649e-05,4.2366812224000015e-06,0.00191308,-0.00042342,3.6598750864e-06,1.7928449640000006e-07,0.000175554,-4.629499999999999e-05,2.143227024999999e-09,3.0819206916000017e-08,0.6274499806132791,0.595641099848989,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212267528443255,0.8337799838592542,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0194469,0.0114333999999999,0.00037818191961,0.0001307226355599,0.0420063,0.0067677,4.580176329000011e-05,0.00176452923969,0.0237366,0.0412054,0.00169788498916,0.0005634261795599,0.00338231,-0.0017086199999999,1.14400209361e-05,2.9193823043999987e-06,0.00197829,6.521000000000022e-05,3.9136313241000005e-06,4.252344100000029e-09,0.000195579,2.0024999999999985e-05,4.010006249999994e-10,3.8251145241e-08,1.1014854534569853,0.7590177233931039,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8211048899852103,0.91898261471157,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.0192138,0.0002331,0.00036917011044,5.4335610000001614e-08,0.0213643,-0.020642,0.000426092164,0.00045643331449,-0.0263937,-0.0501303,0.00251304697809,0.00069662739969,0.00297416,-0.0004081499999999,8.8456277056e-06,1.6658642249999992e-07,0.0017193899999999,-0.0002589,2.956301972099998e-06,6.702921000000036e-08,0.000230025,3.444599999999999e-05,1.1865269159999994e-09,5.2911500625e-08,1.6546847114794996,0.8371533955173953,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4519617260303037,0.9111694781367328,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.0193997,-0.0001859,0.00037634836009,3.4558810000001023e-08,0.0116138,-0.0097504999999999,9.507225025e-05,0.0001348803504399,-0.045027,-0.0186333,0.0003471998688899,0.002027430729,0.00210616,-0.0008679999999999,4.435909945600002e-06,7.534239999999998e-07,0.00131439,-0.0004049999999999,1.7276210720999996e-06,1.6402499999999964e-07,0.000175497,-5.4527999999999983e-05,2.973302783999997e-09,3.0799197009000006e-08,2.2278912123662353,0.8307994813212559,1
