,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0599219134999999,0.0599211987,0.0599200073,0.0599183393,0.0091183,0.0,0.0,8.314339488999999e-05,-1.4728599999999997e-05,0.0,2.1693165795999998e-10,0.0,-0.0818167999999999,0.0,0.0066939887622399,0.0,-0.000553271,0.0,3.0610879944100004e-07,0.0,0.0001642809999999,0.0,0.0,2.6988246960999995e-08,6.60362e-05,0.0,0.0,4.3607797104400014e-09,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685059465190505e-31,4.683928005637875e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.171003903110415e-30,-9.168977821452376e-29,0.0599200073,0.0599135738999999,0.0599028521999999,0.0598878428,0.011832,0.0027136999999999,7.364167689999997e-06,0.0001399962239999,0.0288487,0.0288634285999999,0.00083224749169,0.0008330975105472,-0.0908571,-0.0090403,0.0082550126204099,8.172702409000027e-05,-0.000390892,0.000162379,1.5279655566400002e-07,2.6366939641000012e-08,0.000281935,0.000117654,1.3842463716e-08,7.9487344225e-08,-0.000195161,-0.0002611972,6.822397728783999e-08,3.8087815921e-08,4.170018264560468e-31,4.169282004858465e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.486120359759179e-05,0.0005487659833989916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018569080604228592,-0.01074247629930213,0.0599161949,0.0598983254,0.0598685469,0.0598268651999999,0.00441063,-0.0074213699999999,5.507673267689999e-05,1.94536569969e-05,0.0695289,0.0406802,0.00483426793521,0.00165487867204,-0.0924608,-0.0016037,0.00854899953664,2.571853690000043e-06,-0.000554954,-0.0001640619999999,3.07973942116e-07,2.6916339843999997e-08,0.000193791,-8.814399999999999e-05,7.769364735999999e-09,3.755495168099999e-08,-0.000231958,-3.6797000000000014e-05,1.3540192090000003e-09,5.380451376399999e-08,8.443285609056021e-05,0.0004884934950235671,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003381671134402329,0.01053172690966019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06619621245592555,-0.20617217824235406,0.0599104765,0.059875455,0.0598171012,0.0597354377,0.00436222,-4.8409999999999606e-05,2.343528099999961e-09,1.90289633284e-05,0.0660429,-0.003486,0.00436166464041,1.215219600000002e-05,-0.0672613,0.0251995,0.00452408247769,0.00063501480025,-0.000482977,7.197699999999998e-05,2.33266782529e-07,5.180688528999997e-09,0.000196398,2.607000000000011e-06,6.796449000000057e-12,3.8572174404e-08,-0.000159543,7.241499999999999e-05,5.2439322249999975e-09,2.5453968849e-08,0.0030099149220982665,0.009375900559024191,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021844869546811585,0.042887128991589314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4276133213788369,-0.8396035580335287,0.0599028521999999,0.0598449658,0.0597485299,0.0596136066,0.00424647,-0.00011575,1.3398062500000093e-08,1.80325074609e-05,0.0373299,-0.0287129999999999,0.00139352143401,0.0008244363689999,-0.0607518,0.0065095,0.0036907812032399,4.237359025000011e-05,-0.000402865,8.011199999999998e-05,1.62300208225e-07,6.417932543999995e-09,0.000148972,-4.742599999999999e-05,2.249225475999999e-09,2.2192656784000003e-08,-0.000238982,-7.9439e-05,6.310554721e-09,5.7112396324e-08,0.01944340422442023,0.03818505865757231,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07044811985626137,0.09417051408926728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3790219461863167,-1.843671632788805,0.0598933223,0.0598068615,0.0596628525999999,0.0594614341999999,-0.000627241,-0.0048737109999999,2.3753058911521e-05,3.93431272081e-07,0.00973207,-0.02759783,9.471318648490002e-05,0.0007616402207089,-0.056437,0.0043148,0.003185134969,1.861749904000001e-05,-0.00031598,8.688500000000002e-05,9.98433604e-08,7.549003225000005e-09,8.81212e-05,-6.08508e-05,3.7028198606399996e-09,7.76534588944e-09,-0.000159736,7.924599999999999e-05,6.279928515999999e-09,2.5515589696e-08,0.06270356837244745,0.08385881781250519,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560599042814959,0.1480067032328374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0548726263102823,-2.8978599457297545,0.059881887,0.0597611469,0.0595600938,0.0592789976999999,-0.00298159,-0.002354349,5.542959213801002e-06,8.8898789281e-06,0.00913565,-0.00059642,8.34601009225e-05,3.557168164000004e-07,-0.0727099,-0.0162728999999999,0.0052867295580099,0.0002648072744099,-0.000378831,-6.2851e-05,1.43512926561e-07,3.950248201e-09,0.000126821,3.869979999999999e-05,1.497674520039999e-09,1.6083566041e-08,0.0,0.000159736,2.5515589696e-08,0.0,0.13890381884255004,0.13182613682668665,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2739614512438542,0.18853468539676344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.362795408098446,-3.691670195171425,0.0598685469,0.0597078281,0.0594402829,0.0590663901,-0.00260687,0.00037472,1.404150784000002e-07,6.795771196899998e-06,0.0622364,0.05310075,0.00387336948496,0.0028196896505625,-0.0922896,-0.0195797,0.00851737026816,0.00038336465209,-0.000334515,4.431599999999997e-05,1.11900285225e-07,1.9639078559999982e-09,-1.03418e-23,-0.000126821,1.6083566041e-08,1.0695282723999995e-46,-0.000190773,-0.000190773,3.6394337529e-08,3.6394337529e-08,0.2438441313200942,0.16796692067781194,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41155213931409784,0.20784390455994206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.056133127073466,-4.070202481955851,0.0598533022,0.0596469116,0.0593034542999999,0.0588237195,-0.00133279,0.00127408,1.6232798463999996e-06,1.7763291841e-06,0.0505917,-0.0116447,0.0025595201088899,0.00013559903809,-0.0698824,0.0224072,0.00488354982976,0.00050208261184,-0.000486876,-0.0001523609999999,2.3704823937600006e-07,2.321387432099998e-08,0.00012986,0.00012986,1.6863619600000002e-08,1.6863619600000002e-08,-0.000195278,-4.504999999999998e-06,2.0295024999999985e-11,3.8133497284e-08,0.3663091046143079,0.18523295839512852,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541186860857621,0.20613464330162834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.846873280128793,-4.037318061095332,0.0598361534,0.0595784053,0.0591496471,0.0585511096,0.00442249,0.00575528,3.31232478784e-05,1.95584178001e-05,0.0165915999999999,-0.0340001,0.00027528119056,0.00115600680001,-0.041906,0.0279764,0.001756112836,0.0007826789569599,-0.000347813,0.0001390629999999,1.2097388296900006e-07,1.933851796899997e-08,0.000119479,-1.0380999999999954e-05,1.0776516099999903e-10,1.4275231441000012e-08,0.0,0.000195278,3.8133497284e-08,0.0,0.4932029270663522,0.18379401008022506,1
