,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.0315911,0.0,0.0009979975992099,0.0,-0.0180072999999999,0.0,0.0003242628532899,0.0,-0.00639342,0.0,4.0875819296400014e-05,0.0,0.000493318,0.0,0.0,2.433626491240001e-07,-0.00091043,0.0,8.288827849000002e-07,0.0,-0.00101118,0.0,0.0,1.0224849924e-06,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0333561,0.001765,0.00111262940721,3.1152250000000096e-06,0.0072559499999999,0.0252632499999999,5.2648810402499984e-05,0.0006382318005624,0.0137204,0.02011382,0.00018824937616,0.0004045657549924,0.000505194,1.1875999999999966e-05,1.4103937599999919e-10,2.552209776360001e-07,-0.00106754,-0.00015711,1.1396416516e-06,2.4683552100000012e-08,-0.000796998,0.0002141819999999,4.587392912399998e-08,6.352058120040001e-07,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001664753377537188,-0.009776007898705657,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.0464855,0.0131293999999999,0.00216090171025,0.00017238114436,0.00550501,-0.0017509399999999,3.0305135100100007e-05,3.065790883599995e-06,-0.015053,-0.0287734,0.000226592809,0.00082790854756,0.00059673,9.153599999999992e-05,8.378839295999985e-09,3.560866928999999e-07,-0.00127238,-0.00020484,1.6189508644e-06,4.1959425599999995e-08,-0.000969188,-0.00017219,2.9649396100000005e-08,9.39325379344e-07,9.23644556175472e-05,0.0005423812597576168,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06303937483262115,-0.19840387785761496,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0313265,-0.015159,0.00098134960225,0.000229795281,-0.0217781,-0.02728311,0.0004742856396099,0.000744368091272,-0.0315152,-0.0164622,0.00099320783104,0.00027100402884,0.000548283,-4.844699999999997e-05,2.347111808999997e-09,3.00614248089e-07,-0.00108741,0.00018497,1.1824605081e-06,3.4213900900000014e-08,-0.00102352,-5.433199999999993e-05,2.951966223999992e-09,1.0475931904e-06,0.0034975736451121815,0.011007356628983824,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4154157263914878,-0.8224692389505514,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.0290312,-0.0022953,0.00084281057344,5.268402090000002e-06,-0.0284138,-0.0066356999999999,0.0008073440304399,4.403251448999997e-05,-0.0280799,0.0034352999999999,0.00078848078401,1.1801286089999968e-05,0.000541776,-6.506999999999998e-06,4.2341048999999965e-11,2.93521234176e-07,-0.00106779,1.9619999999999924e-05,1.1401754841000002e-06,3.84944399999997e-10,-0.00107668,-5.316000000000023e-05,2.8259856000000247e-09,1.1592398224000004e-06,0.0230482472303983,0.04562884963649535,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3529278587448628,-1.8218909634558265,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.0339343,0.0049031,0.00115153671649,2.4040389610000007e-05,-0.0130897,0.0153240999999999,0.00017134024609,0.0002348280408099,0.013607,0.0416869,0.000185150449,0.00173779763161,0.000597135,5.535900000000005e-05,3.064618881000005e-09,3.565702082250001e-07,-0.0008717539999999,0.000196036,7.599550365159995e-07,3.8430113296000144e-08,-0.0007969969999999,0.000279683,7.822258048900016e-08,6.35204218009e-07,0.07506363816342013,0.10107080490149209,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0144833929755963,-2.8785332491960998,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.0373464,0.0034121,0.00139475359296,1.1642426410000008e-05,0.00944228,0.02253198,8.915665159840002e-05,0.0005076901227204,0.0340448,0.0204378,0.00115904840704,0.00041770366884,0.000653769,5.6633999999999966e-05,3.2074099559999953e-09,4.27413905361e-07,-0.0008717539999999,0.0,7.599550365159995e-07,0.0,-0.0007969969999999,0.0,0.0,6.35204218009e-07,0.16725066986933193,0.15968106184376057,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.311846057687736,-3.6797048520740856,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.0384189,0.0010724999999999,0.00147601187721,1.1502562499999938e-06,-0.0112946,-0.02073688,0.00012756798916,0.0004300181921344,0.000858837,-0.033185963,7.376009925689999e-07,0.0011013081402373,0.000598004,-5.5765000000000046e-05,3.1097352250000043e-09,3.57608784016e-07,-0.000806414,6.533999999999978e-05,6.503035393959999e-07,4.269315599999971e-09,-0.0007969969999999,0.0,0.0,6.35204218009e-07,0.2947137852745292,0.20411155417129948,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.000324627132517,-4.066995211582451,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.0461628,0.0077439,0.00213100410384,5.9967987210000085e-05,-0.024432,-0.0131374,0.000596922624,0.0001725912787599,-0.00399506,-0.004853897,1.59605044036e-05,2.356031608660901e-05,0.000440093,-0.0001579109999999,2.4935883920999985e-08,1.93681848649e-07,-0.00094061,-0.000134196,8.847471721000002e-07,1.8008566416000016e-08,-0.0007969969999999,0.0,0.0,6.35204218009e-07,0.44387693631950254,0.2255754624110333,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.791749898248213,-4.041609823951309,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.0337653,-0.0123975,0.00114009548409,0.0001536980062499,-0.0241832,0.0002488,0.00058482716224,6.19014400000002e-08,-0.0082521699999999,-0.0042571099999999,6.809830970889996e-05,1.8122985552099983e-05,0.000284061,-0.000156032,2.4345985024000004e-08,8.0690651721e-08,-0.000777626,0.000162984,6.04702195876e-07,2.6563784256000008e-08,-0.0007969969999999,0.0,0.0,6.35204218009e-07,0.598751813909535,0.22414222965377484,1
