,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.134329,0.0,0.0,0.018044280241,0.5791310000000001,0.0,0.0,0.335392715161,1.00104,0.0,1.0020810816,0.0,0.0334424,0.0,0.0,0.00111839411776,-0.00192966,0.0,0.0,3.7235877156e-06,-0.005129,0.0,0.0,2.6306641e-05,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.754217721121227e-30,1.985193624252991e-29,1.9846321240013274e-28,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.120446,-0.013883,0.000192737689,0.014507238916,0.5585439999999999,-0.0205870000000001,0.000423824569,0.3119713999359999,0.947796,-0.053244,0.8983172576159998,0.002834923536,0.0321451,-0.0012973,1.6829872900000213e-06,0.0010333074540099,-0.00148718,0.0004424799999999,1.957885503999999e-07,2.2117043524000003e-06,-0.00494563,0.0001833699999999,3.3624556899999826e-08,2.4459256096900004e-05,-7.859336655121338e-31,-7.858312720096276e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.00020575050508563362,0.0040240985636399015,0.02327779066238646,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.0853825,-0.0350635,0.0012294490322499,0.00729017130625,0.552408,-0.0061359999999999,3.7650495999999015e-05,0.305154598464,0.9566730000000002,0.0088770000000003,0.9152232289290004,7.880112900000634e-05,0.0302051,-0.0019399999999999,3.763599999999989e-06,0.00091234806601,-0.0001985,0.00128868,1.6606961424e-06,3.940225e-08,-0.00414738,0.00079825,6.372030625000007e-07,1.72007608644e-05,-0.0001593131519195617,-0.0009218055175462037,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.003948560010165286,0.14346094096018294,0.4467333702341984,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0882083999999999,0.0028258999999999,7.985710809999956e-06,0.0077807218305599,0.5787680000000001,0.02636,0.0006948496,0.3349723978240001,0.938202,-0.0184710000000001,0.8802229928040002,0.000341177841,0.0309728,0.0007677,5.893632900000047e-07,0.00095931433984,-0.000317892,-0.000119392,1.4254449664000002e-08,1.01055323664e-07,-0.0035953,0.0005520799999999,3.047923263999995e-07,1.2926182090000004e-05,-0.005679586203037674,-0.01769473793937817,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.016077851411921952,0.9267431083988571,1.819067630213731,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.0974935,0.0092851,8.621308201000009e-05,0.00950498254225,0.569787,-0.008981,8.065836100000029e-05,0.324657225369,0.906669,-0.031533,0.8220486755610001,0.000994330089,0.0319427,0.0009699,9.407060100000052e-07,0.00102033608329,-0.000557101,-0.0002392089999999,5.7220945680999977e-08,3.10361524201e-07,-0.00386979,-0.0002744899999999,7.53447600999998e-08,1.49752746441e-05,-0.03668955004054562,-0.07207245013175641,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.035298999253970634,2.9887057145458567,3.99390207389537,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.103513,0.0060195,3.6234380250000126e-05,0.010714941169,0.553348,-0.016439,0.000270240721,0.306194009104,0.917556,0.0108869999999998,0.8419090131359999,0.0001185267689999,0.0322472,0.0003044999999999,9.27202499999953e-08,0.00103988190784,-0.000622094,-6.499300000000006e-05,4.224090049000007e-09,3.87000944836e-07,-0.00425218,-0.00038239,1.462221121000002e-07,1.80810347524e-05,-0.11832218322048882,-0.15829819375530427,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05546994633588041,6.620753098714349,6.2764051383606105,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.104132,0.0006189999999999,3.831609999999761e-07,0.0108434734239999,0.536342,-0.0170059999999999,0.0002892040359999,0.287662740964,0.901542,-0.0160139999999999,0.812777977764,0.0002564481959999,0.0310702,-0.0011769999999999,1.385328999999994e-06,0.00096535732804,-0.00054254,7.955400000000002e-05,6.328838916000003e-09,2.943496516e-07,-0.00442464,-0.0001724599999999,2.974245159999976e-08,1.95774391296e-05,-0.26211411762323195,-0.24888134485123886,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.0706437532156098,11.622700541063303,7.993752371534235,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.0797227,-0.0244093,0.0005958139264899,0.0063557088952899,0.20277,-0.333572,0.1112702791839999,0.0411156729,0.886544,-0.0149979999999999,0.785960263936,0.0002249400039999,0.0138561,-0.0172140999999999,0.0002963252388099,0.00019199150721,-0.00292363,-0.00238109,5.669589588099999e-06,8.5476123769e-06,-0.00184524,0.0025794,6.653304359999998e-06,3.4049106576e-06,-0.4601400854702538,-0.31717284464556644,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.07785649670852653,17.459971741835616,8.810552174892331,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.018903,-0.0608196999999999,0.0036990359080899,0.000357323409,-0.0606827,-0.2634527,0.0694073251372899,0.00368239007929,0.5422279999999999,-0.3443160000000001,0.2940112039839999,0.118553507856,-0.0121675,-0.0260235999999999,0.00067722775696,0.0001480480562499,-0.00348841,-0.00056478,3.189764484e-07,1.21690043281e-05,8.078409999999998e-06,0.00185331841,3.434789128844928e-06,6.526070812809997e-11,-0.6912363319705269,-0.34986232788479465,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07718626528139345,23.508356209454398,8.735553613012002,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.0297532,0.0108501999999999,0.0001177268400399,0.0008852529102399,-0.0198946,0.0407880999999999,0.00166366910161,0.00039579510916,0.432716,-0.1095119999999999,0.187243136656,0.0119928781439999,-0.0082007899999999,0.00396671,1.5734788224100013e-05,6.725295662409996e-05,-0.00376332,-0.00027491,7.557550810000009e-08,1.41625774224e-05,-5.42152e-05,-6.229361e-05,3.880493846832098e-09,2.93928791104e-09,-0.9306905049533276,-0.3472584665345723,1
