,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,5.57461e-06,0.0,0.0,3.1076276652100003e-11,-0.0234629,0.0,0.0005505076764099,0.0,0.0263378,0.0,0.0,0.0006936797088399,0.00104389,0.0,0.0,1.0897063321e-06,-0.00051419,0.0,0.0,2.643913561e-07,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,4.55011e-06,-1.0245e-06,1.0496002500000002e-12,2.07035010121e-11,-0.0951256,-0.0716627,0.00904887977536,0.00513554257129,-0.0135811,-0.0399189,0.00159351857721,0.00018444627721,8.50166e-05,-0.0009588734,9.1943819722756e-07,7.227822275560001e-09,-0.00041968,9.450999999999996e-05,8.932140099999992e-09,1.7613130240000005e-07,0.0,0.0,0.0,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1891827155884826e-05,0.0001872556477425363,0.003608028712235769,0.021185311926571297,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.00314155,0.00313699989,9.840768309860012e-06,9.8693364025e-06,-0.119313,-0.0241874,0.014235591969,0.00058503031876,-0.00532084,0.00826026,6.823189526760001e-05,2.83113383056e-05,2.43075e-05,-6.07091e-05,3.68559482281e-09,5.9085455625e-10,-0.00041968,0.0,0.0,1.7613130240000005e-07,-0.00010664,-0.00010664,1.13720896e-08,1.13720896e-08,-0.00016121073305552414,-0.0009465997423878573,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012076508588624742,0.003799924299597841,0.13662556716597454,0.429915381636537,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.00216091,-0.00098064,9.616548096e-07,4.6695320281e-06,-0.0593958,0.0599172,0.00352786105764,0.00359007085584,0.0243437,0.02966454,0.0008799849334116,0.00059261572969,2.43075e-05,0.0,0.0,5.9085455625e-10,-0.000303207,0.000116473,1.3565959729000004e-08,9.1934484849e-08,5.67817e-05,0.0001634217,3.22416145489e-09,2.670665203089e-08,-0.006104582195329892,-0.019209720333952744,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007958155677997854,0.015750077653586523,0.9003326790374899,1.7819726514244996,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.0103788,0.00821789,6.75337160521e-05,0.0001077194894399,-0.0259732,0.0334226,0.00067460711824,0.00111707019076,0.0161702,-0.0081735,6.680610225000006e-05,0.0002614753680399,0.000288838,0.0002645305,6.997638543025e-08,8.3427390244e-08,-0.000549063,-0.0002458559999999,6.044517273600003e-08,3.0147017796900005e-07,0.0,-5.67817e-05,0.0,3.22416145489e-09,-0.040227864786457714,-0.07962462572595057,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591815821350311,0.03488246103599637,2.9322076325543187,3.946739931889299,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.012749,0.0023702,5.617848040000023e-06,0.000162537001,-0.0924074,-0.0664342,0.00853912757476,0.00441350292964,-0.0105194,-0.0266895999999999,0.00071233474816,0.00011065777636,-0.0001475329999999,-0.000436371,1.90419649641e-07,2.1765986088999995e-08,-0.00041968,0.000129383,1.6739960689000002e-08,1.7613130240000005e-07,0.0,0.0,0.0,0.0,-0.13101429606478018,-0.17635810271481522,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774872400336391,0.0551004998381425,6.533305642247236,6.234529490469727,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.0117569,-0.0009921,9.842624100000087e-07,0.00013822469761,-0.106479,-0.0140715999999999,0.0113377774409999,0.0001980099265599,0.0377813,0.0483006999999999,0.0023329576204899,0.00142742662969,0.000237369,0.0003849019999999,1.48149549604e-07,5.634404216100002e-08,-0.00068789,-0.00026821,7.19366041e-08,4.731926521e-07,-0.000287666,-0.000287666,8.2751727556e-08,8.2751727556e-08,-0.2919153576274657,-0.2785955101753959,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175950302083786,0.07041522284899585,11.512391775090789,7.96776486510026,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.0185124,0.0067555,4.563678025000002e-05,0.00034270895376,-0.0752945,0.0311844999999999,0.00566926173025,0.0009724730402499,0.0640713,0.02629,0.0006911641,0.00410513148369,0.0003449119999999,0.0001075429999999,1.1565496848999985e-08,1.1896428774399995e-07,-0.000702972,-1.508199999999992e-05,2.2746672399999758e-10,4.941696327840001e-07,-0.000330932,-4.3265999999999975e-05,1.0951598862399998e-07,1.8719467559999973e-09,-0.5143864601162564,-0.3560611063214337,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326292389142754,0.07779550156921149,17.33914545625017,8.803457314572873,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.00296764,-0.01554476,0.0002416395634576,8.8068871696e-06,-0.0252456,0.0500489,0.0006373403193599,0.00250489239121,0.0374103,-0.026661,0.000710808921,0.0013995305460899,-9.68854e-05,-0.0004417974,1.9518494264676e-07,9.38678073316e-09,-0.000293007,0.0004099649999999,1.6807130122499993e-07,8.585310204900004e-08,0.0,0.000330932,0.0,1.0951598862399998e-07,-0.7747322908154818,-0.39342735380410976,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20673850379785844,0.07726861831314934,23.38901606299772,8.744614390343047,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.00960467,0.0066370299999999,4.405016722089998e-05,9.22496858089e-05,-0.0696897,-0.0444440999999999,0.0048566542860899,0.00197527802481,0.00936401,-0.02804629,0.0007865943827641,8.768468328010003e-05,0.000419327,0.0005162124,2.6647524191376e-07,1.75835132929e-07,-0.000713251,-0.000420244,1.7660501953600004e-07,5.087269890010001e-07,-0.00025919,-0.00025919,6.71794561e-08,6.71794561e-08,-1.045047233736343,-0.390825784342355,1
