,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0641469,0.0,0.0,0.00411482477961,-0.00120333,0.0,0.0,1.4480030889000004e-06,-0.00235425,0.0,5.5424930625e-06,0.0,0.00130194,0.0,1.6950477635999996e-06,0.0,0.000219341,0.0,4.8110474281e-08,0.0,0.000423308,0.0,0.0,1.7918966286400005e-07,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547380296873818e-31,1.7542918292189796e-30,-8.223872232468199e-30,-8.222273433713818e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0641952,-4.829999999998724e-05,2.332889999998768e-09,0.0041210237030399,0.0139077,0.01511103,0.0002283432276609,0.0001934241192899,-0.0118629,-0.00950865,0.0001407283964099,9.041442482249998e-05,0.00130194,0.0,1.6950477635999996e-06,0.0,0.000238954,1.961300000000003e-05,5.7099014116000016e-08,3.846697690000012e-10,0.000449254,2.5946e-05,6.731949159999997e-10,2.0182915651600001e-07,-9.90882568051341e-31,-9.907947480242428e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.556952177642812e-05,0.0002057655272117415,-0.0016670249205885984,-0.00964454248573293,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0645068,-0.0003116,9.709456000000569e-08,0.0041611272462399,-0.0476643,-0.061572,0.003791111184,0.0022718854944899,-0.0221865,-0.0103236,0.0004922407822499,0.00010657671696,0.00122634,-7.559999999999989e-05,1.5039097956e-06,5.7153599999999835e-09,0.000182465,-5.6489000000000014e-05,3.3293476225e-08,3.1910071210000007e-09,0.000455129,5.875000000000022e-06,3.451562500000025e-11,2.07142406641e-07,-0.00020085744131541027,-0.0011622695587048817,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001268069601887298,0.00394909555578192,-0.0594301953417847,-0.18511652813693608,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0512285999999999,0.0132782,0.00017631059524,0.0026243694579599,-0.038639,0.0090252999999999,8.145604009e-05,0.001492972321,-0.0274909,-0.0053043999999999,0.0007557495828099,2.813665935999997e-05,0.000874271,-0.000352069,7.643497814410002e-07,1.2395258076099998e-07,-4.0172800000000004e-23,-0.000182465,1.6138538598400002e-45,3.3293476225e-08,0.000370529,-8.46e-05,7.1571600000000005e-09,1.37291739841e-07,-0.007160658983436876,-0.022311999568478697,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191600840296326,0.01608131098221423,-0.3839130260485544,-0.7539073045093592,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0456951,0.0055334999999999,3.061962224999997e-05,0.00208804216401,0.0294102,0.0680491999999999,0.00463069362064,0.00086495986404,-0.00970639,0.0177845099999999,9.42140068321e-05,0.00031628879594,0.00065416,-0.000220111,4.279253056e-07,4.844885232100002e-08,-0.0,4.0172800000000004e-23,0.0,1.6138538598400002e-45,0.000171158,-0.000199371,3.9748795641000016e-08,2.929506096400001e-08,-0.04625712978096463,-0.09088614106931633,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641755198478954,0.03531015621581767,-1.23810260302047,-1.6556106198283187,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.045712,-1.6900000000007187e-05,2.856100000002429e-10,0.002089586944,-0.01156,-0.0409702,0.00167855728804,0.0001336336,-0.0217928,-0.01208641,0.00047492613184,0.0001460813066881,0.0008618519999999,0.0002076919999999,7.427888699039995e-07,4.31359668639999e-08,-1.32055e-23,-1.32055e-23,1.7438523024999995e-46,1.7438523024999995e-46,0.000121799,-4.935900000000001e-05,2.436310881000001e-09,1.4834996401e-08,-0.1491772065655955,-0.19963995032236992,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058521683253220526,0.05549466188059313,-2.742716221800936,-2.602491987315895,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0459342,-0.0002221999999999,4.937283999999947e-08,0.00210995072964,-0.0545346,-0.0429745999999999,0.00184681624516,0.00297402259716,-0.0213448,0.000448,0.0004556004870399,2.0070400000000357e-07,0.000764838,-9.701399999999976e-05,5.84977166244e-07,9.411716195999955e-09,-0.0,1.32055e-23,0.0,1.7438523024999995e-46,0.0,-0.000121799,1.4834996401e-08,0.0,-0.3304659431070134,-0.31392009773510593,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273453630875047,0.07068714123667359,-4.814825268336773,-3.315753502622153,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0400853,0.0058488999999999,3.420963120999997e-05,0.00160683127609,0.0144436,0.0689781999999999,0.00475799207524,0.00020861758096,-0.0326273,-0.0112825,0.00106454070529,0.00012729480625,0.0010181,0.000253262,1.03652761e-06,6.414164064400006e-08,-5.380560000000001e-05,-5.380560000000001e-05,2.89504259136e-09,2.89504259136e-09,0.000182034,0.000182034,3.3136377156000014e-08,3.3136377156000014e-08,-0.5801313896599958,-0.4001240541272543,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15433092288010267,0.07792167550402516,-7.232975918980813,-3.656259846204018,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.0301169,0.0099684,9.936899855999996e-05,0.00090702766561,0.0464783,0.0320347,0.00102622200409,0.00216023237089,-0.019253,0.0133743,0.000370678009,0.0001788719004899,0.000688067,-0.000330033,4.73436196489e-07,1.0892178108900007e-07,-0.0,5.380560000000001e-05,0.0,2.89504259136e-09,0.000102595,-7.943900000000002e-05,6.3105547210000045e-09,1.0525734025e-08,-0.8714908926913377,-0.4414593791548789,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20779336661273773,0.07727402294586973,-9.738582448583646,-3.627406730348765,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.0301358,-1.889999999999531e-05,3.5720999999982267e-10,0.0009081664416399,0.00498,-0.0414983,0.00172210890289,2.48004e-05,-0.0108527,0.0084003,0.00011778109729,7.056504008999999e-05,0.00102781,0.000339743,1.0563933961000002e-06,1.1542530604900005e-07,0.000139489,0.000139489,1.9457181121e-08,1.9457181121e-08,0.0,-0.000102595,1.0525734025e-08,0.0,-1.1733878291219664,-0.4383022594094455,1
