,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,5.19654e-05,0.0,2.70040279716e-09,0.0,-0.0211063,0.0,0.0,0.00044547589969,-0.0193529,0.0,0.00037453473841,0.0,-0.000109327,0.0,1.1952392929e-08,0.0,0.000527124,0.0,0.0,2.778597113760001e-07,5.69193e-05,0.0,3.23980671249e-09,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.985193624252991e-29,1.9846323084117067e-28,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.000135723,-0.0001876884,1.8420732729e-08,3.522693549456e-08,-0.0249758,-0.0038695,1.4973030250000012e-05,0.00062379058564,-0.0140153,0.0053376,0.00019642863409,2.848997376000004e-05,-0.000147688,-3.836099999999998e-05,2.1811745344e-08,1.4715663209999984e-09,0.0004943,-3.282399999999998e-05,1.077414975999999e-09,2.4433249000000005e-07,-7.94813e-05,-0.0001364006,6.31727704969e-09,1.860512368036e-08,7.853757488052604e-31,7.851707940104048e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040240985636399015,0.02327779440048804,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.000216059,0.000351782,4.668149148100002e-08,1.2375057552400002e-07,3.4518800000000007e-06,0.02497925188,0.0006239630244844,1.1915475534400008e-11,0.0522702,0.0662855,0.00273217380804,0.00439376751025,0.000104253,0.000251941,1.0868688009e-08,6.3474267481e-08,0.000348813,-0.000145487,2.1166467169000013e-08,1.21670508969e-07,0.000313789,0.0003932703,9.8463536521e-08,1.5466152886208998e-07,0.00015920005908109334,0.000920943103635616,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346094096018294,0.44673350349921703,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.000157919,-5.814000000000004e-05,2.4938410561e-08,3.3802596000000037e-09,0.00449084,0.00448738812,2.013665213951714e-05,2.01676439056e-05,0.0628701,0.0105998999999999,0.00395264947401,0.0001123578800099,0.000115316,1.1063000000000012e-05,1.3297779856e-08,1.223899690000003e-10,0.0003595,1.0687e-05,1.1421196900000003e-10,1.2924025000000002e-07,0.000305234,-8.554999999999988e-06,9.316779475600001e-08,7.318802499999979e-11,0.005675554391995785,0.0176747599489553,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9267431083988571,1.8190684910922168,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-2.86133e-05,-0.0001865323,8.187209368899998e-10,3.479429894329e-08,-0.0157302,-0.02022104,0.0004088904586816,0.00024743919204,-0.0152906,-0.0781607,0.00023380244836,0.00610909502449,-0.000180547,-0.000295863,3.2597219209000004e-08,8.753491476900001e-08,0.000334561,-2.493900000000003e-05,6.219537210000011e-10,1.11931062721e-07,0.0,-0.000305234,0.0,9.316779475600001e-08,0.03666350495069449,0.0719733751428493,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9887057145458567,3.993904850190577,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.0108197,0.0108483133,0.00011706590809,0.0001176859014549,-0.0236036,-0.0078733999999999,6.199042755999993e-05,0.0005571299329599,-0.019509,-0.0042184,0.000380601081,1.7794898560000006e-05,-0.000287206,-0.0001066589999999,8.2487286436e-08,1.1376142280999992e-08,0.000204418,-0.000130143,1.6937200448999998e-08,4.1786718724e-08,0.0,0.0,0.0,0.0,0.11823818895263993,0.15803130612713898,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.620753098714349,6.276411288569715,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.0172727999999999,0.0064530999999999,0.0002983496198399,4.1642499609999976e-05,-0.00761645,0.01598715,0.0002555889651224,5.8010310602500014e-05,0.0431597,0.0626687,0.00186275970409,0.0039273659596899,6.26692e-05,0.0003498752,3.9274286286400024e-09,1.2241265557504002e-07,6.18825e-05,-0.0001425354999999,2.0316368760250004e-08,3.82944380625e-09,0.000134481,0.000134481,1.8085139361000003e-08,1.8085139361000003e-08,0.2619280486816068,0.2483623783949196,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.622700541063303,7.993763168197035,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.0172172,-5.55999999999994e-05,0.0002964319758399,3.091359999999933e-09,0.00290896,0.01052541,0.0001107842556681,8.462048281599999e-06,0.0680012,0.0248415,0.00462416320144,0.00061710012225,0.0,-6.26692e-05,0.0,3.9274286286400024e-09,0.000102144,4.02615e-05,1.6209883822499991e-09,1.0433396735999998e-08,0.000150963,1.6481999999999982e-05,2.2789827369e-08,2.7165632399999937e-10,0.4598134423291704,0.31634680023862477,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.459971741835616,8.810568393965232,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.00602329,-0.0111939099999999,3.62800224241e-05,0.000125303621088,-0.0087397099999999,-0.0116486699999999,0.0001356915127688,7.638253088409996e-05,-0.00488336,-0.07288456,2.38472048896e-05,0.0053121590863936,-0.000357338,-0.000357338,1.2769044624400002e-07,1.2769044624400002e-07,-0.0,-0.000102144,1.0433396735999998e-08,0.0,0.0,-0.000150963,0.0,2.2789827369e-08,0.6907456387798324,0.3487112925866111,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.508356209454398,8.735575450604227,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.0090435,0.00302021,8.178489224999999e-05,9.121668444099996e-06,-0.0228245,-0.01408479,0.0001983813093441,0.00052095780025,7.916699999999997e-05,0.004962527,6.2674138889999954e-09,2.4626674225729e-05,-0.000240393,0.000116945,5.778879444899999e-08,1.3676133025000006e-08,-0.0,0.0,0.0,0.0,-0.000248222,-0.000248222,6.161416128400001e-08,6.161416128400001e-08,0.9300298286082016,0.34579657980060957,1
