,Q01,Q01_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0308251,0.0,0.0,0.00095018679001,-0.0857437,0.0,0.0,0.00735198208969,0.0595396,0.0,0.00354496396816,0.0,-0.000422442,0.0,1.7845724336399997e-07,0.0,-0.000154933,0.0,2.4004234489e-08,0.0,0.000243724,0.0,5.9401388176000015e-08,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0367926,-0.0059675,3.561105625000005e-05,0.00135369541476,-0.00380156,0.08194214,0.0067145143077796,1.44518584336e-05,0.0555734,-0.0039661999999999,0.00308840278756,1.573074243999997e-05,-0.000193759,0.0002286829999999,3.754255008100001e-08,5.2295914488999975e-08,5.0319299999999996e-24,0.000154933,2.5320319524899995e-47,2.4004234489e-08,0.000185646,-5.807800000000004e-05,3.4464437315999995e-08,3.3730540840000043e-09,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003763235604394407,0.0022096718550231385,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0345587,0.0022339,4.9903092100000166e-06,0.0011943037456899,-0.00607083,-0.00226927,5.149586332900002e-06,3.68549768889e-05,0.0299675,-0.0256059,0.00089805105625,0.0006556621148099,-0.000563589,-0.0003698299999999,3.17632560921e-07,1.3677422889999994e-07,-0.0,-5.0319299999999996e-24,0.0,2.5320319524899995e-47,0.000312389,0.000126743,9.758688732100001e-08,1.6063788049000005e-08,-0.0001361036876922647,-0.0007991482713394447,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014250280134577185,0.044841197440492385,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0366154,-0.0020567,4.230014890000007e-06,0.0013406875171599,-0.0589858,-0.05291497,0.0027999940501009,0.00347932460164,-0.0709557,-0.1009232,0.00503471136249,0.0101854922982399,-0.00094015,-0.000376561,8.838820224999998e-07,1.4179818672099992e-07,-0.000107127,-0.000107127,1.1476194129e-08,1.1476194129e-08,0.00024129,-7.109899999999999e-05,5.82208641e-08,5.0550678010000015e-09,-0.005153851315338761,-0.01621694603503888,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09390623700037458,0.1858646936036944,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0297939,0.0068214999999999,4.653286224999997e-05,0.00088767647721,-0.0785116999999999,-0.0195258999999999,0.0003812607708099,0.0061640870368899,-0.0347202,0.0362355,0.00120549228804,0.0013130114602499,-0.00077006,0.0001700899999999,5.929924036000001e-07,2.8930608099999972e-08,-5.07302e-05,5.63968e-05,2.5735531920400003e-09,3.1805990502400003e-09,0.000154802,-8.648799999999999e-05,2.3963659204e-08,7.480174143999997e-09,-0.03396275571513555,-0.06721697606654789,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058342669193365,0.41165791017101316,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0195352,0.0102587,0.00010524092569,0.00038162403904,-0.0378488,0.0406628999999999,0.0016534714364099,0.00143253166144,0.0610045999999999,0.0957248,0.0037215612211599,0.00916323733504,-0.000584773,0.000185287,3.41959461529e-07,3.4331272369000016e-08,-0.000109217,-5.84868e-05,1.1928353089e-08,3.4207057742400007e-09,0.000151839,-2.963000000000005e-06,2.3055081921e-08,8.779369000000031e-12,-0.11061005986916031,-0.14886962996999942,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6814349432396937,0.6502858736408533,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0157837,0.0037514999999999,1.4073752249999985e-05,0.00024912518569,-0.0114386,0.0264102,0.00069749866404,0.00013084156996,0.058814,-0.0021905999999999,0.003459086596,4.7987283599999744e-06,-0.000242116,0.0003426569999999,5.8620157456e-08,1.17413819649e-07,-0.0,0.000109217,0.0,1.1928353089e-08,0.0,-0.000151839,0.0,2.3055081921e-08,-0.24645230447168978,-0.23515705866774989,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.200762135645886,0.831075797361012,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.011029,0.0047547,2.2607172090000005e-05,0.000121638841,-0.0712631,-0.0598245,0.00357897080025,0.00507842942161,0.0399883,-0.0188256999999999,0.00159906413689,0.0003544069804899,4.63599e-05,0.0002884759,2.14924032801e-09,8.321834488081e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43427563905859645,-0.3005201393233642,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8085025019188434,0.9182522498377491,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.00221416,0.00881484,7.770140422560002e-05,4.9025045056000015e-06,-0.0891455,-0.0178823999999999,0.0003197802297599,0.00794692017025,0.0401241,0.0001357999999999,0.0016099434008099,1.8441639999997692e-08,-9.47175e-05,-0.0001410774,8.971404806250001e-09,1.990283279076e-08,-0.0,0.0,0.0,0.0,0.000114757,0.000114757,1.3169169049000012e-08,1.3169169049000012e-08,-0.6540750715273167,-0.332022498894514,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.439514344814728,0.9121276052289081,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.00620809,-0.00399393,1.59514768449e-05,3.85403814481e-05,-0.0207362,0.0684093,0.00467983232649,0.0004299899904399,0.0477794,0.0076553,0.00228287106436,5.860361809000016e-05,0.000109674,0.0002043915,1.2028386276e-08,4.177588527225e-08,9.13278e-05,9.13278e-05,8.34076705284e-09,8.34076705284e-09,0.000214455,9.969799999999997e-05,4.5990947025e-08,9.939691203999991e-09,-0.882291021374662,-0.32977994858442944,1
