,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.00586566,0.0,3.44059672356e-05,0.0,0.0139601,0.0,0.0,0.0001948843920099,0.021444,0.0,0.0,0.000459845136,-0.00057346,0.0,3.288563716000001e-07,0.0,-0.00065414,0.0,0.0,4.278991396e-07,-0.000287293,0.0,0.0,8.253726784899999e-08,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070590875031109e-30,2.0700159014864956e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.00261929,-0.00324637,6.860680104099998e-06,1.05389181769e-05,-0.0112802,-0.0252403,0.00063707274409,0.00012724291204,0.0210294,-0.0004146,1.7189316000000094e-07,0.00044223566436,-0.000886938,-0.000313478,7.866590158439998e-07,9.826845648399999e-08,-0.000354495,0.000299645,8.978712602499998e-08,1.2566670502500004e-07,-0.00020624,8.105299999999997e-05,6.569588808999996e-09,4.25349376e-08,1.696246762029676e-33,1.696083481356466e-32,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004197203569618515,0.002427934996064418,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-4.17707e-06,-0.00262346707,1.7447913784899998e-11,6.882579467374384e-06,-0.0264026,-0.0151224,0.00022868698176,0.00069709728676,0.02138,0.0003505999999999,1.2292035999999966e-07,0.0004571044,-0.00118071,-0.000293772,1.3940761041e-06,8.630198798399998e-08,-0.000263977,9.051800000000004e-05,8.193508324000008e-09,6.9683856529e-08,-0.000125483,8.075700000000001e-05,6.521693049000002e-09,1.5745983288999997e-08,3.4383871050517587e-07,1.9896101081909807e-06,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014963221302270107,0.04659582579116019,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-1.16515e-05,-7.474429999999999e-06,1.3575745225e-10,5.5867103824899996e-11,-0.00630504,0.02009756,0.0004039119179536,3.97535294016e-05,0.00731428,-0.01406572,0.0001978444791184,5.349869191840001e-05,-0.00122894,-4.823000000000002e-05,1.5102935236e-06,2.326132900000002e-09,-0.000184686,7.9291e-05,6.287062680999998e-09,3.4108918596e-08,0.0,0.000125483,1.5745983288999997e-08,0.0,1.2258006151566664e-05,3.8193960873684694e-05,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09666088991549654,0.18973684853052578,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.00560085,-0.0055891985,3.13695207225e-05,3.1239139872402245e-05,0.0282273,0.0345323399999999,0.0011924825058755,0.0007967804652899,-0.0544765,-0.06179078,0.0038181004930084,0.00296768905225,-0.000996316,0.0002326239999999,9.926455718560006e-07,5.411392537599995e-08,7.15328e-06,0.00019183928,3.68023093509184e-08,5.11694147584e-11,0.000201514,0.000201514,4.0607892196000023e-08,4.0607892196000023e-08,7.918547478946299e-05,0.00015557780429811423,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3117271134205164,0.4165868914255721,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0053959,0.00020495,2.9115736809999998e-05,4.200450250000025e-08,0.0178901,-0.0103371999999999,0.0001068577038399,0.0003200556780099,-0.0588597,-0.0043832,1.9212442240000037e-05,0.00346446428409,-0.00139499,-0.0003986739999999,1.9459971001e-06,1.5894095827599994e-07,0.00023301,0.00022585672,5.10112579691584e-08,5.42936601e-08,0.000208602,7.087999999999984e-06,5.0239743999999774e-11,4.3514794404e-08,0.00025536966918607914,0.00034173505356697786,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905558623880017,0.6546754028921695,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-4.11578e-05,0.0053547421999999,1.693964500839999e-09,2.867326402846083e-05,9.29132e-05,-0.0177971868,0.000316739857994,8.63286273424e-09,-0.0680014999999999,-0.0091417999999999,8.357250723999986e-05,0.0046242040022499,-0.00126935,0.00012564,1.6112494225e-06,1.57854096e-08,0.000368119,0.000135109,1.8254441881000008e-08,1.3551159816100005e-07,0.000164967,-4.363500000000001e-05,1.904013225000001e-09,2.7214111089e-08,0.000565709604780645,0.000537342350948702,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212267528443255,0.8338245657491226,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.00750507,-0.0074639122,5.63260757049e-05,5.570998532930884e-05,-0.0254295,-0.0255224132,0.0006513935755515,0.0006466594702499,-0.0461869,0.0218145999999999,0.0004758767731599,0.00213322973161,-0.0008620339999999,0.000407316,7.431026171559999e-07,1.659063238560001e-07,0.000275473,-9.264600000000003e-05,8.583281316000009e-09,7.5885373729e-08,7.863770000000001e-05,-8.632929999999999e-05,7.452748038489997e-09,6.183887861290001e-09,0.0009931005176503998,0.0006848783617854051,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8211048899852103,0.91904958697284,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-1.20901e-06,0.00750386099,1.4617051801e-12,5.630792975724377e-05,0.00346039,0.02888989,0.000834625744212,1.19742989521e-05,-0.0144407,0.0317462,0.00100782121444,0.00020853381649,-0.000790122,7.191199999999993e-05,6.242927748839999e-07,5.171335743999989e-09,-3.18038e-06,-0.00027865338,7.764770618542438e-08,1.01148169444e-11,0.0,-7.863770000000001e-05,6.183887861290001e-09,0.0,0.0014918655878397088,0.0007556003578693126,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4519617260303037,0.9112596505492296,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.00252966,0.00253086901,6.3991797156e-06,6.405297945778379e-06,0.0315323,0.02807191,0.000788032131048,0.0009942859432899,0.0108629,0.0253036,0.00064027217296,0.00011800259641,-0.0008620339999999,-7.191199999999993e-05,7.431026171559999e-07,5.171335743999989e-09,-0.000391304,-0.00038812362,1.506399444019045e-07,1.5311882041600005e-07,0.0,0.0,0.0,0.0,0.0020086692105880702,0.0007501563864158628,1
