,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q39,Q39_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0267906,0.0,0.00071773624836,0.0,0.0147526,0.0,0.00021763920676,0.0,0.062971,0.0,0.0,0.003965346841,0.00101239,0.0,0.0,1.0249335120999998e-06,0.000126318,0.0,0.0,1.5956237124000002e-08,0.000358149,0.0,1.2827070620099998e-07,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0205206,0.00627,0.00042109502436,3.9312900000000015e-05,0.0527336,0.037981,0.00278083256896,0.001442556361,0.057097,-0.0058739999999999,3.450387599999997e-05,0.003260067409,0.000902673,-0.0001097169999999,1.2037820088999944e-08,8.148185449290005e-07,0.000149098,2.2779999999999995e-05,5.189283999999998e-10,2.2230213604e-08,0.000237273,-0.000120876,5.629847652899999e-08,1.4611007375999996e-08,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1891827155884826e-05,0.00018725560209402757,0.003608028712235769,0.021185311019958755,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0139058,0.0066148,0.00019337127364,4.3755579040000014e-05,0.0332374,-0.0194962,0.00110472475876,0.0003801018144399,0.0121841,-0.0449129,0.00201716858641,0.00014845229281,0.000721295,-0.000181378,3.289797888400006e-08,5.20266477025e-07,7.056739999999999e-05,-7.853060000000001e-05,6.16705513636e-09,4.9797579427599995e-09,0.000223263,-1.401000000000001e-05,4.9846367169e-08,1.9628010000000026e-10,0.00014979836536866472,0.00087965545082709,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012076508588624742,0.0037999225710214093,0.13662556716597454,0.4299153473057534,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0135133999999999,0.0003924,0.00018261197956,1.5397776000000085e-07,-0.00321902,-0.03645642,1.03620897604e-05,0.0013290705592164,0.0314567,0.0192726,0.00037143311076,0.00098952397489,0.000721295,0.0,0.0,5.20266477025e-07,-0.0,-7.056739999999999e-05,4.9797579427599995e-09,0.0,0.000220464,-2.798999999999971e-06,4.860437529600001e-08,7.834400999999838e-12,0.005672428980296959,0.017852371503735465,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007958155677997854,0.015750066262644972,0.9003326790374899,1.7819724251921263,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0114029,0.0021104999999999,0.0001300261284099,4.454210249999999e-06,0.00292057,0.00613959,8.529729124899999e-06,3.76945653681e-05,0.0668563,0.0353995999999999,0.0012531316801599,0.0044697648496899,0.000594393,-0.000126902,1.6104117604000008e-08,3.53303038449e-07,-0.0,0.0,0.0,0.0,0.000284895,6.443100000000001e-05,8.1165161025e-08,4.151353760999999e-09,0.037380069385377336,0.07400459655892978,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591815821350311,0.03488242393792525,2.9322076325543187,3.946739195094659,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0123869,-0.000984,0.0001534352916099,9.68256000000001e-07,0.0422407,0.03932013,0.00178427673649,0.0015460726232169,0.0671127,0.0002564,6.574096000000198e-08,0.00450411450129,0.000845481,0.000251088,6.3045183744e-08,7.148381213610002e-07,2.6469800000000003e-23,2.6469800000000003e-23,7.0065031204e-46,7.0065031204e-46,0.000153884,-0.000131011,2.3680285456e-08,1.7163882121000006e-08,0.12173958283330222,0.1639279031027382,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774872400336391,0.05510041717924936,6.533305642247236,6.234527848804067,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.000134649,0.012521549,1.813035320100001e-08,0.0001567891893594,0.0373602,-0.0048805,0.0013957845440399,2.381928025000003e-05,0.0247529,-0.0423598,0.0017943526560399,0.00061270605841,0.0008094069999999,-3.607400000000009e-05,1.3013334760000063e-09,6.551396916489999e-07,-0.0,-2.6469800000000003e-23,7.0065031204e-46,0.0,0.000134364,-1.952000000000001e-05,1.8053684496e-08,3.8103040000000015e-10,0.27125019885333923,0.25899466116103115,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175950302083786,0.07041507719507827,11.512391775090789,7.967761972307656,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,4.25725e-05,-9.20765e-05,1.81241775625e-09,8.47808185225e-09,-0.000948113,-0.038308313,8.989182607690004e-07,0.0014675268449059,0.0151373,-0.0096156,9.245976336000004e-05,0.00022913785129,0.000560376,-0.0002490309999999,6.201643896099996e-08,3.14021261376e-07,-0.00016485,-0.00016485,2.71755225e-08,2.71755225e-08,9.21617e-05,-4.22023e-05,8.493778946889999e-09,1.781034125289999e-09,0.4779722133429544,0.3310688447390698,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326292389142754,0.0777952821956432,17.33914545625017,8.803452957654455,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,3.8221e-05,-4.3515000000000015e-06,1.460844841e-09,1.8935552250000004e-11,-0.0106518,-0.009703687,0.00011346084324,9.416154139396898e-05,0.0399429,0.0248056,0.00061531779136,0.00159543526041,0.000721295,0.000160919,2.5894924561000013e-08,5.20266477025e-07,-0.000206542,-4.169200000000002e-05,1.738222864000002e-09,4.2659597764000015e-08,0.0,-9.21617e-05,0.0,8.493778946889999e-09,0.7198877429737198,0.3658981252281524,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20673850379785844,0.07726832239707174,23.38901606299772,8.744608513234796,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.00592361,-0.005961831,3.50891554321e-05,3.5543428872561e-05,0.0327363,0.0433881,0.00107166533769,0.00188252722161,0.0592431,0.0193002,0.00037249772004,0.00350974489761,0.000721295,0.0,0.0,5.20266477025e-07,-0.000203265,3.277000000000016e-06,1.0738729000000106e-11,4.1316660225e-08,0.0,0.0,0.0,0.0,0.9710666553003726,0.3635931200523597,1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866051987025673,0.18895790723994824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574769495134627,0.07072018626175416,29.12922555495641,8.00452879059319,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,8.075129999999998e-09,0.00592361807513,6.520772451689996e-17,3.5089251100006845e-05,0.0317241,-0.0010122,0.00100641852081,1.0245488400000096e-06,0.0234436,-0.0357995,0.00128160420025,0.0005496023809599,0.0006376519999999,-8.364300000000011e-05,6.996151449000017e-09,4.066000731039999e-07,-0.0,0.000203265,4.1316660225e-08,0.0,0.0,0.0,0.0,0.0,1.2093890377839285,0.332997476575164,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062136572877256,0.1620677090639178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30233012148289706,0.060612142730937,34.20361441043174,6.861619885040365,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,7.798829999999998e-09,-2.763e-10,6.082174936889996e-17,7.634168999999997e-20,0.0139588,-0.0177652999999999,0.00019484809744,0.0003156058840899,0.0157105999999999,-0.0077329999999999,5.979928900000001e-05,0.0002468229523599,0.00078969,0.000152038,2.3115553444000023e-08,6.236102961e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4200678367683597,0.2856619465946681,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905992548018815,0.13151876436845616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33974720550705556,0.04913608449446458,38.436733849698214,5.563835526614508,0.0575164504999999,0.0571491982,0.056538847,0.0556879932,0.0546002562,0.000119003,0.00011899520117,1.4161714009000001e-08,1.4159857901488773e-08,-0.000944183,-0.0149029829999999,8.914815374890002e-07,0.0002220989022982,0.025964,0.0102534,0.0001051322115599,0.0006741292959999,0.000721295,-6.839499999999996e-05,4.677876024999994e-09,5.20266477025e-07,1.74689e-23,1.74689e-23,3.0516246720999995e-46,3.0516246720999995e-46,0.000161123,0.000161123,2.5960621129e-08,2.5960621129e-08,1.5958187586670651,0.23187708381050878,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851466335351641,0.10147565373179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694299875756865,0.03785389029477789,41.794845927729334,4.2878719570163515,0.0574960598,0.0570678231,0.0563564562999999,0.0553654888999999,0.0540998371,-0.0125193,-0.012638303,0.00015673287249,0.0001597267027198,0.045184,0.046128183,0.002041593856,0.0021278092668814,0.0359058,0.0099418,9.883938724000008e-05,0.00128922647364,0.00077941,5.8114999999999975e-05,3.377353224999996e-09,6.074799481000001e-07,6.35926e-05,6.35926e-05,4.04401877476e-09,4.04401877476e-09,0.000346306,0.000185183,1.19927845636e-07,3.4292743489000004e-08,1.7352410693343534,0.1789782038686812,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450189459159736,0.07434202692553518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3918821047184901,0.027666656849056264,44.33492878048518,3.135680524851865,0.0574741032,0.0569802314,0.0561602528,0.0550188604999999,0.0535625866,-0.01366,-0.0011406999999999,0.0001865956,1.3011964899999993e-06,0.0475171,0.0023331,0.00225787479241,5.443355610000021e-06,-0.00130542,-0.03721122,0.0013846748938884,1.7041213764000005e-06,0.000721295,-5.8114999999999975e-05,3.377353224999996e-09,5.20266477025e-07,9.88014e-05,3.5208799999999994e-05,1.2396595974399996e-09,9.761716641959998e-09,0.000234548,-0.000111758,5.5012764304e-08,1.2489850564e-08,1.8407003906400359,0.1311994299966893,1
