onset	duration	SS_delay	block_duration	correct	correct_response	experiment_exp_id	key_press	passed_check	response_time	stopped	trial_id	trial_type	worker_id	junk
3.02	0.85	0.4	2.25	1.0	71.0	stop_signal	71.0	True	0.683	False	stim	stop_failure	s619	False
5.273	0.85	0.35	2.658	1.0	71.0	stop_signal	71.0	True	0.966	False	stim	go	s619	False
7.935	0.85	0.35	2.658	1.0	89.0	stop_signal	89.0	True	0.947	False	stim	go	s619	False
10.599	0.85	0.35	2.25	1.0	89.0	stop_signal	89.0	True	0.761	False	stim	go	s619	False
12.851	0.85	0.35	2.25	1.0	89.0	stop_signal	89.0	True	0.663	False	stim	go	s619	False
15.103	0.85	0.35	2.386	1.0	89.0	stop_signal	89.0	True	0.746	False	stim	go	s619	False
17.495	0.85	0.35	2.794	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
20.292	0.85	0.4	2.386	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
22.684	0.85	0.45	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
24.94	0.85	0.5	2.25	1.0	89.0	stop_signal	89.0	True	0.693	False	stim	stop_failure	s619	False
27.196	0.85	0.45	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
29.449	0.85	0.5	2.658	1.0	89.0	stop_signal	89.0	True	0.925	False	stim	go	s619	False
32.111	0.85	0.5	2.658	1.0	71.0	stop_signal	71.0	True	0.728	False	stim	go	s619	False
34.774	0.85	0.5	2.25	1.0	89.0	stop_signal	89.0	True	0.768	False	stim	go	s619	False
37.027	0.85	0.5	2.522	1.0	71.0	stop_signal	71.0	True	1.046	False	stim	go	s619	False
39.553	0.85	0.5	2.25	1.0	71.0	stop_signal	71.0	True	0.877	False	stim	go	s619	False
41.809	0.85	0.5	2.522	1.0	89.0	stop_signal	89.0	True	0.711	False	stim	stop_failure	s619	False
44.337	0.85	0.45	2.522	1.0	71.0	stop_signal	71.0	True	0.868	False	stim	go	s619	False
46.865	0.85	0.45	2.522	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
49.391	0.85	0.5	2.386	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
51.783	0.85	0.55	2.522	1.0	89.0	stop_signal	89.0	True	0.708	False	stim	stop_failure	s619	False
54.307	0.85	0.5	2.522	0.0	71.0	stop_signal	89.0	True	1.052	False	stim	go	s619	False
56.831	0.85	0.5	2.386	1.0	89.0	stop_signal	89.0	True	0.882	False	stim	go	s619	False
59.223	0.85	0.5	2.25	1.0	71.0	stop_signal	71.0	True	0.967	False	stim	go	s619	False
61.479	0.85	0.5	2.522	1.0	89.0	stop_signal	89.0	True	0.773	False	stim	go	s619	False
64.003	0.85	0.5	2.794	1.0	89.0	stop_signal	89.0	True	0.742	False	stim	go	s619	False
66.799	0.85	0.5	2.522	1.0	71.0	stop_signal	71.0	True	0.743	False	stim	stop_failure	s619	False
69.327	0.85	0.45	2.386	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
71.716	0.85	0.5	2.25	0.0	71.0	stop_signal	89.0	True	0.984	False	stim	go	s619	False
73.969	0.85	0.5	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
76.225	0.85	0.55	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
78.481	0.85	0.6	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
80.733	0.85	0.65	2.522	1.0	71.0	stop_signal	71.0	True	1.001	False	stim	go	s619	False
83.259	0.85	0.65	2.25	1.0	89.0	stop_signal	89.0	True	0.778	False	stim	go	s619	False
85.515	0.85	0.65	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
87.77	0.85	0.7	2.25	1.0	89.0	stop_signal	89.0	True	1.381	False	stim	go	s619	False
90.023	0.85	0.7	2.25	1.0	89.0	stop_signal	89.0	True	0.939	False	stim	go	s619	False
92.276	0.85	0.7	2.386	1.0	71.0	stop_signal	71.0	True	0.881	False	stim	go	s619	False
94.668	0.85	0.7	2.25	1.0	71.0	stop_signal	71.0	True	0.773	False	stim	go	s619	False
96.92	0.85	0.7	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
99.175	0.85	0.75	2.25	1.0	89.0	stop_signal	89.0	True	0.836	False	stim	go	s619	False
111.943	0.85	0.75	2.25	1.0	71.0	stop_signal	71.0	True	0.711	False	stim	stop_failure	s619	False
114.199	0.85	0.7	2.522	1.0	89.0	stop_signal	89.0	True	0.698	False	stim	stop_failure	s619	False
116.724	0.85	0.65	2.386	1.0	71.0	stop_signal	71.0	True	1.035	False	stim	go	s619	False
119.116	0.85	0.65	2.522	1.0	71.0	stop_signal	71.0	True	1.084	False	stim	go	s619	False
121.643	0.85	0.65	2.25	1.0	89.0	stop_signal	89.0	True	0.749	False	stim	stop_failure	s619	False
123.897	0.85	0.6	2.386	0.0	71.0	stop_signal	89.0	True	0.906	False	stim	go	s619	False
126.286	0.85	0.6	2.386	0.0	89.0	stop_signal	71.0	True	0.808	False	stim	go	s619	False
128.679	0.85	0.6	2.25	1.0	89.0	stop_signal	89.0	True	0.725	False	stim	go	s619	False
130.932	0.85	0.6	2.386	1.0	71.0	stop_signal	71.0	True	0.838	False	stim	go	s619	False
133.321	0.85	0.6	2.386	0.0	71.0	stop_signal	89.0	True	0.795	False	stim	go	s619	False
135.711	0.85	0.6	2.386	0.0	89.0	stop_signal	71.0	True	0.804	False	stim	stop_failure	s619	False
138.098	0.85	0.55	2.658	1.0	71.0	stop_signal	71.0	True	1.27	False	stim	go	s619	False
140.759	0.85	0.55	2.522	1.0	89.0	stop_signal	89.0	True	1.067	False	stim	go	s619	False
143.283	0.85	0.55	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
145.539	0.85	0.6	2.93	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
148.471	0.85	0.65	2.25	1.0	71.0	stop_signal	71.0	True	1.114	False	stim	go	s619	False
150.727	0.85	0.65	2.522	1.0	71.0	stop_signal	71.0	True	0.944	False	stim	go	s619	False
153.254	0.85	0.65	2.25	1.0	71.0	stop_signal	71.0	True	0.678	False	stim	stop_failure	s619	False
155.506	0.85	0.6	2.25	1.0	89.0	stop_signal	89.0	True	1.342	False	stim	go	s619	False
157.76	0.85	0.6	2.25	0.0	71.0	stop_signal	89.0	True	0.945	False	stim	go	s619	False
160.012	0.85	0.6	2.25	1.0	89.0	stop_signal	89.0	True	0.921	False	stim	go	s619	False
162.268	0.85	0.6	2.522	1.0	71.0	stop_signal	71.0	True	0.74	False	stim	go	s619	False
164.795	0.85	0.6	3.066	1.0	71.0	stop_signal	71.0	True	0.85	False	stim	stop_failure	s619	False
167.863	0.85	0.55	2.25	1.0	89.0	stop_signal	89.0	True	0.646	False	stim	stop_failure	s619	False
170.116	0.85	0.5	2.386	1.0	71.0	stop_signal	71.0	True	1.502	False	stim	go	s619	False
172.504	0.85	0.5	2.386	1.0	89.0	stop_signal	89.0	True	0.788	False	stim	stop_failure	s619	False
174.892	0.85	0.45	2.522	1.0	89.0	stop_signal	89.0	True	0.897	False	stim	go	s619	False
177.417	0.85	0.45	2.386	1.0	71.0	stop_signal	71.0	True	1.04	False	stim	go	s619	False
179.805	0.85	0.45	2.386	1.0	89.0	stop_signal	89.0	True	1.099	False	stim	go	s619	False
182.193	0.85	0.45	2.794	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
184.991	0.85	0.5	2.386	1.0	71.0	stop_signal	71.0	True	1.262	False	stim	go	s619	False
187.378	0.85	0.5	2.25	1.0	71.0	stop_signal	71.0	True	0.758	False	stim	stop_failure	s619	False
189.63	0.85	0.45	2.522	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
192.156	0.85	0.5	2.386	1.0	89.0	stop_signal	89.0	True	0.739	False	stim	stop_failure	s619	False
194.543	0.85	0.45	2.386	1.0	71.0	stop_signal	71.0	True	1.18	False	stim	go	s619	False
196.935	0.85	0.45	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
199.191	0.85	0.5	2.386	1.0	71.0	stop_signal	71.0	True	1.192	False	stim	go	s619	False
201.58	0.85	0.5	2.25	1.0	89.0	stop_signal	89.0	True	0.762	False	stim	go	s619	False
203.836	0.85	0.5	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
206.092	0.85	0.55	2.25	1.0	71.0	stop_signal	71.0	True	1.121	False	stim	go	s619	False
208.345	0.85	0.55	2.386	1.0	89.0	stop_signal	89.0	True	0.814	False	stim	go	s619	False
210.735	0.85	0.55	2.25	1.0	71.0	stop_signal	71.0	True	0.765	False	stim	stop_failure	s619	False
223.5	0.85	0.5	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
225.753	0.85	0.55	2.386	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s619	False
228.143	0.85	0.6	2.386	1.0	89.0	stop_signal	89.0	True	0.635	False	stim	stop_failure	s619	False
