onset	duration	block_duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_id	trial_type	worker_id	junk
3.009	4.0	5.316	smaller_sooner	discount_fixed	71	31.0	76.0	1.379	20.0	n/a	smaller_sooner	s497	False
8.328	4.0	4.568	smaller_sooner	discount_fixed	71	43.0	19.0	1.927	20.0	n/a	smaller_sooner	s497	False
12.898	4.0	4.636	larger_later	discount_fixed	89	60.0	124.0	2.08	20.0	n/a	larger_later	s497	False
17.536	4.0	4.908	smaller_sooner	discount_fixed	71	27.0	142.0	1.36	20.0	n/a	smaller_sooner	s497	False
22.445	4.0	4.5	smaller_sooner	discount_fixed	71	25.0	70.0	1.993	20.0	n/a	smaller_sooner	s497	False
26.948	4.0	4.976	larger_later	discount_fixed	89	44.0	92.0	1.149	20.0	n/a	larger_later	s497	False
31.926	4.0	4.908	larger_later	discount_fixed	89	41.0	27.0	1.844	20.0	n/a	larger_later	s497	False
36.835	4.0	4.568	larger_later	discount_fixed	89	64.0	89.0	1.529	20.0	n/a	larger_later	s497	False
41.405	4.0	4.5	larger_later	discount_fixed	89	78.0	108.0	1.241	20.0	n/a	larger_later	s497	False
45.907	4.0	6.2	larger_later	discount_fixed	89	80.0	145.0	1.61	20.0	n/a	larger_later	s497	False
52.109	4.0	4.704	smaller_sooner	discount_fixed	71	41.0	174.0	2.067	20.0	n/a	smaller_sooner	s497	False
56.815	4.0	5.044	smaller_sooner	discount_fixed	71	42.0	145.0	1.315	20.0	n/a	smaller_sooner	s497	False
61.862	4.0	5.044	smaller_sooner	discount_fixed	71	36.0	114.0	1.144	20.0	n/a	smaller_sooner	s497	False
66.908	4.0	5.18	larger_later	discount_fixed	89	58.0	55.0	1.609	20.0	n/a	larger_later	s497	False
72.09	4.0	4.976	larger_later	discount_fixed	89	81.0	58.0	2.16	20.0	n/a	larger_later	s497	False
77.069	4.0	4.772	smaller_sooner	discount_fixed	71	32.0	111.0	2.672	20.0	n/a	smaller_sooner	s497	False
81.843	4.0	4.772	smaller_sooner	discount_fixed	71	25.0	141.0	1.564	20.0	n/a	smaller_sooner	s497	False
86.617	4.0	5.18	larger_later	discount_fixed	89	67.0	23.0	1.741	20.0	n/a	larger_later	s497	False
91.8	4.0	5.18	larger_later	discount_fixed	89	77.0	161.0	1.664	20.0	n/a	larger_later	s497	False
96.982	4.0	5.248	larger_later	discount_fixed	89	55.0	163.0	2.326	20.0	n/a	larger_later	s497	False
102.232	4.0	4.568	smaller_sooner	discount_fixed	71	40.0	159.0	3.18	20.0	n/a	smaller_sooner	s497	False
106.802	4.0	4.5	larger_later	discount_fixed	89	76.0	161.0	1.248	20.0	n/a	larger_later	s497	False
111.305	4.0	4.908	smaller_sooner	discount_fixed	71	48.0	128.0	1.928	20.0	n/a	smaller_sooner	s497	False
116.215	4.0	4.568	smaller_sooner	discount_fixed	71	39.0	95.0	2.901	20.0	n/a	smaller_sooner	s497	False
120.784	4.0	6.2	larger_later	discount_fixed	89	83.0	105.0	1.097	20.0	n/a	larger_later	s497	False
126.986	4.0	4.908	larger_later	discount_fixed	89	67.0	41.0	1.257	20.0	n/a	larger_later	s497	False
131.896	4.0	5.248	larger_later	discount_fixed	89	56.0	172.0	1.489	20.0	n/a	larger_later	s497	False
137.146	4.0	5.044	smaller_sooner	discount_fixed	71	28.0	123.0	1.08	20.0	n/a	smaller_sooner	s497	False
142.192	4.0	4.636	larger_later	discount_fixed	89	50.0	129.0	1.213	20.0	n/a	larger_later	s497	False
146.831	4.0	4.704	smaller_sooner	discount_fixed	71	23.0	61.0	2.107	20.0	n/a	smaller_sooner	s497	False
151.537	4.0	4.636	larger_later	discount_fixed	89	79.0	92.0	1.626	20.0	n/a	larger_later	s497	False
156.175	4.0	4.568	larger_later	discount_fixed	89	61.0	141.0	2.073	20.0	n/a	larger_later	s497	False
160.746	4.0	4.568	larger_later	discount_fixed	89	43.0	38.0	2.22	20.0	n/a	larger_later	s497	False
165.316	4.0	4.908	larger_later	discount_fixed	89	66.0	145.0	1.299	20.0	n/a	larger_later	s497	False
170.227	4.0	4.84	smaller_sooner	discount_fixed	71	30.0	23.0	2.833	20.0	n/a	smaller_sooner	s497	False
175.069	4.0	5.248	smaller_sooner	discount_fixed	71	32.0	57.0	3.558	20.0	n/a	smaller_sooner	s497	False
180.319	4.0	4.772	smaller_sooner	discount_fixed	71	27.0	91.0	1.339	20.0	n/a	smaller_sooner	s497	False
185.094	4.0	5.996	larger_later	discount_fixed	89	43.0	120.0	1.195	20.0	n/a	larger_later	s497	False
191.092	4.0	5.588	larger_later	discount_fixed	89	75.0	60.0	1.002	20.0	n/a	larger_later	s497	False
196.682	4.0	4.568	smaller_sooner	discount_fixed	71	34.0	176.0	3.371	20.0	n/a	smaller_sooner	s497	False
201.253	4.0	5.112	smaller_sooner	discount_fixed	71	24.0	38.0	1.089	20.0	n/a	smaller_sooner	s497	False
206.367	4.0	5.656	larger_later	discount_fixed	89	82.0	74.0	1.589	20.0	n/a	larger_later	s497	False
212.026	4.0	4.568	larger_later	discount_fixed	89	58.0	53.0	1.022	20.0	n/a	larger_later	s497	False
