onset	duration	block_duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_id	trial_type	worker_id	junk
3.014	4.0	4.568	smaller_sooner	discount_fixed	71	74.0	121.0	3.67	20.0	n/a	smaller_sooner	s601	False
7.583	4.0	4.772	smaller_sooner	discount_fixed	71	45.0	107.0	4.232	20.0	n/a	smaller_sooner	s601	False
12.359	4.0	4.636	larger_later	discount_fixed	89	77.0	24.0	1.6	20.0	n/a	larger_later	s601	False
16.998	4.0	4.568	smaller_sooner	discount_fixed	71	39.0	161.0	1.254	20.0	n/a	smaller_sooner	s601	False
21.57	4.0	5.452	smaller_sooner	discount_fixed	71	62.0	180.0	0.935	20.0	n/a	smaller_sooner	s601	False
27.025	4.0	5.384	smaller_sooner	discount_fixed	71	24.0	139.0	1.311	20.0	n/a	smaller_sooner	s601	False
32.411	4.0	4.568	smaller_sooner	discount_fixed	71	58.0	72.0	2.081	20.0	n/a	smaller_sooner	s601	False
36.981	4.0	6.268	smaller_sooner	discount_fixed	71	56.0	93.0	1.117	20.0	n/a	smaller_sooner	s601	False
43.251	4.0	5.52	larger_later	discount_fixed	89	45.0	26.0	1.24	20.0	n/a	larger_later	s601	False
48.775	4.0	4.568	smaller_sooner	discount_fixed	71	23.0	42.0	1.824	20.0	n/a	smaller_sooner	s601	False
53.347	4.0	4.636	smaller_sooner	discount_fixed	71	50.0	41.0	2.922	20.0	n/a	smaller_sooner	s601	False
57.987	4.0	4.636	smaller_sooner	discount_fixed	71	25.0	176.0	1.209	20.0	n/a	smaller_sooner	s601	False
62.625	4.0	5.112	larger_later	discount_fixed	89	54.0	22.0	1.647	20.0	n/a	larger_later	s601	False
67.739	4.0	5.316	smaller_sooner	discount_fixed	71	29.0	44.0	1.474	20.0	n/a	smaller_sooner	s601	False
73.059	4.0	4.568	smaller_sooner	discount_fixed	71	24.0	89.0	1.06	20.0	n/a	smaller_sooner	s601	False
77.629	4.0	4.568	smaller_sooner	discount_fixed	71	23.0	77.0	1.279	20.0	n/a	smaller_sooner	s601	False
82.202	4.0	4.568	smaller_sooner	discount_fixed	71	27.0	130.0	0.916	20.0	n/a	smaller_sooner	s601	False
86.776	4.0	4.84	smaller_sooner	discount_fixed	71	23.0	134.0	0.709	20.0	n/a	smaller_sooner	s601	False
91.62	4.0	4.5	smaller_sooner	discount_fixed	71	55.0	107.0	1.55	20.0	n/a	smaller_sooner	s601	False
96.121	4.0	5.656	smaller_sooner	discount_fixed	71	44.0	143.0	1.008	20.0	n/a	smaller_sooner	s601	False
101.78	4.0	4.908	smaller_sooner	discount_fixed	71	23.0	110.0	1.015	20.0	n/a	smaller_sooner	s601	False
106.693	4.0	4.636	smaller_sooner	discount_fixed	71	65.0	156.0	1.715	20.0	n/a	smaller_sooner	s601	False
111.33	4.0	4.5	smaller_sooner	discount_fixed	71	22.0	27.0	2.022	20.0	n/a	smaller_sooner	s601	False
115.831	4.0	4.5	smaller_sooner	discount_fixed	71	50.0	59.0	2.34	20.0	n/a	smaller_sooner	s601	False
120.334	4.0	5.112	smaller_sooner	discount_fixed	71	85.0	129.0	2.577	20.0	n/a	smaller_sooner	s601	False
125.449	4.0	6.132	smaller_sooner	discount_fixed	71	66.0	58.0	1.818	20.0	n/a	smaller_sooner	s601	False
131.583	4.0	4.84	smaller_sooner	discount_fixed	71	49.0	172.0	1.111	20.0	n/a	smaller_sooner	s601	False
136.426	4.0	4.568	larger_later	discount_fixed	89	73.0	44.0	2.016	20.0	n/a	larger_later	s601	False
140.999	4.0	4.704	smaller_sooner	discount_fixed	71	58.0	73.0	3.125	20.0	n/a	smaller_sooner	s601	False
145.704	4.0	5.86	smaller_sooner	discount_fixed	71	71.0	76.0	1.787	20.0	n/a	smaller_sooner	s601	False
151.569	4.0	4.636	smaller_sooner	discount_fixed	71	67.0	74.0	2.017	20.0	n/a	smaller_sooner	s601	False
156.206	4.0	5.316	smaller_sooner	discount_fixed	71	29.0	58.0	2.064	20.0	n/a	smaller_sooner	s601	False
161.528	4.0	4.976	smaller_sooner	discount_fixed	71	39.0	104.0	0.991	20.0	n/a	smaller_sooner	s601	False
166.508	4.0	4.568	smaller_sooner	discount_fixed	71	33.0	103.0	1.358	20.0	n/a	smaller_sooner	s601	False
171.08	4.0	5.52	smaller_sooner	discount_fixed	71	33.0	78.0	1.167	20.0	n/a	smaller_sooner	s601	False
176.601	4.0	5.588	larger_later	discount_fixed	89	74.0	52.0	1.35	20.0	n/a	larger_later	s601	False
182.195	4.0	5.792	smaller_sooner	discount_fixed	71	28.0	132.0	0.9	20.0	n/a	smaller_sooner	s601	False
187.989	4.0	4.568	smaller_sooner	discount_fixed	71	28.0	59.0	1.342	20.0	n/a	smaller_sooner	s601	False
192.56	4.0	5.112	smaller_sooner	discount_fixed	71	28.0	163.0	1.152	20.0	n/a	smaller_sooner	s601	False
197.674	4.0	4.5	smaller_sooner	discount_fixed	71	32.0	74.0	0.725	20.0	n/a	smaller_sooner	s601	False
202.177	4.0	4.84	smaller_sooner	discount_fixed	71	57.0	89.0	1.478	20.0	n/a	smaller_sooner	s601	False
207.019	4.0	4.568	smaller_sooner	discount_fixed	71	70.0	108.0	1.051	20.0	n/a	smaller_sooner	s601	False
211.59	4.0	5.384	smaller_sooner	discount_fixed	71	72.0	95.0	1.135	20.0	n/a	smaller_sooner	s601	False
216.981	4.0	5.044	larger_later	discount_fixed	89	30.0	36.0	2.582	20.0	n/a	larger_later	s601	False
222.03	4.0	4.704	smaller_sooner	discount_fixed	71	41.0	129.0	1.155	20.0	n/a	smaller_sooner	s601	False
226.739	4.0	4.908	smaller_sooner	discount_fixed	71	78.0	129.0	0.797	20.0	n/a	smaller_sooner	s601	False
231.65	4.0	4.908	smaller_sooner	discount_fixed	71	71.0	88.0	2.004	20.0	n/a	smaller_sooner	s601	False
236.559	4.0	4.84	smaller_sooner	discount_fixed	71	65.0	159.0	1.03	20.0	n/a	smaller_sooner	s601	False
241.404	4.0	5.112	smaller_sooner	discount_fixed	71	24.0	125.0	1.088	20.0	n/a	smaller_sooner	s601	False
246.519	4.0	5.112	larger_later	discount_fixed	89	58.0	36.0	1.387	20.0	n/a	larger_later	s601	False
251.637	4.0	4.704	larger_later	discount_fixed	89	63.0	37.0	1.224	20.0	n/a	larger_later	s601	False
256.343	4.0	4.84	larger_later	discount_fixed	89	75.0	41.0	2.344	20.0	n/a	larger_later	s601	False
261.186	4.0	4.84	smaller_sooner	discount_fixed	71	45.0	72.0	2.274	20.0	n/a	smaller_sooner	s601	False
266.031	4.0	6.88	smaller_sooner	discount_fixed	71	25.0	74.0	1.063	20.0	n/a	smaller_sooner	s601	False
272.915	4.0	4.568	smaller_sooner	discount_fixed	71	65.0	137.0	1.328	20.0	n/a	smaller_sooner	s601	False
277.484	4.0	4.772	smaller_sooner	discount_fixed	71	49.0	140.0	1.826	20.0	n/a	smaller_sooner	s601	False
282.259	4.0	7.016	smaller_sooner	discount_fixed	71	67.0	103.0	0.757	20.0	n/a	smaller_sooner	s601	False
289.28	4.0	4.704	smaller_sooner	discount_fixed	71	69.0	172.0	0.99	20.0	n/a	smaller_sooner	s601	False
293.988	4.0	5.18	smaller_sooner	discount_fixed	71	66.0	71.0	1.562	20.0	n/a	smaller_sooner	s601	False
299.17	4.0	5.044	smaller_sooner	discount_fixed	71	71.0	176.0	0.801	20.0	n/a	smaller_sooner	s601	False
304.215	4.0	5.316	smaller_sooner	discount_fixed	71	31.0	76.0	1.461	20.0	n/a	smaller_sooner	s601	False
318.041	4.0	4.568	larger_later	discount_fixed	89	43.0	19.0	2.044	20.0	n/a	larger_later	s601	False
322.613	4.0	4.636	smaller_sooner	discount_fixed	71	60.0	124.0	1.214	20.0	n/a	smaller_sooner	s601	False
327.251	4.0	4.908	smaller_sooner	discount_fixed	71	27.0	142.0	0.976	20.0	n/a	smaller_sooner	s601	False
332.162	4.0	4.5	smaller_sooner	discount_fixed	71	25.0	70.0	1.007	20.0	n/a	smaller_sooner	s601	False
336.664	4.0	4.976	smaller_sooner	discount_fixed	71	44.0	92.0	1.02	20.0	n/a	smaller_sooner	s601	False
341.643	4.0	4.908	larger_later	discount_fixed	89	41.0	27.0	2.03	20.0	n/a	larger_later	s601	False
346.553	4.0	4.568	smaller_sooner	discount_fixed	71	64.0	89.0	1.583	20.0	n/a	smaller_sooner	s601	False
351.124	4.0	4.5	smaller_sooner	discount_fixed	71	78.0	108.0	1.928	20.0	n/a	smaller_sooner	s601	False
355.625	4.0	6.2	smaller_sooner	discount_fixed	71	80.0	145.0	1.047	20.0	n/a	smaller_sooner	s601	False
361.826	4.0	4.704	smaller_sooner	discount_fixed	71	41.0	174.0	0.98	20.0	n/a	smaller_sooner	s601	False
366.532	4.0	5.044	smaller_sooner	discount_fixed	71	42.0	145.0	1.167	20.0	n/a	smaller_sooner	s601	False
371.577	4.0	5.044	smaller_sooner	discount_fixed	71	36.0	114.0	1.195	20.0	n/a	smaller_sooner	s601	False
376.626	4.0	5.18	smaller_sooner	discount_fixed	71	58.0	55.0	1.714	20.0	n/a	smaller_sooner	s601	False
381.811	4.0	4.976	larger_later	discount_fixed	89	81.0	58.0	1.4	20.0	n/a	larger_later	s601	False
386.788	4.0	4.772	smaller_sooner	discount_fixed	71	32.0	111.0	1.165	20.0	n/a	smaller_sooner	s601	False
391.562	4.0	4.772	smaller_sooner	discount_fixed	71	25.0	141.0	0.967	20.0	n/a	smaller_sooner	s601	False
396.338	4.0	5.18	larger_later	discount_fixed	89	67.0	23.0	1.807	20.0	n/a	larger_later	s601	False
401.522	4.0	5.18	smaller_sooner	discount_fixed	71	77.0	161.0	0.928	20.0	n/a	smaller_sooner	s601	False
406.703	4.0	5.248	smaller_sooner	discount_fixed	71	55.0	163.0	0.751	20.0	n/a	smaller_sooner	s601	False
411.953	4.0	4.568	smaller_sooner	discount_fixed	71	40.0	159.0	0.947	20.0	n/a	smaller_sooner	s601	False
416.523	4.0	4.5	smaller_sooner	discount_fixed	71	76.0	161.0	1.047	20.0	n/a	smaller_sooner	s601	False
421.027	4.0	4.908	smaller_sooner	discount_fixed	71	48.0	128.0	0.809	20.0	n/a	smaller_sooner	s601	False
425.936	4.0	4.568	smaller_sooner	discount_fixed	71	39.0	95.0	1.431	20.0	n/a	smaller_sooner	s601	False
430.509	4.0	6.2	smaller_sooner	discount_fixed	71	83.0	105.0	0.998	20.0	n/a	smaller_sooner	s601	False
436.713	4.0	4.908	larger_later	discount_fixed	89	67.0	41.0	1.118	20.0	n/a	larger_later	s601	False
441.624	4.0	5.248	smaller_sooner	discount_fixed	71	56.0	172.0	0.79	20.0	n/a	smaller_sooner	s601	False
446.876	4.0	5.044	smaller_sooner	discount_fixed	71	28.0	123.0	0.773	20.0	n/a	smaller_sooner	s601	False
451.924	4.0	4.636	smaller_sooner	discount_fixed	71	50.0	129.0	1.196	20.0	n/a	smaller_sooner	s601	False
456.565	4.0	4.704	smaller_sooner	discount_fixed	71	23.0	61.0	1.486	20.0	n/a	smaller_sooner	s601	False
461.273	4.0	4.636	smaller_sooner	discount_fixed	71	79.0	92.0	1.239	20.0	n/a	smaller_sooner	s601	False
465.912	4.0	4.568	smaller_sooner	discount_fixed	71	61.0	141.0	1.758	20.0	n/a	smaller_sooner	s601	False
470.483	4.0	4.568	larger_later	discount_fixed	89	43.0	38.0	2.052	20.0	n/a	larger_later	s601	False
475.055	4.0	4.908	smaller_sooner	discount_fixed	71	66.0	145.0	0.742	20.0	n/a	smaller_sooner	s601	False
479.964	4.0	4.84	larger_later	discount_fixed	89	30.0	23.0	1.311	20.0	n/a	larger_later	s601	False
484.805	4.0	5.248	smaller_sooner	discount_fixed	71	32.0	57.0	1.56	20.0	n/a	smaller_sooner	s601	False
490.056	4.0	4.772	smaller_sooner	discount_fixed	71	27.0	91.0	0.791	20.0	n/a	smaller_sooner	s601	False
494.832	4.0	5.996	smaller_sooner	discount_fixed	71	43.0	120.0	0.864	20.0	n/a	smaller_sooner	s601	False
500.829	4.0	5.588	smaller_sooner	discount_fixed	71	75.0	60.0	1.764	20.0	n/a	smaller_sooner	s601	False
506.42	4.0	4.568	smaller_sooner	discount_fixed	71	34.0	176.0	1.057	20.0	n/a	smaller_sooner	s601	False
510.991	4.0	5.112	smaller_sooner	discount_fixed	71	24.0	38.0	1.726	20.0	n/a	smaller_sooner	s601	False
516.106	4.0	5.656	smaller_sooner	discount_fixed	71	82.0	74.0	1.362	20.0	n/a	smaller_sooner	s601	False
521.764	4.0	4.568	smaller_sooner	discount_fixed	71	58.0	53.0	1.357	20.0	n/a	smaller_sooner	s601	False
526.334	4.0	4.772	larger_later	discount_fixed	89	54.0	23.0	1.27	20.0	n/a	larger_later	s601	False
531.11	4.0	5.044	smaller_sooner	discount_fixed	71	41.0	55.0	1.563	20.0	n/a	smaller_sooner	s601	False
