onset	duration	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_id	trial_type	worker_id	junk
3.515	1.5	2.272	congruent	1.0	89.0	stroop	89	0.573	red	red	stim	congruent	s628	False
5.789	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.681	red	blue	stim	incongruent	s628	False
7.79	1.5	2.408	congruent	1.0	71.0	stroop	71	0.654	blue	blue	stim	congruent	s628	False
10.202	1.5	2.0	congruent	1.0	71.0	stroop	71	0.574	blue	blue	stim	congruent	s628	False
12.206	1.5	2.136	congruent	1.0	89.0	stroop	89	0.579	red	red	stim	congruent	s628	False
14.343	1.5	2.0	congruent	1.0	71.0	stroop	71	0.524	blue	blue	stim	congruent	s628	False
16.347	1.5	2.0	congruent	1.0	82.0	stroop	82	0.486	green	green	stim	congruent	s628	False
18.349	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.579	red	blue	stim	incongruent	s628	False
20.352	1.5	2.272	congruent	1.0	82.0	stroop	82	0.627	green	green	stim	congruent	s628	False
22.627	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.674	blue	green	stim	incongruent	s628	False
24.63	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.659	blue	red	stim	incongruent	s628	False
26.905	1.5	2.272	incongruent	1.0	89.0	stroop	89	0.679	red	green	stim	incongruent	s628	False
29.18	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.485	red	green	stim	incongruent	s628	False
31.181	1.5	2.68	congruent	1.0	71.0	stroop	71	0.521	blue	blue	stim	congruent	s628	False
33.866	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.628	green	red	stim	incongruent	s628	False
35.867	1.5	2.272	congruent	1.0	82.0	stroop	82	0.552	green	green	stim	congruent	s628	False
38.14	1.5	2.0	congruent	1.0	71.0	stroop	71	0.621	blue	blue	stim	congruent	s628	False
40.144	1.5	2.0	congruent	1.0	89.0	stroop	89	0.444	red	red	stim	congruent	s628	False
42.147	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.617	blue	red	stim	incongruent	s628	False
44.424	1.5	2.136	congruent	1.0	71.0	stroop	71	0.535	blue	blue	stim	congruent	s628	False
46.565	1.5	2.544	congruent	1.0	89.0	stroop	89	0.462	red	red	stim	congruent	s628	False
49.11	1.5	2.408	incongruent	1.0	71.0	stroop	71	0.559	blue	green	stim	incongruent	s628	False
51.523	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.63	green	blue	stim	incongruent	s628	False
53.528	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.642	red	blue	stim	incongruent	s628	False
55.531	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.591	red	green	stim	incongruent	s628	False
57.535	1.5	2.544	congruent	1.0	82.0	stroop	82	0.554	green	green	stim	congruent	s628	False
60.084	1.5	2.136	congruent	1.0	89.0	stroop	89	0.467	red	red	stim	congruent	s628	False
62.223	1.5	2.0	congruent	1.0	89.0	stroop	89	0.445	red	red	stim	congruent	s628	False
64.225	1.5	2.0	congruent	1.0	89.0	stroop	89	0.571	red	red	stim	congruent	s628	False
66.228	1.5	2.272	congruent	1.0	89.0	stroop	89	0.477	red	red	stim	congruent	s628	False
68.503	1.5	2.0	incongruent	1.0	71.0	stroop	71	1.181	blue	green	stim	incongruent	s628	False
70.506	1.5	2.0	congruent	1.0	82.0	stroop	82	0.56	green	green	stim	congruent	s628	False
72.511	1.5	2.136	incongruent	1.0	71.0	stroop	71	0.686	blue	green	stim	incongruent	s628	False
74.65	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.701	green	red	stim	incongruent	s628	False
76.653	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.592	blue	red	stim	incongruent	s628	False
78.926	1.5	2.136	congruent	1.0	71.0	stroop	71	0.587	blue	blue	stim	congruent	s628	False
81.068	1.5	2.408	incongruent	1.0	89.0	stroop	89	0.387	red	green	stim	incongruent	s628	False
83.478	1.5	2.0	congruent	1.0	89.0	stroop	89	0.559	red	red	stim	congruent	s628	False
85.48	1.5	2.0	congruent	1.0	82.0	stroop	82	0.589	green	green	stim	congruent	s628	False
87.485	1.5	2.816	incongruent	1.0	71.0	stroop	71	0.797	blue	red	stim	incongruent	s628	False
90.303	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.61	green	blue	stim	incongruent	s628	False
92.306	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.725	green	red	stim	incongruent	s628	False
94.312	1.5	2.136	congruent	1.0	89.0	stroop	89	0.54	red	red	stim	congruent	s628	False
96.452	1.5	2.0	congruent	1.0	82.0	stroop	82	0.533	green	green	stim	congruent	s628	False
98.457	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.828	green	blue	stim	incongruent	s628	False
100.461	1.5	2.0	congruent	1.0	82.0	stroop	82	0.463	green	green	stim	congruent	s628	False
102.464	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.444	green	red	stim	incongruent	s628	False
104.466	1.5	2.0	congruent	1.0	71.0	stroop	71	0.553	blue	blue	stim	congruent	s628	False
106.468	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.458	blue	red	stim	incongruent	s628	False
108.472	1.5	2.0	congruent	1.0	71.0	stroop	71	0.447	blue	blue	stim	congruent	s628	False
110.474	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.614	blue	red	stim	incongruent	s628	False
112.751	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.546	green	blue	stim	incongruent	s628	False
114.754	1.5	2.136	congruent	1.0	82.0	stroop	82	0.467	green	green	stim	congruent	s628	False
116.893	1.5	2.0	congruent	1.0	71.0	stroop	71	0.466	blue	blue	stim	congruent	s628	False
118.899	1.5	2.136	congruent	1.0	82.0	stroop	82	0.508	green	green	stim	congruent	s628	False
121.037	1.5	2.0	congruent	1.0	71.0	stroop	71	0.628	blue	blue	stim	congruent	s628	False
123.039	1.5	2.0	congruent	1.0	82.0	stroop	82	0.417	green	green	stim	congruent	s628	False
125.042	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.78	red	green	stim	incongruent	s628	False
127.045	1.5	2.272	incongruent	1.0	82.0	stroop	82	0.849	green	red	stim	incongruent	s628	False
129.32	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.58	green	red	stim	incongruent	s628	False
131.325	1.5	2.136	incongruent	1.0	89.0	stroop	89	0.591	red	blue	stim	incongruent	s628	False
133.463	1.5	2.408	congruent	1.0	89.0	stroop	89	0.485	red	red	stim	congruent	s628	False
135.873	1.5	2.272	incongruent	1.0	82.0	stroop	82	0.593	green	blue	stim	incongruent	s628	False
138.147	1.5	2.68	congruent	1.0	82.0	stroop	82	0.431	green	green	stim	congruent	s628	False
140.829	1.5	2.0	congruent	1.0	89.0	stroop	89	0.593	red	red	stim	congruent	s628	False
142.831	1.5	2.408	congruent	1.0	82.0	stroop	82	0.502	green	green	stim	congruent	s628	False
145.243	1.5	2.136	congruent	1.0	89.0	stroop	89	0.504	red	red	stim	congruent	s628	False
147.383	1.5	2.68	incongruent	1.0	71.0	stroop	71	0.807	blue	green	stim	incongruent	s628	False
150.064	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.688	blue	green	stim	incongruent	s628	False
152.069	1.5	2.136	incongruent	1.0	82.0	stroop	82	0.565	green	blue	stim	incongruent	s628	False
154.209	1.5	2.952	congruent	1.0	82.0	stroop	82	0.582	green	green	stim	congruent	s628	False
157.162	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.704	red	blue	stim	incongruent	s628	False
159.167	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.649	blue	red	stim	incongruent	s628	False
161.444	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.502	blue	green	stim	incongruent	s628	False
163.448	1.5	2.0	congruent	1.0	89.0	stroop	89	0.611	red	red	stim	congruent	s628	False
165.451	1.5	2.0	congruent	1.0	71.0	stroop	71	0.605	blue	blue	stim	congruent	s628	False
167.453	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.683	red	blue	stim	incongruent	s628	False
169.459	1.5	2.136	congruent	1.0	89.0	stroop	89	0.684	red	red	stim	congruent	s628	False
171.597	1.5	2.0	congruent	1.0	71.0	stroop	71	0.574	blue	blue	stim	congruent	s628	False
173.599	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.6	red	green	stim	incongruent	s628	False
175.601	1.5	2.136	congruent	1.0	71.0	stroop	71	0.597	blue	blue	stim	congruent	s628	False
