onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
4.429	1.0	5.761	0.9	2.272	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.432	blue	9.0	cue_stay	color	stay	stim	poldrack-single-stim	s616	1	False
7.61	1.0	9.332	0.9	2.136	True	71.0	High-Low	n/a	twobytwo	71.0	0.822	blue	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s616	0	False
10.659	1.0	12.001	0.9	2.0	True	89.0	Magnitude	switch	twobytwo	89.0	0.442	orange	1.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s616	0	False
12.764	1.0	14.295	0.1	2.0	True	71.0	Orange-Blue	n/a	twobytwo	71.0	1.431	blue	7.0	task_switch	color	switch	stim	poldrack-single-stim	s616	0	False
15.668	1.0	17.055	0.9	2.136	True	89.0	High-Low	n/a	twobytwo	89.0	0.487	orange	3.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s616	0	False
18.709	1.0	20.047	0.9	2.0	True	71.0	Color	n/a	twobytwo	71.0	0.438	blue	9.0	task_switch	color	switch	stim	poldrack-single-stim	s616	0	False
21.615	1.0	23.013	0.9	2.136	True	71.0	Magnitude	n/a	twobytwo	71.0	0.498	orange	7.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s616	0	False
23.855	1.0	24.675	0.1	2.408	True	89.0	Magnitude	stay	twobytwo	89.0	0.72	orange	2.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s616	0	False
27.167	1.0	28.747	0.9	2.136	True	71.0	Color	n/a	twobytwo	71.0	0.68	blue	4.0	task_switch	color	switch	stim	poldrack-single-stim	s616	0	False
30.214	1.0	32.555	0.9	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	1.441	orange	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s616	0	False
33.119	1.0	35.094	0.9	2.136	True	89.0	Color	n/a	twobytwo	89.0	1.075	orange	4.0	task_switch	color	switch	stim	poldrack-single-stim	s616	0	False
35.361	1.0	36.061	0.1	2.272	True	71.0	Color	stay	twobytwo	71.0	0.6	blue	3.0	cue_stay	color	stay	stim	poldrack-single-stim	s616	0	False
38.54	1.0	40.215	0.9	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	0.775	orange	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s616	0	False
41.45	1.0	42.952	0.9	2.408	True	89.0	Color	n/a	twobytwo	89.0	0.602	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s616	0	False
43.965	1.0	44.972	0.1	2.0	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.907	blue	6.0	cue_switch	color	stay	stim	poldrack-single-stim	s616	0	False
46.074	1.0	47.061	0.1	2.136	True	71.0	Magnitude	n/a	twobytwo	71.0	0.887	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s616	0	False
49.119	1.0	50.435	0.9	2.408	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.416	orange	6.0	task_switch	color	switch	stim	poldrack-single-stim	s616	0	False
52.433	1.0	53.798	0.9	2.136	True	71.0	Magnitude	n/a	twobytwo	71.0	0.465	blue	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s616	0	False
54.676	1.0	56.086	0.1	2.408	True	89.0	Orange-Blue	n/a	twobytwo	89.0	1.31	orange	9.0	task_switch	color	switch	stim	poldrack-single-stim	s616	0	False
57.194	1.0	58.163	0.1	2.136	True	71.0	Magnitude	n/a	twobytwo	71.0	0.869	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s616	0	False
59.436	1.0	60.348	0.1	2.0	True	89.0	High-Low	switch	twobytwo	89.0	0.812	orange	3.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s616	0	False
62.342	1.0	63.768	0.9	2.272	True	71.0	High-Low	stay	twobytwo	71.0	0.526	blue	9.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s616	0	False
