onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
3.011	14.328	17.339	-0.8922354044042785	draw_card	14.328	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-2.0122106210971253	14.328	n/a	stim	poldrack-single-stim	s650	False	1
17.34	4.546	21.886	-3.625568737737611	draw_card	4.546	columbia_card_task_fmri	12.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	0.2275237315390299	4.546	2.0	stim	poldrack-single-stim	s650	False	0
22.64	1.5	21.889	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
24.21	4.07	28.28	-0.0589020710709445	draw_card	4.07	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	0.5957639110045179	4.07	1.0	stim	poldrack-single-stim	s650	False	0
29.032	1.5	28.281	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
30.602	2.695	33.297	1.6077645955957216	draw_card	2.695	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-0.8945228017325597	2.695	n/a	stim	poldrack-single-stim	s650	False	1
33.299	1.663	34.962	-1.2255687377376123	draw_card	1.663	columbia_card_task_fmri	15.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	1.4272011874848405	1.663	n/a	stim	poldrack-single-stim	s650	False	1
34.968	0.788	35.756	-5.475568737737612	draw_card	0.788	columbia_card_task_fmri	15.0	0.75	89.0	-70.0	0.25	6.0	3.0	1.0	4.232608675611502	0.788	n/a	stim	poldrack-single-stim	s650	False	1
35.758	1.866	37.624	-12.558902071070944	end_round	1.866	columbia_card_task_fmri	15.0	0.6666666666666667	71.0	-70.0	0.3333333333333333	6.0	4.0	1.0	7.495249953921586	1.866	3.0	stim	poldrack-single-stim	s650	False	1
38.377	1.5	37.626	n/a	-1.0	2.862	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
40.49	2.383	42.873	2.4410979289290555	draw_card	2.383	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	1.7135032041710616	2.383	n/a	stim	poldrack-single-stim	s650	False	1
42.874	0.777	43.651	-0.625568737737611	draw_card	0.777	columbia_card_task_fmri	17.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	4.226530360334301	0.777	2.0	stim	poldrack-single-stim	s650	False	0
44.404	1.5	43.653	n/a	-1.0	2.726	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
46.383	2.107	48.49	3.774431262262388	draw_card	2.107	columbia_card_task_fmri	24.0	0.75	89.0	-60.0	0.25	8.0	1.0	2.0	3.7996929333634952	2.107	n/a	stim	poldrack-single-stim	s650	False	1
48.491	0.942	49.433	0.7744312622623876	draw_card	0.942	columbia_card_task_fmri	24.0	0.7142857142857143	89.0	-60.0	0.2857142857142857	8.0	2.0	2.0	5.373615987202385	0.942	n/a	stim	poldrack-single-stim	s650	False	1
49.434	0.69	50.124	-3.2255687377376123	draw_card	0.69	columbia_card_task_fmri	24.0	0.6666666666666667	89.0	-60.0	0.3333333333333333	8.0	3.0	2.0	7.023934500925051	0.69	n/a	stim	poldrack-single-stim	s650	False	1
50.126	0.121	50.247	-8.825568737737614	draw_card	0.121	columbia_card_task_fmri	24.0	0.6	89.0	-60.0	0.4	8.0	4.0	2.0	8.577096638252321	0.121	n/a	stim	poldrack-single-stim	s650	False	1
50.249	2.264	52.513	-17.225568737737614	end_round	2.264	columbia_card_task_fmri	24.0	0.5	71.0	-60.0	0.5	8.0	5.0	2.0	9.42552176980243	2.264	4.0	stim	poldrack-single-stim	s650	False	1
53.266	1.5	52.515	n/a	-1.0	2.25	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
54.768	2.598	57.366	3.774431262262388	draw_card	2.598	columbia_card_task_fmri	29.0	0.75	89.0	-75.0	0.25	8.0	1.0	2.0	12.458361963307098	2.598	1.0	stim	poldrack-single-stim	s650	False	0
58.119	1.5	57.368	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
59.689	4.921	64.61	-0.4477909599598321	draw_card	4.921	columbia_card_task_fmri	17.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	9.0	1.0	2.0	1.5178339330805386	4.921	1.0	stim	poldrack-single-stim	s650	False	0
65.363	1.5	64.612	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
67.07	7.693	74.763	3.8744312622623873	draw_card	7.693	columbia_card_task_fmri	14.0	0.9	89.0	-95.0	0.1	10.0	1.0	1.0	0.1275516783381434	7.693	n/a	stim	poldrack-single-stim	s650	False	1
74.765	2.427	77.192	2.663320151151275	draw_card	2.427	columbia_card_task_fmri	14.0	0.8888888888888888	89.0	-95.0	0.1111111111111111	10.0	2.0	1.0	1.6825306335699397	2.427	2.0	stim	poldrack-single-stim	s650	False	0
77.946	1.5	77.195	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
79.719	1.046	80.765	-0.2255687377376124	draw_card	1.046	columbia_card_task_fmri	15.0	0.8	89.0	-65.0	0.2	10.0	1.0	2.0	-0.5722478054926299	1.046	n/a	stim	poldrack-single-stim	s650	False	1
80.768	1.526	82.294	-2.003346515515389	draw_card	1.526	columbia_card_task_fmri	15.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	10.0	2.0	2.0	0.6865743342612021	1.526	n/a	stim	poldrack-single-stim	s650	False	1
82.295	0.918	83.213	-4.225568737737612	draw_card	0.918	columbia_card_task_fmri	15.0	0.75	89.0	-65.0	0.25	10.0	3.0	2.0	2.068054195522663	0.918	n/a	stim	poldrack-single-stim	s650	False	1
83.215	2.396	85.611	-7.082711594880466	draw_card	2.396	columbia_card_task_fmri	15.0	0.7142857142857143	89.0	-65.0	0.2857142857142857	10.0	4.0	2.0	3.56699516765206	2.396	n/a	stim	poldrack-single-stim	s650	False	1
85.614	2.43	88.044	-10.892235404404277	end_round	2.43	columbia_card_task_fmri	15.0	0.6666666666666667	71.0	-65.0	0.3333333333333333	10.0	5.0	2.0	5.13869494909752	2.43	4.0	stim	poldrack-single-stim	s650	False	1
88.797	1.5	88.046	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
90.367	1.885	92.252	1.374431262262389	draw_card	1.885	columbia_card_task_fmri	17.0	0.8	89.0	-65.0	0.2	10.0	1.0	2.0	0.2275237315390299	1.885	n/a	stim	poldrack-single-stim	s650	False	1
92.254	2.637	94.891	-0.4477909599598321	draw_card	2.637	columbia_card_task_fmri	17.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	10.0	2.0	2.0	1.5178339330805386	2.637	2.0	stim	poldrack-single-stim	s650	False	0
95.644	1.5	94.893	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
97.419	1.532	98.951	-0.0589020710709445	draw_card	1.532	columbia_card_task_fmri	13.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	12.0	1.0	2.0	-1.6396507938178075	1.532	1.0	stim	poldrack-single-stim	s650	False	0
99.704	1.5	98.953	n/a	-1.0	2.998	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s650	False	0
101.955	4.457	106.412	-0.0589020710709445	draw_card	4.457	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-80.0	0.1666666666666666	12.0	1.0	2.0	2.8312611027916645	4.457	n/a	stim	poldrack-single-stim	s650	False	1
