onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
3.614	1.0	4.605	0.1	2.136	False	71.0	Color	switch	twobytwo	89.0	0.891	orange	3.0	cue_switch	color	stay	stim	poldrack-single-stim	s555	1	False
5.856	1.0	6.8	0.1	2.272	True	71.0	High-Low	n/a	twobytwo	71.0	0.844	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s555	0	False
8.233	1.0	9.51	0.1	2.136	True	71.0	Orange-Blue	n/a	twobytwo	71.0	1.177	orange	2.0	task_switch	color	switch	stim	poldrack-single-stim	s555	0	False
10.473	1.0	11.212	0.1	2.272	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.639	blue	1.0	cue_stay	color	stay	stim	poldrack-single-stim	s555	0	False
13.651	1.0	15.027	0.9	2.0	True	71.0	High-Low	n/a	twobytwo	71.0	0.476	blue	7.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s555	0	False
16.555	1.0	17.934	0.9	2.816	True	71.0	High-Low	stay	twobytwo	71.0	0.479	orange	7.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s555	0	False
20.276	1.0	21.662	0.9	2.408	True	71.0	Magnitude	switch	twobytwo	71.0	0.486	orange	7.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s555	0	False
22.788	1.0	23.981	0.1	2.0	True	71.0	Magnitude	stay	twobytwo	71.0	1.093	blue	7.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s555	0	False
24.892	1.0	25.718	0.1	2.544	True	71.0	Magnitude	stay	twobytwo	71.0	0.726	orange	6.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s555	0	False
27.541	1.0	28.448	0.1	2.136	True	71.0	Color	n/a	twobytwo	71.0	0.807	orange	1.0	task_switch	color	switch	stim	poldrack-single-stim	s555	0	False
29.782	1.0	30.617	0.1	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	0.735	blue	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s555	0	False
32.687	1.0	34.059	0.9	2.0	True	89.0	High-Low	stay	twobytwo	89.0	0.472	orange	2.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s555	0	False
