onset	duration	SS_delay	block_duration	correct	correct_response	experiment_exp_id	key_press	passed_check	response_time	stop_response	stopped	trial_id	trial_type	worker_id	junk
3.02	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.544	89.0	False	stim	noncrit_signal	s597	False
5.276	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.816	89.0	False	stim	crit_go	s597	False
7.532	0.85	0.35	2.85	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
10.389	0.85	0.4	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.666	89.0	False	stim	crit_go	s597	False
12.741	0.85	0.4	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	1.004	89.0	False	stim	noncrit_nosignal	s597	False
14.993	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
17.249	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.702	89.0	False	stim	noncrit_nosignal	s597	False
19.502	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.753	89.0	False	stim	crit_go	s597	False
21.854	0.85	0.45	2.65	1.0	89.0	motor_selective_stop_signal	89.0	True	0.731	89.0	False	stim	crit_go	s597	False
24.508	0.85	0.45	2.75	0.0	89.0	motor_selective_stop_signal	71.0	True	1.243	89.0	False	stim	crit_stop_failure	s597	False
27.264	0.85	0.4	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.585	89.0	False	stim	noncrit_nosignal	s597	False
29.516	0.85	0.4	2.75	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
32.268	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.544	89.0	False	stim	noncrit_signal	s597	False
34.522	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.793	89.0	False	stim	crit_go	s597	False
36.878	0.85	0.45	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.694	89.0	False	stim	noncrit_nosignal	s597	False
39.234	0.85	0.45	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.593	89.0	False	stim	noncrit_nosignal	s597	False
41.79	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.647	89.0	False	stim	noncrit_nosignal	s597	False
44.043	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.5	89.0	False	stim	noncrit_signal	s597	False
46.299	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.441	89.0	False	stim	noncrit_nosignal	s597	False
48.554	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.669	89.0	False	stim	crit_go	s597	False
50.91	0.85	0.45	2.65	1.0	89.0	motor_selective_stop_signal	89.0	True	0.635	89.0	False	stim	crit_stop_failure	s597	False
53.562	0.85	0.4	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.696	89.0	False	stim	crit_go	s597	False
55.917	0.85	0.4	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.766	89.0	False	stim	noncrit_signal	s597	False
58.168	0.85	0.4	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.563	89.0	False	stim	noncrit_nosignal	s597	False
60.521	0.85	0.4	2.35	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
62.877	0.85	0.45	2.85	1.0	89.0	motor_selective_stop_signal	89.0	True	0.635	89.0	False	stim	crit_go	s597	False
65.729	0.85	0.45	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.901	89.0	False	stim	crit_go	s597	False
68.185	0.85	0.45	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.598	89.0	False	stim	noncrit_nosignal	s597	False
70.539	0.85	0.45	2.65	1.0	71.0	motor_selective_stop_signal	71.0	True	0.5	89.0	False	stim	noncrit_nosignal	s597	False
73.194	0.85	0.45	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.612	89.0	False	stim	crit_go	s597	False
75.448	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.583	89.0	False	stim	noncrit_signal	s597	False
77.702	0.85	0.45	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.953	89.0	False	stim	crit_go	s597	False
79.954	0.85	0.45	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.472	89.0	False	stim	crit_go	s597	False
82.41	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.688	89.0	False	stim	crit_go	s597	False
84.761	0.85	0.45	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.491	89.0	False	stim	crit_stop_failure	s597	False
87.017	0.85	0.4	2.35	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
89.369	0.85	0.45	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.557	89.0	False	stim	noncrit_signal	s597	False
91.825	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.685	89.0	False	stim	crit_go	s597	False
94.177	0.85	0.45	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.758	89.0	False	stim	crit_go	s597	False
96.431	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.555	89.0	False	stim	noncrit_nosignal	s597	False
