onset	duration	SS_delay	block_duration	correct	correct_response	experiment_exp_id	key_press	passed_check	response_time	stop_response	stopped	trial_id	trial_type	worker_id	junk
98.684	0.85	0.45	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.4	89.0	False	stim	noncrit_signal	s597	False
101.038	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.614	89.0	False	stim	crit_stop_failure	s597	False
103.394	0.85	0.4	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.542	89.0	False	stim	noncrit_nosignal	s597	False
105.746	0.85	0.4	2.95	1.0	89.0	motor_selective_stop_signal	89.0	True	0.724	89.0	False	stim	crit_go	s597	False
108.698	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.597	89.0	False	stim	crit_go	s597	False
110.954	0.85	0.4	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.532	89.0	False	stim	noncrit_nosignal	s597	False
113.31	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.57	89.0	False	stim	crit_go	s597	False
115.565	0.85	0.4	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.77	89.0	False	stim	noncrit_signal	s597	False
118.018	0.85	0.4	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.568	89.0	False	stim	noncrit_signal	s597	False
120.374	0.85	0.4	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.528	89.0	False	stim	noncrit_signal	s597	False
133.446	0.85	0.4	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.627	89.0	False	stim	noncrit_nosignal	s597	False
136.002	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.759	89.0	False	stim	crit_go	s597	False
138.256	0.85	0.4	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.496	89.0	False	stim	noncrit_nosignal	s597	False
140.508	0.85	0.4	2.75	1.0	89.0	motor_selective_stop_signal	89.0	True	0.604	89.0	False	stim	crit_stop_failure	s597	False
143.264	0.85	0.35	2.35	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
145.617	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.613	89.0	False	stim	crit_stop_failure	s597	False
147.871	0.85	0.35	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.6	89.0	False	stim	noncrit_nosignal	s597	False
150.327	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.584	89.0	False	stim	noncrit_nosignal	s597	False
152.583	0.85	0.35	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.854	89.0	False	stim	crit_go	s597	False
154.938	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.6	89.0	False	stim	noncrit_nosignal	s597	False
157.195	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
159.452	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.598	89.0	False	stim	crit_stop_failure	s597	False
161.704	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.83	89.0	False	stim	noncrit_nosignal	s597	False
163.958	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.803	89.0	False	stim	crit_go	s597	False
166.214	0.85	0.35	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.75	89.0	False	stim	noncrit_signal	s597	False
168.567	0.85	0.35	2.55	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
171.122	0.85	0.4	2.95	1.0	71.0	motor_selective_stop_signal	71.0	True	0.566	89.0	False	stim	noncrit_nosignal	s597	False
174.078	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
176.334	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.963	89.0	False	stim	crit_go	s597	False
178.691	0.85	0.45	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.56	89.0	False	stim	noncrit_nosignal	s597	False
181.247	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.627	89.0	False	stim	noncrit_signal	s597	False
183.499	0.85	0.45	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.71	89.0	False	stim	noncrit_signal	s597	False
185.855	0.85	0.45	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.752	89.0	False	stim	noncrit_signal	s597	False
188.41	0.85	0.45	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.564	89.0	False	stim	noncrit_signal	s597	False
190.866	0.85	0.45	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.43	89.0	False	stim	noncrit_nosignal	s597	False
193.222	0.85	0.45	2.65	1.0	71.0	motor_selective_stop_signal	71.0	True	0.487	89.0	False	stim	noncrit_nosignal	s597	False
195.878	0.85	0.45	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.412	89.0	False	stim	noncrit_nosignal	s597	False
198.432	0.85	0.45	2.75	1.0	89.0	motor_selective_stop_signal	89.0	True	0.551	89.0	False	stim	crit_stop_failure	s597	False
201.183	0.85	0.4	2.55	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
203.739	0.85	0.45	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.559	89.0	False	stim	noncrit_signal	s597	False
206.193	0.85	0.45	2.75	1.0	89.0	motor_selective_stop_signal	89.0	True	0.831	89.0	False	stim	crit_go	s597	False
208.945	0.85	0.45	2.55	1.0	89.0	motor_selective_stop_signal	89.0	True	0.874	89.0	False	stim	crit_go	s597	False
211.501	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.494	89.0	False	stim	crit_stop_failure	s597	False
213.855	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.708	89.0	False	stim	crit_go	s597	False
216.111	0.85	0.4	2.65	1.0	89.0	motor_selective_stop_signal	89.0	True	0.787	89.0	False	stim	crit_go	s597	False
218.762	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
221.018	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.755	89.0	False	stim	crit_go	s597	False
223.375	0.85	0.45	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.479	89.0	False	stim	crit_go	s597	False
225.627	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.396	89.0	False	stim	crit_go	s597	False
227.98	0.85	0.45	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.555	89.0	False	stim	noncrit_nosignal	s597	False
230.332	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.682	89.0	False	stim	noncrit_nosignal	s597	False
232.587	0.85	0.45	2.85	1.0	71.0	motor_selective_stop_signal	71.0	True	0.494	89.0	False	stim	noncrit_signal	s597	False
235.441	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.706	89.0	False	stim	crit_go	s597	False
237.794	0.85	0.45	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.478	89.0	False	stim	crit_go	s597	False
240.048	0.85	0.45	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.421	89.0	False	stim	crit_go	s597	False
242.402	0.85	0.45	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.705	89.0	False	stim	noncrit_nosignal	s597	False
244.854	0.85	0.45	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.656	89.0	False	stim	crit_stop_failure	s597	False
247.107	0.85	0.4	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.648	89.0	False	stim	noncrit_signal	s597	False
249.358	0.85	0.4	2.75	0.0	71.0	motor_selective_stop_signal	89.0	True	0.704	89.0	False	stim	noncrit_nosignal	s597	False
252.114	0.85	0.4	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.874	89.0	False	stim	noncrit_signal	s597	False
264.985	0.85	0.4	2.75	1.0	71.0	motor_selective_stop_signal	71.0	True	0.564	89.0	False	stim	noncrit_nosignal	s597	False
267.738	0.85	0.4	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.709	89.0	False	stim	crit_go	s597	False
270.193	0.85	0.4	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.523	89.0	False	stim	noncrit_nosignal	s597	False
272.444	0.85	0.4	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.762	89.0	False	stim	crit_stop_failure	s597	False
274.798	0.85	0.35	2.65	1.0	89.0	motor_selective_stop_signal	89.0	True	0.945	89.0	False	stim	crit_go	s597	False
277.451	0.85	0.35	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.516	89.0	False	stim	crit_stop_failure	s597	False
279.906	0.85	0.3	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.754	89.0	False	stim	crit_go	s597	False
282.162	0.85	0.3	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.838	89.0	False	stim	noncrit_signal	s597	False
284.518	0.85	0.3	2.95	1.0	71.0	motor_selective_stop_signal	71.0	True	0.523	89.0	False	stim	noncrit_signal	s597	False
287.47	0.85	0.3	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.458	89.0	False	stim	noncrit_nosignal	s597	False
289.725	0.85	0.3	2.95	1.0	71.0	motor_selective_stop_signal	71.0	True	0.621	89.0	False	stim	noncrit_nosignal	s597	False
292.677	0.85	0.3	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.673	89.0	False	stim	noncrit_signal	s597	False
295.133	0.85	0.3	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.809	89.0	False	stim	crit_stop_failure	s597	False
297.384	0.85	0.25	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.743	89.0	False	stim	crit_go	s597	False
299.738	0.85	0.25	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	1.268	89.0	False	stim	crit_go	s597	False
302.195	0.85	0.25	2.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
304.45	0.85	0.3	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.667	89.0	False	stim	noncrit_signal	s597	False
306.906	0.85	0.3	2.75	1.0	71.0	motor_selective_stop_signal	71.0	True	0.702	89.0	False	stim	noncrit_nosignal	s597	False
309.659	0.85	0.3	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.699	89.0	False	stim	noncrit_signal	s597	False
311.911	0.85	0.3	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.656	89.0	False	stim	noncrit_nosignal	s597	False
314.264	0.85	0.3	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.833	89.0	False	stim	noncrit_signal	s597	False
316.72	0.85	0.3	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	1.006	89.0	False	stim	crit_go	s597	False
319.073	0.85	0.3	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.695	89.0	False	stim	noncrit_signal	s597	False
321.329	0.85	0.3	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.763	89.0	False	stim	noncrit_nosignal	s597	False
323.885	0.85	0.3	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.531	89.0	False	stim	noncrit_nosignal	s597	False
326.342	0.85	0.3	2.65	1.0	71.0	motor_selective_stop_signal	71.0	True	0.685	89.0	False	stim	noncrit_nosignal	s597	False
328.998	0.85	0.3	2.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
331.252	0.85	0.35	2.65	1.0	71.0	motor_selective_stop_signal	71.0	True	0.547	89.0	False	stim	noncrit_signal	s597	False
333.908	0.85	0.35	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	1.07	89.0	False	stim	crit_go	s597	False
336.259	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.695	89.0	False	stim	noncrit_nosignal	s597	False
338.515	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.477	89.0	False	stim	crit_go	s597	False
340.772	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.509	89.0	False	stim	noncrit_nosignal	s597	False
343.026	0.85	0.35	2.35	0.0	71.0	motor_selective_stop_signal	89.0	True	0.753	89.0	False	stim	noncrit_nosignal	s597	False
345.381	0.85	0.35	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.49	89.0	False	stim	noncrit_signal	s597	False
347.936	0.85	0.35	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.625	89.0	False	stim	crit_go	s597	False
350.287	0.85	0.35	2.45	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
352.738	0.85	0.4	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.71	89.0	False	stim	noncrit_nosignal	s597	False
355.195	0.85	0.4	2.35	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
357.546	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.653	89.0	False	stim	noncrit_signal	s597	False
359.799	0.85	0.45	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.552	89.0	False	stim	noncrit_nosignal	s597	False
362.355	0.85	0.45	2.55	1.0	89.0	motor_selective_stop_signal	89.0	True	0.619	89.0	False	stim	crit_go	s597	False
364.909	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.756	89.0	False	stim	noncrit_signal	s597	False
367.165	0.85	0.45	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.608	89.0	False	stim	noncrit_nosignal	s597	False
369.419	0.85	0.45	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.658	89.0	False	stim	crit_stop_failure	s597	False
371.875	0.85	0.4	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.613	89.0	False	stim	noncrit_nosignal	s597	False
374.228	0.85	0.4	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.689	89.0	False	stim	noncrit_nosignal	s597	False
376.48	0.85	0.4	3.15	1.0	71.0	motor_selective_stop_signal	71.0	True	0.526	89.0	False	stim	noncrit_nosignal	s597	False
379.636	0.85	0.4	2.65	1.0	89.0	motor_selective_stop_signal	89.0	True	0.972	89.0	False	stim	crit_go	s597	False
382.292	0.85	0.4	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	1.221	89.0	False	stim	noncrit_signal	s597	False
384.544	0.85	0.4	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.569	89.0	False	stim	crit_stop_failure	s597	False
397.513	0.85	0.35	2.85	1.0	71.0	motor_selective_stop_signal	71.0	True	0.5	89.0	False	stim	noncrit_signal	s597	False
400.369	0.85	0.35	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.538	89.0	False	stim	noncrit_nosignal	s597	False
402.825	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.504	89.0	False	stim	noncrit_nosignal	s597	False
405.077	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.381	89.0	False	stim	noncrit_nosignal	s597	False
407.33	0.85	0.35	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.442	89.0	False	stim	noncrit_signal	s597	False
409.886	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.674	89.0	False	stim	crit_stop_failure	s597	False
412.142	0.85	0.3	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.908	89.0	False	stim	crit_go	s597	False
414.494	0.85	0.3	2.35	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
416.845	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.528	89.0	False	stim	noncrit_nosignal	s597	False
419.101	0.85	0.35	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.737	89.0	False	stim	noncrit_signal	s597	False
421.458	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.716	89.0	False	stim	crit_go	s597	False
423.712	0.85	0.35	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.653	89.0	False	stim	noncrit_nosignal	s597	False
426.165	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.571	89.0	False	stim	noncrit_nosignal	s597	False
428.418	0.85	0.35	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.69	89.0	False	stim	crit_go	s597	False
430.771	0.85	0.35	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.607	89.0	False	stim	noncrit_signal	s597	False
433.223	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.616	89.0	False	stim	crit_stop_failure	s597	False
435.476	0.85	0.3	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.574	89.0	False	stim	noncrit_nosignal	s597	False
437.732	0.85	0.3	2.85	1.0	89.0	motor_selective_stop_signal	89.0	True	0.787	89.0	False	stim	crit_go	s597	False
440.584	0.85	0.3	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.696	89.0	False	stim	noncrit_nosignal	s597	False
442.84	0.85	0.3	3.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.642	89.0	False	stim	noncrit_nosignal	s597	False
446.292	0.85	0.3	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.618	89.0	False	stim	noncrit_signal	s597	False
448.648	0.85	0.3	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.719	89.0	False	stim	noncrit_signal	s597	False
451.004	0.85	0.3	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.657	89.0	False	stim	crit_go	s597	False
453.359	0.85	0.3	2.45	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
455.811	0.85	0.35	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	1.263	89.0	False	stim	noncrit_signal	s597	False
458.368	0.85	0.35	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.673	89.0	False	stim	crit_go	s597	False
460.724	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.887	89.0	False	stim	crit_stop_failure	s597	False
462.98	0.85	0.3	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.538	89.0	False	stim	noncrit_nosignal	s597	False
465.231	0.85	0.3	3.05	0.0	89.0	motor_selective_stop_signal	71.0	True	0.809	89.0	False	stim	crit_go	s597	False
468.287	0.85	0.3	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.656	89.0	False	stim	noncrit_nosignal	s597	False
470.739	0.85	0.3	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.433	89.0	False	stim	crit_go	s597	False
473.09	0.85	0.3	2.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
475.347	0.85	0.35	3.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
478.603	0.85	0.4	2.95	1.0	89.0	motor_selective_stop_signal	89.0	True	0.702	89.0	False	stim	crit_go	s597	False
481.555	0.85	0.4	2.55	0.0	89.0	motor_selective_stop_signal	71.0	True	1.201	89.0	False	stim	crit_stop_failure	s597	False
484.111	0.85	0.35	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.614	89.0	False	stim	noncrit_nosignal	s597	False
486.465	0.85	0.35	2.55	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
489.021	0.85	0.4	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.713	89.0	False	stim	crit_go	s597	False
491.378	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.513	89.0	False	stim	crit_go	s597	False
493.631	0.85	0.4	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	0.679	89.0	False	stim	noncrit_signal	s597	False
496.085	0.85	0.4	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.693	89.0	False	stim	noncrit_nosignal	s597	False
498.441	0.85	0.4	2.65	1.0	71.0	motor_selective_stop_signal	71.0	True	0.565	89.0	False	stim	noncrit_signal	s597	False
501.095	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.617	89.0	False	stim	crit_go	s597	False
503.349	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
505.601	0.85	0.45	2.45	1.0	71.0	motor_selective_stop_signal	71.0	True	1.502	89.0	False	stim	noncrit_nosignal	s597	False
508.056	0.85	0.45	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.561	89.0	False	stim	crit_go	s597	False
510.313	0.85	0.45	2.55	1.0	89.0	motor_selective_stop_signal	89.0	True	0.625	89.0	False	stim	crit_stop_failure	s597	False
512.869	0.85	0.4	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.599	89.0	False	stim	noncrit_nosignal	s597	False
515.121	0.85	0.4	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.524	89.0	False	stim	noncrit_signal	s597	False
517.472	0.85	0.4	2.25	1.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	89.0	True	stim	crit_stop_success	s597	False
530.243	0.85	0.45	2.55	0.0	89.0	motor_selective_stop_signal	71.0	True	0.658	89.0	False	stim	crit_stop_failure	s597	False
532.795	0.85	0.4	2.55	1.0	89.0	motor_selective_stop_signal	89.0	True	0.917	89.0	False	stim	crit_go	s597	False
535.35	0.85	0.4	2.35	0.0	89.0	motor_selective_stop_signal	71.0	True	0.664	89.0	False	stim	crit_go	s597	False
