onset	duration	block_duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_id	trial_type	worker_id	junk
3.004	4.0	4.636	larger_later	discount_fixed	89	67.0	74.0	1.744	20.0	n/a	larger_later	s633	False
7.642	4.0	5.316	smaller_sooner	discount_fixed	71	29.0	58.0	1.452	20.0	n/a	smaller_sooner	s633	False
12.959	4.0	4.976	smaller_sooner	discount_fixed	71	39.0	104.0	1.01	20.0	n/a	smaller_sooner	s633	False
17.936	4.0	4.568	smaller_sooner	discount_fixed	71	33.0	103.0	1.255	20.0	n/a	smaller_sooner	s633	False
22.505	4.0	5.52	smaller_sooner	discount_fixed	71	33.0	78.0	0.874	20.0	n/a	smaller_sooner	s633	False
28.027	4.0	5.588	larger_later	discount_fixed	89	74.0	52.0	1.17	20.0	n/a	larger_later	s633	False
33.616	4.0	5.792	smaller_sooner	discount_fixed	71	28.0	132.0	0.917	20.0	n/a	smaller_sooner	s633	False
39.409	4.0	4.568	smaller_sooner	discount_fixed	71	28.0	59.0	0.988	20.0	n/a	smaller_sooner	s633	False
43.978	4.0	5.112	smaller_sooner	discount_fixed	71	28.0	163.0	0.851	20.0	n/a	smaller_sooner	s633	False
49.091	4.0	4.5	smaller_sooner	discount_fixed	71	32.0	74.0	1.192	20.0	n/a	smaller_sooner	s633	False
53.593	4.0	4.84	larger_later	discount_fixed	89	57.0	89.0	2.017	20.0	n/a	larger_later	s633	False
58.434	4.0	4.568	smaller_sooner	discount_fixed	71	70.0	108.0	2.12	20.0	n/a	smaller_sooner	s633	False
63.003	4.0	5.384	larger_later	discount_fixed	89	72.0	95.0	1.547	20.0	n/a	larger_later	s633	False
68.388	4.0	5.044	smaller_sooner	discount_fixed	71	30.0	36.0	0.718	20.0	n/a	smaller_sooner	s633	False
73.433	4.0	4.704	smaller_sooner	discount_fixed	71	41.0	129.0	1.158	20.0	n/a	smaller_sooner	s633	False
78.138	4.0	4.908	smaller_sooner	discount_fixed	71	78.0	129.0	0.98	20.0	n/a	smaller_sooner	s633	False
83.047	4.0	4.908	larger_later	discount_fixed	89	71.0	88.0	1.214	20.0	n/a	larger_later	s633	False
87.957	4.0	4.84	smaller_sooner	discount_fixed	71	65.0	159.0	1.07	20.0	n/a	smaller_sooner	s633	False
92.798	4.0	5.112	smaller_sooner	discount_fixed	71	24.0	125.0	1.409	20.0	n/a	smaller_sooner	s633	False
97.912	4.0	5.112	larger_later	discount_fixed	89	58.0	36.0	1.219	20.0	n/a	larger_later	s633	False
103.025	4.0	4.704	larger_later	discount_fixed	89	63.0	37.0	2.375	20.0	n/a	larger_later	s633	False
107.73	4.0	4.84	larger_later	discount_fixed	89	75.0	41.0	0.922	20.0	n/a	larger_later	s633	False
112.571	4.0	4.84	larger_later	discount_fixed	89	45.0	72.0	1.037	20.0	n/a	larger_later	s633	False
117.412	4.0	6.88	smaller_sooner	discount_fixed	71	25.0	74.0	0.911	20.0	n/a	smaller_sooner	s633	False
124.293	4.0	4.568	smaller_sooner	discount_fixed	71	65.0	137.0	1.306	20.0	n/a	smaller_sooner	s633	False
128.862	4.0	4.772	smaller_sooner	discount_fixed	71	49.0	140.0	1.426	20.0	n/a	smaller_sooner	s633	False
133.635	4.0	7.016	smaller_sooner	discount_fixed	71	67.0	103.0	1.095	20.0	n/a	smaller_sooner	s633	False
140.652	4.0	4.704	smaller_sooner	discount_fixed	71	69.0	172.0	1.328	20.0	n/a	smaller_sooner	s633	False
145.357	4.0	5.18	larger_later	discount_fixed	89	66.0	71.0	1.542	20.0	n/a	larger_later	s633	False
150.539	4.0	5.044	smaller_sooner	discount_fixed	71	71.0	176.0	0.856	20.0	n/a	smaller_sooner	s633	False
155.584	4.0	5.316	smaller_sooner	discount_fixed	71	31.0	76.0	1.088	20.0	n/a	smaller_sooner	s633	False
160.901	4.0	4.568	larger_later	discount_fixed	89	43.0	19.0	1.506	20.0	n/a	larger_later	s633	False
165.471	4.0	4.636	smaller_sooner	discount_fixed	71	60.0	124.0	1.234	20.0	n/a	smaller_sooner	s633	False
170.108	4.0	4.908	smaller_sooner	discount_fixed	71	27.0	142.0	0.949	20.0	n/a	smaller_sooner	s633	False
175.018	4.0	4.5	smaller_sooner	discount_fixed	71	25.0	70.0	1.065	20.0	n/a	smaller_sooner	s633	False
179.52	4.0	4.976	smaller_sooner	discount_fixed	71	44.0	92.0	1.056	20.0	n/a	smaller_sooner	s633	False
184.497	4.0	4.908	smaller_sooner	discount_fixed	71	41.0	27.0	2.304	20.0	n/a	smaller_sooner	s633	False
189.406	4.0	4.568	smaller_sooner	discount_fixed	71	64.0	89.0	1.579	20.0	n/a	smaller_sooner	s633	False
193.975	4.0	4.5	smaller_sooner	discount_fixed	71	78.0	108.0	1.511	20.0	n/a	smaller_sooner	s633	False
198.477	4.0	6.2	larger_later	discount_fixed	89	80.0	145.0	1.298	20.0	n/a	larger_later	s633	False
204.678	4.0	4.704	smaller_sooner	discount_fixed	71	41.0	174.0	0.916	20.0	n/a	smaller_sooner	s633	False
209.383	4.0	5.044	smaller_sooner	discount_fixed	71	42.0	145.0	0.962	20.0	n/a	smaller_sooner	s633	False
214.428	4.0	5.044	smaller_sooner	discount_fixed	71	36.0	114.0	0.802	20.0	n/a	smaller_sooner	s633	False
219.473	4.0	5.18	larger_later	discount_fixed	89	58.0	55.0	1.948	20.0	n/a	larger_later	s633	False
224.655	4.0	4.976	larger_later	discount_fixed	89	81.0	58.0	1.35	20.0	n/a	larger_later	s633	False
229.632	4.0	4.772	smaller_sooner	discount_fixed	71	32.0	111.0	0.972	20.0	n/a	smaller_sooner	s633	False
234.405	4.0	4.772	smaller_sooner	discount_fixed	71	25.0	141.0	1.204	20.0	n/a	smaller_sooner	s633	False
239.178	4.0	5.18	larger_later	discount_fixed	89	67.0	23.0	1.36	20.0	n/a	larger_later	s633	False
244.359	4.0	5.18	larger_later	discount_fixed	89	77.0	161.0	2.142	20.0	n/a	larger_later	s633	False
249.54	4.0	5.248	smaller_sooner	discount_fixed	71	55.0	163.0	0.962	20.0	n/a	smaller_sooner	s633	False
254.789	4.0	4.568	smaller_sooner	discount_fixed	71	40.0	159.0	1.357	20.0	n/a	smaller_sooner	s633	False
259.358	4.0	4.5	smaller_sooner	discount_fixed	71	76.0	161.0	1.08	20.0	n/a	smaller_sooner	s633	False
263.859	4.0	4.908	smaller_sooner	discount_fixed	71	48.0	128.0	0.924	20.0	n/a	smaller_sooner	s633	False
268.768	4.0	4.568	smaller_sooner	discount_fixed	71	39.0	95.0	0.968	20.0	n/a	smaller_sooner	s633	False
273.338	4.0	6.2	smaller_sooner	discount_fixed	71	83.0	105.0	0.956	20.0	n/a	smaller_sooner	s633	False
279.539	4.0	4.908	larger_later	discount_fixed	89	67.0	41.0	1.429	20.0	n/a	larger_later	s633	False
284.448	4.0	5.248	smaller_sooner	discount_fixed	71	56.0	172.0	0.975	20.0	n/a	smaller_sooner	s633	False
289.697	4.0	5.044	smaller_sooner	discount_fixed	71	28.0	123.0	0.895	20.0	n/a	smaller_sooner	s633	False
294.742	4.0	4.636	smaller_sooner	discount_fixed	71	50.0	129.0	1.063	20.0	n/a	smaller_sooner	s633	False
299.379	4.0	4.704	smaller_sooner	discount_fixed	71	23.0	61.0	1.385	20.0	n/a	smaller_sooner	s633	False
304.084	4.0	4.636	larger_later	discount_fixed	89	79.0	92.0	2.023	20.0	n/a	larger_later	s633	False
317.224	4.0	4.568	smaller_sooner	discount_fixed	71	61.0	141.0	2.207	20.0	n/a	smaller_sooner	s633	False
321.793	4.0	4.568	larger_later	discount_fixed	89	43.0	38.0	1.763	20.0	n/a	larger_later	s633	False
326.361	4.0	4.908	smaller_sooner	discount_fixed	71	66.0	145.0	1.719	20.0	n/a	smaller_sooner	s633	False
331.27	4.0	4.84	larger_later	discount_fixed	89	30.0	23.0	1.603	20.0	n/a	larger_later	s633	False
336.112	4.0	5.248	smaller_sooner	discount_fixed	71	32.0	57.0	2.096	20.0	n/a	smaller_sooner	s633	False
341.361	4.0	4.772	smaller_sooner	discount_fixed	71	27.0	91.0	1.124	20.0	n/a	smaller_sooner	s633	False
346.133	4.0	5.996	smaller_sooner	discount_fixed	71	43.0	120.0	0.89	20.0	n/a	smaller_sooner	s633	False
352.13	4.0	5.588	larger_later	discount_fixed	89	75.0	60.0	2.034	20.0	n/a	larger_later	s633	False
357.719	4.0	4.568	smaller_sooner	discount_fixed	71	34.0	176.0	0.823	20.0	n/a	smaller_sooner	s633	False
362.288	4.0	5.112	smaller_sooner	discount_fixed	71	24.0	38.0	1.655	20.0	n/a	smaller_sooner	s633	False
367.401	4.0	5.656	larger_later	discount_fixed	89	82.0	74.0	1.279	20.0	n/a	larger_later	s633	False
373.059	4.0	4.568	smaller_sooner	discount_fixed	71	58.0	53.0	2.108	20.0	n/a	smaller_sooner	s633	False
377.628	4.0	4.772	larger_later	discount_fixed	89	54.0	23.0	1.931	20.0	n/a	larger_later	s633	False
382.401	4.0	5.044	larger_later	discount_fixed	89	41.0	55.0	1.331	20.0	n/a	larger_later	s633	False
387.446	4.0	4.84	smaller_sooner	discount_fixed	71	77.0	142.0	1.238	20.0	n/a	smaller_sooner	s633	False
392.287	4.0	5.18	smaller_sooner	discount_fixed	71	25.0	108.0	1.465	20.0	n/a	smaller_sooner	s633	False
397.468	4.0	5.044	smaller_sooner	discount_fixed	71	33.0	163.0	2.361	20.0	n/a	smaller_sooner	s633	False
402.514	4.0	4.976	smaller_sooner	discount_fixed	71	29.0	75.0	0.998	20.0	n/a	smaller_sooner	s633	False
407.491	4.0	4.976	smaller_sooner	discount_fixed	71	45.0	157.0	1.153	20.0	n/a	smaller_sooner	s633	False
412.468	4.0	5.316	smaller_sooner	discount_fixed	71	31.0	74.0	0.954	20.0	n/a	smaller_sooner	s633	False
417.786	4.0	4.5	larger_later	discount_fixed	89	80.0	39.0	0.927	20.0	n/a	larger_later	s633	False
422.287	4.0	5.044	smaller_sooner	discount_fixed	71	22.0	21.0	1.578	20.0	n/a	smaller_sooner	s633	False
427.332	4.0	4.704	smaller_sooner	discount_fixed	71	52.0	139.0	0.975	20.0	n/a	smaller_sooner	s633	False
432.037	4.0	4.84	smaller_sooner	discount_fixed	71	54.0	126.0	0.852	20.0	n/a	smaller_sooner	s633	False
436.878	4.0	6.744	smaller_sooner	discount_fixed	71	23.0	176.0	0.855	20.0	n/a	smaller_sooner	s633	False
443.623	4.0	4.5	smaller_sooner	discount_fixed	71	24.0	87.0	1.212	20.0	n/a	smaller_sooner	s633	False
448.124	4.0	4.568	smaller_sooner	discount_fixed	71	36.0	140.0	1.035	20.0	n/a	smaller_sooner	s633	False
452.693	4.0	4.704	smaller_sooner	discount_fixed	71	35.0	171.0	0.845	20.0	n/a	smaller_sooner	s633	False
457.398	4.0	4.908	smaller_sooner	discount_fixed	71	34.0	43.0	0.873	20.0	n/a	smaller_sooner	s633	False
462.307	4.0	4.568	smaller_sooner	discount_fixed	71	74.0	121.0	1.13	20.0	n/a	smaller_sooner	s633	False
466.876	4.0	4.772	smaller_sooner	discount_fixed	71	45.0	107.0	0.949	20.0	n/a	smaller_sooner	s633	False
471.65	4.0	4.636	larger_later	discount_fixed	89	77.0	24.0	0.95	20.0	n/a	larger_later	s633	False
476.287	4.0	4.568	smaller_sooner	discount_fixed	71	39.0	161.0	1.044	20.0	n/a	smaller_sooner	s633	False
480.856	4.0	5.452	smaller_sooner	discount_fixed	71	62.0	180.0	1.584	20.0	n/a	smaller_sooner	s633	False
486.309	4.0	5.384	smaller_sooner	discount_fixed	71	24.0	139.0	0.928	20.0	n/a	smaller_sooner	s633	False
491.695	4.0	4.568	smaller_sooner	discount_fixed	71	58.0	72.0	1.065	20.0	n/a	smaller_sooner	s633	False
496.264	4.0	6.268	smaller_sooner	discount_fixed	71	56.0	93.0	1.263	20.0	n/a	smaller_sooner	s633	False
502.533	4.0	5.52	larger_later	discount_fixed	89	45.0	26.0	1.158	20.0	n/a	larger_later	s633	False
508.054	4.0	4.568	smaller_sooner	discount_fixed	71	23.0	42.0	1.045	20.0	n/a	smaller_sooner	s633	False
512.624	4.0	4.636	larger_later	discount_fixed	89	50.0	41.0	1.121	20.0	n/a	larger_later	s633	False
517.261	4.0	4.636	smaller_sooner	discount_fixed	71	25.0	176.0	0.857	20.0	n/a	smaller_sooner	s633	False
521.898	4.0	5.112	larger_later	discount_fixed	89	54.0	22.0	1.004	20.0	n/a	larger_later	s633	False
527.011	4.0	5.316	smaller_sooner	discount_fixed	71	29.0	44.0	2.597	20.0	n/a	smaller_sooner	s633	False
532.328	4.0	4.568	smaller_sooner	discount_fixed	71	24.0	89.0	1.465	20.0	n/a	smaller_sooner	s633	False
536.897	4.0	4.568	smaller_sooner	discount_fixed	71	23.0	77.0	1.324	20.0	n/a	smaller_sooner	s633	False
541.466	4.0	4.568	smaller_sooner	discount_fixed	71	27.0	130.0	0.958	20.0	n/a	smaller_sooner	s633	False
546.035	4.0	4.84	smaller_sooner	discount_fixed	71	23.0	134.0	0.757	20.0	n/a	smaller_sooner	s633	False
550.877	4.0	4.5	smaller_sooner	discount_fixed	71	55.0	107.0	1.101	20.0	n/a	smaller_sooner	s633	False
555.378	4.0	5.656	smaller_sooner	discount_fixed	71	44.0	143.0	0.99	20.0	n/a	smaller_sooner	s633	False
561.035	4.0	4.908	smaller_sooner	discount_fixed	71	23.0	110.0	1.426	20.0	n/a	smaller_sooner	s633	False
565.944	4.0	4.636	smaller_sooner	discount_fixed	71	65.0	156.0	1.058	20.0	n/a	smaller_sooner	s633	False
570.582	4.0	4.5	smaller_sooner	discount_fixed	71	22.0	27.0	1.339	20.0	n/a	smaller_sooner	s633	False
575.083	4.0	4.5	larger_later	discount_fixed	89	50.0	59.0	1.536	20.0	n/a	larger_later	s633	False
579.584	4.0	5.112	smaller_sooner	discount_fixed	71	85.0	129.0	1.275	20.0	n/a	smaller_sooner	s633	False
584.697	4.0	6.132	larger_later	discount_fixed	89	66.0	58.0	1.608	20.0	n/a	larger_later	s633	False
590.83	4.0	4.84	smaller_sooner	discount_fixed	71	49.0	172.0	1.016	20.0	n/a	smaller_sooner	s633	False
