onset	duration	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_id	trial_type	worker_id	junk
3.509	1.5	2.0	incongruent	0.0	89.0	stroop	82	0.77	red	green	stim	incongruent	s497	False
5.512	1.5	2.0	congruent	1.0	71.0	stroop	71	0.814	blue	blue	stim	congruent	s497	False
7.514	1.5	2.272	incongruent	1.0	89.0	stroop	89	0.901	red	blue	stim	incongruent	s497	False
9.789	1.5	2.0	incongruent	1.0	89.0	stroop	89	1.25	red	green	stim	incongruent	s497	False
11.791	1.5	2.136	congruent	1.0	89.0	stroop	89	0.871	red	red	stim	congruent	s497	False
13.929	1.5	2.0	congruent	1.0	71.0	stroop	71	0.625	blue	blue	stim	congruent	s497	False
15.931	1.5	2.136	congruent	1.0	89.0	stroop	89	0.74	red	red	stim	congruent	s497	False
18.07	1.5	2.0	congruent	1.0	82.0	stroop	82	0.726	green	green	stim	congruent	s497	False
20.073	1.5	2.0	congruent	1.0	89.0	stroop	89	0.865	red	red	stim	congruent	s497	False
22.076	1.5	2.0	incongruent	1.0	89.0	stroop	89	1.126	red	blue	stim	incongruent	s497	False
24.078	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.881	blue	red	stim	incongruent	s497	False
26.353	1.5	2.0	incongruent	1.0	82.0	stroop	82	1.153	green	blue	stim	incongruent	s497	False
28.355	1.5	2.136	incongruent	1.0	71.0	stroop	71	1.241	blue	green	stim	incongruent	s497	False
30.492	1.5	2.408	congruent	1.0	71.0	stroop	71	0.731	blue	blue	stim	congruent	s497	False
32.902	1.5	2.272	incongruent	1.0	82.0	stroop	82	0.915	green	blue	stim	incongruent	s497	False
35.177	1.5	2.68	congruent	1.0	89.0	stroop	89	0.557	red	red	stim	congruent	s497	False
37.859	1.5	2.0	congruent	1.0	89.0	stroop	89	0.661	red	red	stim	congruent	s497	False
39.863	1.5	2.408	congruent	1.0	71.0	stroop	71	0.911	blue	blue	stim	congruent	s497	False
42.274	1.5	2.136	congruent	1.0	89.0	stroop	89	0.864	red	red	stim	congruent	s497	False
44.411	1.5	2.68	incongruent	1.0	82.0	stroop	82	0.925	green	red	stim	incongruent	s497	False
47.093	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.777	red	green	stim	incongruent	s497	False
49.095	1.5	2.136	incongruent	1.0	82.0	stroop	82	0.891	green	red	stim	incongruent	s497	False
51.233	1.5	2.952	congruent	1.0	89.0	stroop	89	1.036	red	red	stim	congruent	s497	False
