onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
164.828	1.0	165.683	0.1	2.136	True	89.0	Magnitude	n/a	twobytwo	89.0	0.755	orange	2.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
167.071	1.0	167.865	0.1	2.0	True	71.0	High-Low	switch	twobytwo	71.0	0.694	blue	8.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
169.977	1.0	171.464	0.9	2.0	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.587	blue	6.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
172.886	1.0	174.708	0.9	2.136	True	89.0	High-Low	n/a	twobytwo	89.0	0.922	orange	2.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
175.93	1.0	177.391	0.9	2.0	True	71.0	Color	n/a	twobytwo	71.0	0.561	orange	9.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
178.035	1.0	178.893	0.1	2.136	True	71.0	High-Low	n/a	twobytwo	71.0	0.758	orange	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
180.279	1.0	181.047	0.1	2.408	True	71.0	High-Low	stay	twobytwo	71.0	0.668	blue	7.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
182.792	1.0	183.966	0.1	2.136	True	89.0	Orange-Blue	n/a	twobytwo	89.0	1.074	blue	8.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
185.035	1.0	186.184	0.1	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	1.049	orange	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
187.144	1.0	188.053	0.1	2.136	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.809	blue	6.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
189.385	1.0	190.141	0.1	2.272	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.656	orange	7.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
192.565	1.0	194.059	0.9	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.594	blue	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
194.673	1.0	195.595	0.1	2.408	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.822	orange	9.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
197.989	1.0	199.342	0.9	2.0	True	71.0	Color	switch	twobytwo	71.0	0.453	orange	7.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
200.1	1.0	200.849	0.1	2.136	True	71.0	Magnitude	n/a	twobytwo	71.0	0.649	orange	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
202.345	1.0	203.134	0.1	2.408	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.689	blue	8.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
204.862	1.0	205.635	0.1	2.136	True	71.0	High-Low	n/a	twobytwo	71.0	0.673	orange	7.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
207.103	1.0	207.803	0.1	2.408	True	89.0	Color	n/a	twobytwo	89.0	0.6	blue	9.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
209.619	1.0	210.343	0.1	2.136	True	71.0	High-Low	n/a	twobytwo	71.0	0.624	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
225.382	1.0	226.224	0.1	2.0	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.742	blue	1.0	task_switch	color	switch	stim	poldrack-single-stim	s589	1	False
227.49	1.0	228.221	0.1	2.272	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.631	blue	7.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
230.674	1.0	232.349	0.9	2.0	True	71.0	Color	switch	twobytwo	71.0	0.775	orange	2.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
232.786	1.0	233.622	0.1	2.272	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.736	orange	2.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
235.964	1.0	237.314	0.9	2.272	True	71.0	Color	switch	twobytwo	71.0	0.45	orange	1.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
238.341	1.0	239.055	0.1	2.952	True	71.0	Magnitude	n/a	twobytwo	71.0	0.614	blue	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
241.402	1.0	242.213	0.1	2.68	True	89.0	Magnitude	stay	twobytwo	89.0	0.711	orange	1.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
244.187	1.0	245.023	0.1	2.136	True	71.0	Color	n/a	twobytwo	71.0	0.736	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
247.234	1.0	248.774	0.9	2.272	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.64	blue	2.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
250.413	1.0	251.937	0.9	2.272	True	89.0	Color	switch	twobytwo	89.0	0.624	blue	3.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
253.595	1.0	255.029	0.9	2.136	True	71.0	Color	stay	twobytwo	71.0	0.534	orange	9.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
255.84	1.0	256.68	0.1	2.408	True	89.0	Magnitude	n/a	twobytwo	89.0	0.74	blue	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
258.351	1.0	259.719	0.1	2.136	True	71.0	Orange-Blue	n/a	twobytwo	71.0	1.268	orange	4.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
260.595	1.0	261.613	0.1	2.136	True	89.0	Color	switch	twobytwo	89.0	0.918	blue	8.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
262.84	1.0	263.473	0.1	2.0	False	89.0	High-Low	n/a	twobytwo	71.0	0.533	blue	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
265.75	1.0	267.706	0.9	2.0	True	71.0	High-Low	stay	twobytwo	71.0	1.056	orange	7.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
268.655	1.0	270.211	0.9	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.656	blue	4.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
271.567	1.0	273.393	0.9	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	0.926	blue	7.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
274.478	1.0	275.956	0.9	2.0	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.578	orange	4.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
276.584	1.0	277.478	0.1	2.272	True	71.0	Magnitude	n/a	twobytwo	71.0	0.794	orange	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
278.965	1.0	279.807	0.1	2.408	True	89.0	Magnitude	stay	twobytwo	89.0	0.742	blue	4.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
282.281	1.0	283.705	0.9	2.0	True	89.0	Magnitude	stay	twobytwo	89.0	0.524	blue	2.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
284.387	1.0	285.29	0.1	2.136	True	89.0	Color	n/a	twobytwo	89.0	0.803	blue	9.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
286.632	1.0	287.339	0.1	2.0	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.607	blue	1.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
288.737	1.0	289.674	0.1	2.136	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.837	orange	6.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
291.777	1.0	293.197	0.9	2.544	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.52	blue	8.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
295.227	1.0	296.744	0.9	2.68	True	71.0	Magnitude	n/a	twobytwo	71.0	0.617	orange	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
298.011	1.0	298.863	0.1	3.088	True	89.0	Color	n/a	twobytwo	89.0	0.752	blue	6.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
302.007	1.0	303.927	0.9	2.136	True	71.0	Color	stay	twobytwo	71.0	1.02	orange	2.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
304.249	1.0	304.99	0.1	2.544	True	71.0	Color	stay	twobytwo	71.0	0.641	orange	6.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
306.9	1.0	307.784	0.1	2.0	True	71.0	High-Low	n/a	twobytwo	71.0	0.784	orange	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
309.004	1.0	309.842	0.1	2.136	True	89.0	Magnitude	switch	twobytwo	89.0	0.738	orange	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
311.247	1.0	312.068	0.1	2.0	True	71.0	Color	n/a	twobytwo	71.0	0.721	orange	9.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
314.151	1.0	315.567	0.9	2.408	True	71.0	Magnitude	n/a	twobytwo	71.0	0.516	orange	7.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
316.666	1.0	317.49	0.1	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.724	blue	6.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
318.773	1.0	319.756	0.1	2.0	True	71.0	Color	stay	twobytwo	71.0	0.883	orange	1.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
320.879	1.0	321.665	0.1	2.0	True	71.0	High-Low	n/a	twobytwo	71.0	0.686	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
322.985	1.0	323.817	0.1	2.68	True	71.0	High-Low	stay	twobytwo	71.0	0.732	blue	8.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
325.776	1.0	326.533	0.1	2.272	True	89.0	Magnitude	switch	twobytwo	89.0	0.657	blue	1.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
328.954	1.0	330.404	0.9	2.408	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.55	blue	4.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
331.469	1.0	332.215	0.1	3.224	True	71.0	High-Low	n/a	twobytwo	71.0	0.646	orange	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
335.597	1.0	337.16	0.9	2.408	True	71.0	Color	n/a	twobytwo	71.0	0.663	orange	1.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
338.117	1.0	339.005	0.1	2.816	True	71.0	Color	stay	twobytwo	71.0	0.788	orange	6.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
341.043	1.0	342.128	0.1	2.408	True	89.0	Magnitude	n/a	twobytwo	89.0	0.985	orange	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
343.557	1.0	344.338	0.1	2.136	True	89.0	Magnitude	stay	twobytwo	89.0	0.681	orange	2.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
346.6	1.0	348.054	0.9	2.136	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.554	blue	1.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
349.643	1.0	351.346	0.9	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	0.803	blue	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
351.75	1.0	353.531	0.1	2.0	True	89.0	Color	n/a	twobytwo	89.0	1.681	blue	1.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
