onset	duration	SS_delay	block_duration	correct	correct_response	experiment_exp_id	key_press	passed_check	response_time	stopped	trial_id	trial_type	worker_id	junk
3.013	0.85	0.3	2.522	1.0	89.0	stop_signal	89.0	True	0.998	False	stim	go	s614	False
5.54	0.85	0.3	2.25	1.0	71.0	stop_signal	71.0	True	0.718	False	stim	go	s614	False
7.792	0.85	0.3	2.25	1.0	71.0	stop_signal	71.0	True	0.632	False	stim	stop_failure	s614	False
10.048	0.85	0.25	2.25	1.0	89.0	stop_signal	89.0	True	0.574	False	stim	go	s614	False
12.304	0.85	0.25	2.25	1.0	89.0	stop_signal	89.0	True	0.59	False	stim	go	s614	False
14.557	0.85	0.25	2.386	1.0	89.0	stop_signal	89.0	True	0.563	False	stim	go	s614	False
16.949	0.85	0.25	2.25	1.0	71.0	stop_signal	71.0	True	0.582	False	stim	go	s614	False
19.203	0.85	0.25	2.25	1.0	89.0	stop_signal	89.0	True	0.493	False	stim	stop_failure	s614	False
21.456	0.85	0.2	2.25	1.0	89.0	stop_signal	89.0	True	0.688	False	stim	go	s614	False
23.711	0.85	0.2	2.25	1.0	71.0	stop_signal	71.0	True	0.597	False	stim	stop_failure	s614	False
25.963	0.85	0.15	2.522	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s614	False
28.488	0.85	0.2	2.386	1.0	89.0	stop_signal	89.0	True	0.658	False	stim	go	s614	False
30.876	0.85	0.2	2.522	1.0	71.0	stop_signal	71.0	True	0.504	False	stim	go	s614	False
33.403	0.85	0.2	2.25	1.0	89.0	stop_signal	89.0	True	0.761	False	stim	stop_failure	s614	False
35.656	0.85	0.15	2.386	1.0	71.0	stop_signal	71.0	True	0.673	False	stim	go	s614	False
38.046	0.85	0.15	2.386	1.0	89.0	stop_signal	89.0	True	0.598	False	stim	go	s614	False
40.433	0.85	0.15	2.25	1.0	89.0	stop_signal	89.0	True	0.506	False	stim	go	s614	False
42.686	0.85	0.15	2.386	1.0	89.0	stop_signal	89.0	True	0.498	False	stim	go	s614	False
45.075	0.85	0.15	2.386	1.0	71.0	stop_signal	71.0	True	0.554	False	stim	go	s614	False
47.463	0.85	0.15	2.386	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s614	False
49.854	0.85	0.2	2.658	1.0	71.0	stop_signal	71.0	True	0.551	False	stim	go	s614	False
52.519	0.85	0.2	2.522	1.0	71.0	stop_signal	71.0	True	0.576	False	stim	go	s614	False
55.047	0.85	0.2	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s614	False
57.302	0.85	0.25	2.93	1.0	89.0	stop_signal	89.0	True	0.627	False	stim	stop_failure	s614	False
60.236	0.85	0.2	2.25	1.0	71.0	stop_signal	71.0	True	0.524	False	stim	go	s614	False
62.492	0.85	0.2	2.522	1.0	71.0	stop_signal	71.0	True	0.516	False	stim	go	s614	False
65.021	0.85	0.2	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s614	False
67.276	0.85	0.25	2.25	1.0	71.0	stop_signal	71.0	True	0.588	False	stim	go	s614	False
69.532	0.85	0.25	2.25	1.0	71.0	stop_signal	71.0	True	0.519	False	stim	go	s614	False
71.788	0.85	0.25	2.25	1.0	71.0	stop_signal	71.0	True	0.483	False	stim	go	s614	False
74.04	0.85	0.25	2.522	1.0	71.0	stop_signal	71.0	True	0.519	False	stim	go	s614	False
76.568	0.85	0.25	3.066	1.0	71.0	stop_signal	71.0	True	0.445	False	stim	stop_failure	s614	False
79.64	0.85	0.2	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s614	False
81.892	0.85	0.25	2.386	1.0	89.0	stop_signal	89.0	True	0.572	False	stim	go	s614	False
84.282	0.85	0.25	2.386	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s614	False
86.674	0.85	0.3	2.522	0.0	71.0	stop_signal	89.0	True	0.493	False	stim	go	s614	False
89.2	0.85	0.3	2.386	1.0	71.0	stop_signal	71.0	True	0.569	False	stim	go	s614	False
91.589	0.85	0.3	2.386	1.0	89.0	stop_signal	89.0	True	0.669	False	stim	go	s614	False
93.976	0.85	0.3	2.794	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s614	False
96.774	0.85	0.35	2.386	0.0	89.0	stop_signal	71.0	True	0.528	False	stim	go	s614	False
99.163	0.85	0.35	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s614	False
111.932	0.85	0.4	2.522	1.0	71.0	stop_signal	71.0	True	0.689	False	stim	stop_failure	s614	False
114.459	0.85	0.35	2.386	1.0	71.0	stop_signal	71.0	True	0.597	False	stim	stop_failure	s614	False
116.848	0.85	0.3	2.386	1.0	89.0	stop_signal	89.0	True	0.546	False	stim	go	s614	False
119.237	0.85	0.3	2.25	1.0	71.0	stop_signal	71.0	True	0.439	False	stim	stop_failure	s614	False
121.489	0.85	0.25	2.386	1.0	71.0	stop_signal	71.0	True	0.563	False	stim	go	s614	False
123.881	0.85	0.25	2.25	0.0	89.0	stop_signal	71.0	True	0.471	False	stim	go	s614	False
126.133	0.85	0.25	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s614	False
128.387	0.85	0.3	2.25	1.0	89.0	stop_signal	89.0	True	0.584	False	stim	go	s614	False
130.641	0.85	0.3	2.386	1.0	89.0	stop_signal	89.0	True	0.598	False	stim	go	s614	False
133.029	0.85	0.3	2.25	1.0	89.0	stop_signal	89.0	True	0.613	False	stim	stop_failure	s614	False
135.284	0.85	0.25	2.25	1.0	89.0	stop_signal	89.0	True	0.562	False	stim	stop_failure	s614	False
137.538	0.85	0.2	2.386	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s614	False
139.925	0.85	0.25	2.386	1.0	89.0	stop_signal	89.0	True	0.615	False	stim	stop_failure	s614	False
142.313	0.85	0.2	2.25	1.0	89.0	stop_signal	89.0	True	0.802	False	stim	go	s614	False
144.57	0.85	0.2	2.522	1.0	89.0	stop_signal	89.0	True	0.407	False	stim	stop_failure	s614	False
147.098	0.85	0.15	2.25	1.0	89.0	stop_signal	89.0	True	0.675	False	stim	go	s614	False
149.351	0.85	0.15	2.386	1.0	71.0	stop_signal	71.0	True	0.772	False	stim	go	s614	False
151.743	0.85	0.15	2.25	1.0	89.0	stop_signal	89.0	True	0.674	False	stim	go	s614	False
153.994	0.85	0.15	2.25	1.0	89.0	stop_signal	89.0	True	0.667	False	stim	stop_failure	s614	False
156.248	0.85	0.1	2.386	1.0	89.0	stop_signal	89.0	True	0.418	False	stim	go	s614	False
158.638	0.85	0.1	2.522	0.0	71.0	stop_signal	89.0	True	0.519	False	stim	go	s614	False
161.165	0.85	0.1	2.386	0.0	89.0	stop_signal	71.0	True	0.531	False	stim	go	s614	False
163.552	0.85	0.1	2.522	1.0	71.0	stop_signal	71.0	True	0.694	False	stim	go	s614	False
166.078	0.85	0.1	2.93	1.0	71.0	stop_signal	71.0	True	0.634	False	stim	stop_failure	s614	False
169.009	0.85	0.05	2.522	1.0	71.0	stop_signal	71.0	True	0.639	False	stim	go	s614	False
171.536	0.85	0.05	2.522	1.0	71.0	stop_signal	71.0	True	0.571	False	stim	go	s614	False
