onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
3.615	1.0	4.352	0.1	2.136	True	71.0	Color	n/a	twobytwo	71.0	0.637	orange	6.0	task_switch	color	switch	stim	poldrack-single-stim	s639	1	False
5.857	1.0	6.684	0.1	2.68	True	71.0	Color	stay	twobytwo	71.0	0.727	orange	8.0	cue_stay	color	stay	stim	poldrack-single-stim	s639	0	False
8.641	1.0	9.803	0.1	2.544	True	71.0	Orange-Blue	switch	twobytwo	71.0	1.062	orange	6.0	cue_switch	color	stay	stim	poldrack-single-stim	s639	0	False
11.292	1.0	12.099	0.1	2.272	True	89.0	Color	switch	twobytwo	89.0	0.707	blue	8.0	cue_switch	color	stay	stim	poldrack-single-stim	s639	0	False
14.469	1.0	15.776	0.9	2.272	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.407	orange	7.0	cue_switch	color	stay	stim	poldrack-single-stim	s639	0	False
16.846	1.0	17.683	0.1	2.408	False	89.0	High-Low	n/a	twobytwo	71.0	0.737	orange	2.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s639	0	False
19.359	1.0	20.403	0.1	2.136	True	89.0	High-Low	stay	twobytwo	89.0	0.944	orange	4.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s639	0	False
22.4	1.0	23.632	0.9	2.272	True	89.0	Color	n/a	twobytwo	89.0	0.332	blue	7.0	task_switch	color	switch	stim	poldrack-single-stim	s639	0	False
25.578	1.0	26.846	0.9	2.0	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.368	blue	4.0	cue_switch	color	stay	stim	poldrack-single-stim	s639	0	False
27.682	1.0	28.46	0.1	2.136	True	89.0	Color	switch	twobytwo	89.0	0.678	blue	7.0	cue_switch	color	stay	stim	poldrack-single-stim	s639	0	False
29.922	1.0	30.649	0.1	2.272	True	71.0	Color	stay	twobytwo	71.0	0.627	orange	3.0	cue_stay	color	stay	stim	poldrack-single-stim	s639	0	False
32.299	1.0	33.017	0.1	2.0	True	71.0	High-Low	n/a	twobytwo	71.0	0.618	blue	7.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s639	0	False
34.404	1.0	35.151	0.1	2.68	False	71.0	Color	n/a	twobytwo	89.0	0.647	orange	4.0	task_switch	color	switch	stim	poldrack-single-stim	s639	0	False
37.19	1.0	38.186	0.1	2.0	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.896	blue	6.0	cue_switch	color	stay	stim	poldrack-single-stim	s639	0	False
40.096	1.0	41.912	0.9	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.916	blue	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s639	0	False
43.001	1.0	44.467	0.9	2.0	True	89.0	Magnitude	stay	twobytwo	89.0	0.566	orange	4.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s639	0	False
45.906	1.0	47.37	0.9	2.272	True	89.0	Color	n/a	twobytwo	89.0	0.564	blue	6.0	task_switch	color	switch	stim	poldrack-single-stim	s639	0	False
49.084	1.0	50.439	0.9	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.455	orange	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s639	0	False
51.989	1.0	53.485	0.9	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.596	blue	1.0	task_switch	color	switch	stim	poldrack-single-stim	s639	0	False
54.094	1.0	55.203	0.1	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	1.009	orange	2.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s639	0	False
56.199	1.0	56.884	0.1	2.68	True	89.0	High-Low	stay	twobytwo	89.0	0.585	orange	2.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s639	0	False
59.785	1.0	61.218	0.9	2.0	True	89.0	High-Low	stay	twobytwo	89.0	0.533	blue	3.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s639	0	False
61.887	1.0	62.845	0.1	2.136	True	89.0	Color	n/a	twobytwo	89.0	0.858	blue	3.0	task_switch	color	switch	stim	poldrack-single-stim	s639	0	False
64.928	1.0	66.176	0.9	2.408	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.348	orange	2.0	cue_switch	color	stay	stim	poldrack-single-stim	s639	0	False
67.441	1.0	68.239	0.1	2.136	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.698	blue	7.0	cue_stay	color	stay	stim	poldrack-single-stim	s639	0	False
70.482	1.0	72.255	0.9	2.0	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.873	blue	7.0	cue_stay	color	stay	stim	poldrack-single-stim	s639	0	False
72.588	1.0	73.843	0.1	2.0	True	71.0	High-Low	n/a	twobytwo	71.0	1.155	orange	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s639	0	False
75.493	1.0	77.214	0.9	2.544	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.821	blue	6.0	task_switch	color	switch	stim	poldrack-single-stim	s639	0	False
78.142	1.0	78.839	0.1	2.136	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.597	blue	4.0	cue_stay	color	stay	stim	poldrack-single-stim	s639	0	False
80.383	1.0	81.015	0.1	2.544	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.532	blue	9.0	cue_stay	color	stay	stim	poldrack-single-stim	s639	0	False
83.032	1.0	83.9	0.1	2.68	True	89.0	High-Low	n/a	twobytwo	89.0	0.768	orange	3.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s639	0	False
85.817	1.0	86.767	0.1	2.0	True	89.0	Magnitude	switch	twobytwo	89.0	0.85	orange	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s639	0	False
88.721	1.0	90.171	0.9	2.272	True	89.0	Color	n/a	twobytwo	89.0	0.55	blue	1.0	task_switch	color	switch	stim	poldrack-single-stim	s639	0	False
91.099	1.0	92.009	0.1	3.088	True	89.0	Magnitude	n/a	twobytwo	89.0	0.81	blue	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s639	0	False
95.092	1.0	96.604	0.9	2.0	True	71.0	Color	n/a	twobytwo	71.0	0.612	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s639	0	False
97.997	1.0	99.695	0.9	2.136	True	89.0	Color	stay	twobytwo	89.0	0.798	blue	1.0	cue_stay	color	stay	stim	poldrack-single-stim	s639	0	False
100.237	1.0	101.181	0.1	2.136	True	89.0	Magnitude	n/a	twobytwo	89.0	0.844	orange	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s639	0	False
103.278	1.0	105.114	0.9	2.0	True	89.0	Magnitude	stay	twobytwo	89.0	0.936	blue	2.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s639	0	False
105.384	1.0	106.081	0.1	2.272	True	71.0	High-Low	switch	twobytwo	71.0	0.597	orange	8.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s639	0	False
107.761	1.0	108.415	0.1	2.0	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.554	blue	4.0	task_switch	color	switch	stim	poldrack-single-stim	s639	0	False
109.866	1.0	110.691	0.1	2.136	True	89.0	Magnitude	n/a	twobytwo	89.0	0.725	blue	3.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s639	0	False
