onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
3.62	1.0	4.339	0.1	3.224	True	89.0	High-Low	stay	twobytwo	89.0	0.619	blue	8.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s591	1	False
7.753	1.0	9.13	0.9	2.408	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.477	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s591	0	False
11.072	1.0	12.514	0.9	2.816	True	89.0	Magnitude	n/a	twobytwo	89.0	0.542	blue	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s591	0	False
13.994	1.0	14.762	0.1	2.408	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.668	orange	9.0	task_switch	color	switch	stim	poldrack-single-stim	s591	0	False
17.311	1.0	18.85	0.9	2.136	True	71.0	High-Low	n/a	twobytwo	71.0	0.639	blue	3.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s591	0	False
20.355	1.0	21.804	0.9	2.136	True	71.0	High-Low	stay	twobytwo	71.0	0.549	blue	3.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s591	0	False
22.595	1.0	24.178	0.1	2.0	True	71.0	Magnitude	switch	twobytwo	71.0	1.483	orange	3.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s591	0	False
25.505	1.0	27.287	0.9	2.0	True	89.0	High-Low	switch	twobytwo	89.0	0.882	orange	8.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s591	0	False
28.412	1.0	30.228	0.9	2.272	True	89.0	Color	n/a	twobytwo	89.0	0.916	orange	1.0	task_switch	color	switch	stim	poldrack-single-stim	s591	0	False
30.793	1.0	31.801	0.1	2.408	True	89.0	High-Low	n/a	twobytwo	89.0	0.908	orange	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s591	0	False
33.31	1.0	34.391	0.1	2.0	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.981	blue	6.0	task_switch	color	switch	stim	poldrack-single-stim	s591	0	False
36.218	1.0	37.7	0.9	2.136	True	71.0	Color	switch	twobytwo	71.0	0.582	blue	6.0	cue_switch	color	stay	stim	poldrack-single-stim	s591	0	False
38.46	1.0	39.395	0.1	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	0.835	orange	3.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s591	0	False
41.364	1.0	43.041	0.9	2.408	True	71.0	Color	n/a	twobytwo	71.0	0.777	blue	4.0	task_switch	color	switch	stim	poldrack-single-stim	s591	0	False
43.879	1.0	44.69	0.1	2.272	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.711	orange	1.0	cue_switch	color	stay	stim	poldrack-single-stim	s591	0	False
46.254	1.0	47.079	0.1	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.725	orange	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s591	0	False
48.359	1.0	49.208	0.1	2.272	True	71.0	High-Low	switch	twobytwo	71.0	0.749	orange	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s591	0	False
51.538	1.0	53.04	0.9	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.602	orange	9.0	task_switch	color	switch	stim	poldrack-single-stim	s591	0	False
