onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
199.435	0.407	199.842	-2.6211106638117125	draw_card	0.407	columbia_card_task_fmri	16.0	0.8	89.0	-80.0	0.2	6.0	2.0	1.0	5.7081208314671485	0.407	n/a	stim	poldrack-single-stim	s624	False	1
199.844	0.983	200.827	-7.421110663811714	draw_card	0.983	columbia_card_task_fmri	16.0	0.75	89.0	-80.0	0.25	6.0	3.0	1.0	8.877007598147223	0.983	3.0	stim	poldrack-single-stim	s624	False	0
201.58	1.5	200.829	n/a	-1.0	2.862	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
203.694	4.619	208.313	3.0788893361882885	draw_card	4.619	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-0.2680892788518036	4.619	n/a	stim	poldrack-single-stim	s624	False	1
208.317	3.129	211.446	0.1788893361882881	draw_card	3.129	columbia_card_task_fmri	17.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	2.108572137562476	3.129	n/a	stim	poldrack-single-stim	s624	False	1
211.449	1.393	212.842	-4.171110663811714	end_round	1.393	columbia_card_task_fmri	17.0	0.75	71.0	-70.0	0.25	6.0	3.0	1.0	4.98031019136527	1.393	2.0	stim	poldrack-single-stim	s624	False	1
213.595	1.5	212.844	n/a	-1.0	2.726	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
215.574	4.339	219.913	3.0788893361882868	draw_card	4.339	columbia_card_task_fmri	25.0	0.75	89.0	-65.0	0.25	8.0	1.0	2.0	6.279200063805639	4.339	n/a	stim	poldrack-single-stim	s624	False	1
219.916	2.063	221.979	-0.135396378097425	draw_card	2.063	columbia_card_task_fmri	25.0	0.7142857142857143	89.0	-65.0	0.2857142857142857	8.0	2.0	2.0	7.965734185533329	2.063	n/a	stim	poldrack-single-stim	s624	False	1
221.982	1.099	223.081	-4.42111066381171	end_round	1.099	columbia_card_task_fmri	25.0	0.6666666666666667	71.0	-65.0	0.3333333333333333	8.0	3.0	2.0	9.734113660972618	1.099	2.0	stim	poldrack-single-stim	s624	False	1
223.834	1.5	223.083	n/a	-1.0	2.25	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
225.336	2.369	227.705	3.0788893361882868	draw_card	2.369	columbia_card_task_fmri	30.0	0.75	89.0	-80.0	0.25	8.0	1.0	2.0	14.938672481623447	2.369	n/a	stim	poldrack-single-stim	s624	False	1
227.708	1.66	229.368	-0.8496820923831367	draw_card	1.66	columbia_card_task_fmri	30.0	0.7142857142857143	89.0	-80.0	0.2857142857142857	8.0	2.0	2.0	17.000064012124234	1.66	n/a	stim	poldrack-single-stim	s624	False	1
229.37	1.68	231.05	-6.087777330478374	draw_card	1.68	columbia_card_task_fmri	30.0	0.6666666666666667	89.0	-80.0	0.3333333333333333	8.0	3.0	2.0	19.16148609756243	1.68	3.0	stim	poldrack-single-stim	s624	False	0
231.804	1.5	231.053	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
233.373	2.001	235.374	2.778889336188288	draw_card	2.001	columbia_card_task_fmri	13.0	0.9	89.0	-95.0	0.1	10.0	1.0	1.0	-0.2910712872404346	2.001	n/a	stim	poldrack-single-stim	s624	False	1
235.377	0.784	236.161	1.5788893361882868	draw_card	0.784	columbia_card_task_fmri	13.0	0.8888888888888888	89.0	-95.0	0.1111111111111111	10.0	2.0	1.0	1.249819447312298	0.784	n/a	stim	poldrack-single-stim	s624	False	1
236.164	1.129	237.293	0.0788893361882867	draw_card	1.129	columbia_card_task_fmri	13.0	0.875	89.0	-95.0	0.125	10.0	3.0	1.0	3.0260911610971206	1.129	n/a	stim	poldrack-single-stim	s624	False	1
237.296	1.017	238.313	-1.8496820923831403	draw_card	1.017	columbia_card_task_fmri	13.0	0.8571428571428572	89.0	-95.0	0.1428571428571428	10.0	4.0	1.0	5.100318463872831	1.017	n/a	stim	poldrack-single-stim	s624	False	1
238.316	1.463	239.779	-4.421110663811712	draw_card	1.463	columbia_card_task_fmri	13.0	0.8333333333333334	89.0	-95.0	0.1666666666666666	10.0	5.0	1.0	7.557143983354791	1.463	n/a	stim	poldrack-single-stim	s624	False	1
239.781	0.9	240.681	-8.021110663811713	end_round	0.9	columbia_card_task_fmri	13.0	0.8	71.0	-95.0	0.2	10.0	6.0	1.0	10.50763607761202	0.9	5.0	stim	poldrack-single-stim	s624	False	1
241.434	1.5	240.683	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
243.142	1.711	244.853	4.178889336188286	draw_card	1.711	columbia_card_task_fmri	14.0	0.9	89.0	-90.0	0.1	10.0	1.0	1.0	-1.4908724330571062	1.711	n/a	stim	poldrack-single-stim	s624	False	1
244.856	0.825	245.681	3.0233337806327296	draw_card	0.825	columbia_card_task_fmri	14.0	0.8888888888888888	89.0	-90.0	0.1111111111111111	10.0	2.0	1.0	-0.0070694455666213	0.825	n/a	stim	poldrack-single-stim	s624	False	1
245.684	0.767	246.451	1.5788893361882868	draw_card	0.767	columbia_card_task_fmri	14.0	0.875	89.0	-90.0	0.125	10.0	3.0	1.0	1.7033958970710472	0.767	n/a	stim	poldrack-single-stim	s624	False	1
246.454	1.524	247.978	-0.2782535209545691	draw_card	1.524	columbia_card_task_fmri	14.0	0.8571428571428572	89.0	-90.0	0.1428571428571428	10.0	4.0	1.0	3.700780532609379	1.524	n/a	stim	poldrack-single-stim	s624	False	1
247.981	0.753	248.734	-2.7544439971450454	end_round	0.753	columbia_card_task_fmri	14.0	0.8333333333333334	71.0	-90.0	0.1666666666666666	10.0	5.0	1.0	6.066592086897771	0.753	4.0	stim	poldrack-single-stim	s624	False	1
249.487	1.5	248.736	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
251.263	3.646	254.909	-0.6211106638117125	draw_card	3.646	columbia_card_task_fmri	16.0	0.8	89.0	-70.0	0.2	10.0	1.0	2.0	1.708628112321918	3.646	n/a	stim	poldrack-single-stim	s624	False	1
254.912	1.261	256.173	-2.532221774922824	draw_card	1.261	columbia_card_task_fmri	16.0	0.7777777777777778	89.0	-70.0	0.2222222222222222	10.0	2.0	2.0	3.062058771990941	1.261	2.0	stim	poldrack-single-stim	s624	False	0
256.926	1.5	256.175	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
258.497	3.348	261.845	-1.337777330478379	draw_card	3.348	columbia_card_task_fmri	7.0	0.9166666666666666	89.0	-100.0	0.0833333333333333	12.0	1.0	1.0	-3.1173393851296467	3.348	n/a	stim	poldrack-single-stim	s624	False	1
