onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
3.014	4.882	7.896	-0.5105089026964025	draw_card	4.882	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-2.14948272509087	4.882	n/a	stim	poldrack-single-stim	s640	False	1
7.9	2.942	10.842	-3.243842236029735	draw_card	2.942	columbia_card_task_fmri	12.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	0.0894292199079345	2.942	n/a	stim	poldrack-single-stim	s640	False	1
10.844	2.482	13.326	-7.343842236029737	draw_card	2.482	columbia_card_task_fmri	12.0	0.75	89.0	-70.0	0.25	6.0	3.0	1.0	2.7949186155110866	2.482	3.0	stim	poldrack-single-stim	s640	False	0
14.083	1.5	13.332	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s640	False	0
15.789	2.556	18.345	0.3228244306369314	draw_card	2.556	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	0.4575448085963316	2.556	n/a	stim	poldrack-single-stim	s640	False	1
18.347	0.18	18.527	-2.643842236029736	draw_card	0.18	columbia_card_task_fmri	14.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	2.887827948725487	0.18	n/a	stim	poldrack-single-stim	s640	False	1
18.529	2.862	21.391	-7.093842236029737	draw_card	2.862	columbia_card_task_fmri	14.0	0.75	89.0	-75.0	0.25	6.0	3.0	1.0	5.824528151290025	2.862	n/a	stim	poldrack-single-stim	s640	False	1
21.396	1.566	22.962	-14.510508902696404	end_round	1.566	columbia_card_task_fmri	14.0	0.6666666666666667	71.0	-75.0	0.3333333333333333	6.0	4.0	1.0	9.239988507939024	1.566	3.0	stim	poldrack-single-stim	s640	False	1
23.715	1.5	22.964	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s640	False	0
25.421	3.763	29.184	1.9894910973035973	draw_card	3.763	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-1.0322198337817667	3.763	n/a	stim	poldrack-single-stim	s640	False	1
29.185	3.716	32.901	-0.8438422360297364	draw_card	3.716	columbia_card_task_fmri	15.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	1.288710694184367	3.716	n/a	stim	poldrack-single-stim	s640	False	1
32.904	4.547	37.451	-5.093842236029737	end_round	4.547	columbia_card_task_fmri	15.0	0.75	71.0	-70.0	0.25	6.0	3.0	1.0	4.093292888087952	4.547	2.0	stim	poldrack-single-stim	s640	False	1
38.207	1.5	37.456	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s640	False	0
39.981	2.516	42.497	2.8228244306369312	draw_card	2.516	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	1.5749223028580062	2.516	n/a	stim	poldrack-single-stim	s640	False	1
42.499	0.938	43.437	-0.2438422360297349	draw_card	0.938	columbia_card_task_fmri	17.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	4.087216224995579	0.938	n/a	stim	poldrack-single-stim	s640	False	1
43.439	1.036	44.475	-4.843842236029737	draw_card	1.036	columbia_card_task_fmri	17.0	0.75	89.0	-75.0	0.25	6.0	3.0	1.0	7.123001107396114	1.036	n/a	stim	poldrack-single-stim	s640	False	1
44.477	1.396	45.873	-12.510508902696404	end_round	1.396	columbia_card_task_fmri	17.0	0.6666666666666667	71.0	-75.0	0.3333333333333333	6.0	4.0	1.0	10.653682894333263	1.396	3.0	stim	poldrack-single-stim	s640	False	1
46.627	1.5	45.876	n/a	-1.0	2.386	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s640	False	0
48.266	1.95	50.216	4.156157763970263	draw_card	1.95	columbia_card_task_fmri	24.0	0.75	89.0	-60.0	0.25	8.0	1.0	2.0	3.660496199384383	1.95	n/a	stim	poldrack-single-stim	s640	False	1
50.217	2.038	52.255	1.1561577639702636	draw_card	2.038	columbia_card_task_fmri	24.0	0.7142857142857143	89.0	-60.0	0.2857142857142857	8.0	2.0	2.0	5.233999424888609	2.038	n/a	stim	poldrack-single-stim	s640	False	1
52.256	2.991	55.247	-2.8438422360297366	draw_card	2.991	columbia_card_task_fmri	24.0	0.6666666666666667	89.0	-60.0	0.3333333333333333	8.0	3.0	2.0	6.883913556029036	2.991	3.0	stim	poldrack-single-stim	s640	False	0
56.001	1.5	55.25	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s640	False	0
