onset	duration	block_duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_id	trial_type	worker_id	junk
333.906	4.0	5.384	smaller_sooner	discount_fixed	71	24.0	139.0	2.671	20.0	n/a	smaller_sooner	s626	False
339.292	4.0	4.568	larger_later	discount_fixed	89	58.0	72.0	1.328	20.0	n/a	larger_later	s626	False
343.864	4.0	6.268	larger_later	discount_fixed	89	56.0	93.0	2.144	20.0	n/a	larger_later	s626	False
350.136	4.0	5.52	smaller_sooner	discount_fixed	71	45.0	26.0	1.22	20.0	n/a	smaller_sooner	s626	False
355.66	4.0	4.568	smaller_sooner	discount_fixed	71	23.0	42.0	2.351	20.0	n/a	smaller_sooner	s626	False
360.232	4.0	4.636	smaller_sooner	discount_fixed	71	50.0	41.0	1.53	20.0	n/a	smaller_sooner	s626	False
364.872	4.0	4.636	smaller_sooner	discount_fixed	71	25.0	176.0	1.474	20.0	n/a	smaller_sooner	s626	False
369.512	4.0	5.112	larger_later	discount_fixed	89	54.0	22.0	2.232	20.0	n/a	larger_later	s626	False
374.629	4.0	5.316	smaller_sooner	discount_fixed	71	29.0	44.0	1.341	20.0	n/a	smaller_sooner	s626	False
379.947	4.0	4.568	smaller_sooner	discount_fixed	71	24.0	89.0	1.504	20.0	n/a	smaller_sooner	s626	False
384.518	4.0	4.568	smaller_sooner	discount_fixed	71	23.0	77.0	0.86	20.0	n/a	smaller_sooner	s626	False
389.088	4.0	4.568	smaller_sooner	discount_fixed	71	27.0	130.0	1.499	20.0	n/a	smaller_sooner	s626	False
393.659	4.0	4.84	smaller_sooner	discount_fixed	71	23.0	134.0	0.974	20.0	n/a	smaller_sooner	s626	False
398.506	4.0	4.5	larger_later	discount_fixed	89	55.0	107.0	1.299	20.0	n/a	larger_later	s626	False
403.008	4.0	5.656	larger_later	discount_fixed	89	44.0	143.0	1.976	20.0	n/a	larger_later	s626	False
408.668	4.0	4.908	smaller_sooner	discount_fixed	71	23.0	110.0	1.002	20.0	n/a	smaller_sooner	s626	False
413.58	4.0	4.636	larger_later	discount_fixed	89	65.0	156.0	2.129	20.0	n/a	larger_later	s626	False
418.222	4.0	4.5	smaller_sooner	discount_fixed	71	22.0	27.0	1.155	20.0	n/a	smaller_sooner	s626	False
422.724	4.0	4.5	larger_later	discount_fixed	89	50.0	59.0	1.177	20.0	n/a	larger_later	s626	False
427.226	4.0	5.112	larger_later	discount_fixed	89	85.0	129.0	1.035	20.0	n/a	larger_later	s626	False
432.345	4.0	6.132	larger_later	discount_fixed	89	66.0	58.0	1.129	20.0	n/a	larger_later	s626	False
438.481	4.0	4.84	smaller_sooner	discount_fixed	71	49.0	172.0	2.387	20.0	n/a	smaller_sooner	s626	False
443.327	4.0	4.568	larger_later	discount_fixed	89	73.0	44.0	1.434	20.0	n/a	larger_later	s626	False
447.9	4.0	4.704	larger_later	discount_fixed	89	58.0	73.0	1.207	20.0	n/a	larger_later	s626	False
452.611	4.0	5.86	larger_later	discount_fixed	89	71.0	76.0	1.388	20.0	n/a	larger_later	s626	False
458.474	4.0	4.636	larger_later	discount_fixed	89	67.0	74.0	1.771	20.0	n/a	larger_later	s626	False
463.112	4.0	5.316	smaller_sooner	discount_fixed	71	29.0	58.0	0.774	20.0	n/a	smaller_sooner	s626	False
468.433	4.0	4.976	smaller_sooner	discount_fixed	71	39.0	104.0	0.826	20.0	n/a	smaller_sooner	s626	False
473.412	4.0	4.568	smaller_sooner	discount_fixed	71	33.0	103.0	0.845	20.0	n/a	smaller_sooner	s626	False
477.982	4.0	5.52	smaller_sooner	discount_fixed	71	33.0	78.0	0.881	20.0	n/a	smaller_sooner	s626	False
483.506	4.0	5.588	larger_later	discount_fixed	89	74.0	52.0	1.34	20.0	n/a	larger_later	s626	False
489.099	4.0	5.792	smaller_sooner	discount_fixed	71	28.0	132.0	0.931	20.0	n/a	smaller_sooner	s626	False
494.894	4.0	4.568	smaller_sooner	discount_fixed	71	28.0	59.0	1.358	20.0	n/a	smaller_sooner	s626	False
499.464	4.0	5.112	smaller_sooner	discount_fixed	71	28.0	163.0	0.914	20.0	n/a	smaller_sooner	s626	False
504.578	4.0	4.5	smaller_sooner	discount_fixed	71	32.0	74.0	1.035	20.0	n/a	smaller_sooner	s626	False
509.084	4.0	4.84	larger_later	discount_fixed	89	57.0	89.0	1.652	20.0	n/a	larger_later	s626	False
513.928	4.0	4.568	larger_later	discount_fixed	89	70.0	108.0	1.835	20.0	n/a	larger_later	s626	False
518.499	4.0	5.384	larger_later	discount_fixed	89	72.0	95.0	1.718	20.0	n/a	larger_later	s626	False
523.889	4.0	5.044	larger_later	discount_fixed	89	30.0	36.0	1.894	20.0	n/a	larger_later	s626	False
528.938	4.0	4.704	smaller_sooner	discount_fixed	71	41.0	129.0	1.591	20.0	n/a	smaller_sooner	s626	False
533.646	4.0	4.908	larger_later	discount_fixed	89	78.0	129.0	1.063	20.0	n/a	larger_later	s626	False
538.558	4.0	4.908	larger_later	discount_fixed	89	71.0	88.0	1.344	20.0	n/a	larger_later	s626	False
543.469	4.0	4.84	larger_later	discount_fixed	89	65.0	159.0	0.964	20.0	n/a	larger_later	s626	False
548.311	4.0	5.112	smaller_sooner	discount_fixed	71	24.0	125.0	0.813	20.0	n/a	smaller_sooner	s626	False
553.426	4.0	5.112	larger_later	discount_fixed	89	58.0	36.0	1.139	20.0	n/a	larger_later	s626	False
558.543	4.0	4.704	larger_later	discount_fixed	89	63.0	37.0	1.474	20.0	n/a	larger_later	s626	False
563.25	4.0	4.84	larger_later	discount_fixed	89	75.0	41.0	1.303	20.0	n/a	larger_later	s626	False
568.092	4.0	4.84	smaller_sooner	discount_fixed	71	45.0	72.0	1.612	20.0	n/a	smaller_sooner	s626	False
572.937	4.0	6.88	larger_later	discount_fixed	89	25.0	74.0	1.742	20.0	n/a	larger_later	s626	False
579.82	4.0	4.568	larger_later	discount_fixed	89	65.0	137.0	1.182	20.0	n/a	larger_later	s626	False
584.389	4.0	4.772	smaller_sooner	discount_fixed	71	49.0	140.0	1.249	20.0	n/a	smaller_sooner	s626	False
589.164	4.0	7.016	larger_later	discount_fixed	89	67.0	103.0	0.967	20.0	n/a	larger_later	s626	False
596.185	4.0	4.704	larger_later	discount_fixed	89	69.0	172.0	1.779	20.0	n/a	larger_later	s626	False
600.893	4.0	5.18	larger_later	discount_fixed	89	66.0	71.0	1.018	20.0	n/a	larger_later	s626	False
606.074	4.0	5.044	larger_later	discount_fixed	89	71.0	176.0	1.505	20.0	n/a	larger_later	s626	False
