onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
-1.462	1.0	-0.135	0.9	2.272	True	89.0	Color	n/a	twobytwo	89.0	0.427	blue	8.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
1.716	1.0	3.019	0.9	2.136	True	89.0	Magnitude	n/a	twobytwo	89.0	0.403	orange	2.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
4.757	1.0	6.039	0.9	2.272	True	71.0	Magnitude	stay	twobytwo	71.0	0.382	orange	9.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s561	0	False
7.138	1.0	8.041	0.1	2.0	True	71.0	Color	n/a	twobytwo	71.0	0.803	orange	4.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
9.243	1.0	9.871	0.1	2.816	True	71.0	Color	stay	twobytwo	71.0	0.528	orange	3.0	cue_stay	color	stay	stim	poldrack-single-stim	s561	0	False
12.964	1.0	14.344	0.9	2.408	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.48	orange	2.0	cue_switch	color	stay	stim	poldrack-single-stim	s561	0	False
15.479	1.0	16.234	0.1	2.0	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.655	orange	7.0	cue_stay	color	stay	stim	poldrack-single-stim	s561	0	False
18.385	1.0	19.703	0.9	2.544	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.418	orange	6.0	cue_stay	color	stay	stim	poldrack-single-stim	s561	0	False
21.833	1.0	23.14	0.9	2.136	True	89.0	Magnitude	n/a	twobytwo	89.0	0.407	orange	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
24.077	1.0	24.905	0.1	2.0	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.728	blue	6.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
26.983	1.0	28.228	0.9	2.0	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.345	blue	4.0	cue_stay	color	stay	stim	poldrack-single-stim	s561	0	False
29.088	1.0	30.233	0.1	2.136	True	89.0	Color	switch	twobytwo	89.0	1.045	blue	1.0	cue_switch	color	stay	stim	poldrack-single-stim	s561	0	False
32.132	1.0	33.395	0.9	2.136	True	71.0	Color	stay	twobytwo	71.0	0.363	orange	3.0	cue_stay	color	stay	stim	poldrack-single-stim	s561	0	False
34.374	1.0	35.316	0.1	2.272	True	71.0	Magnitude	n/a	twobytwo	71.0	0.842	orange	7.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
37.557	1.0	38.938	0.9	3.224	True	89.0	High-Low	switch	twobytwo	89.0	0.481	blue	3.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s561	0	False
41.688	1.0	43.107	0.9	2.0	True	89.0	Magnitude	switch	twobytwo	89.0	0.519	blue	3.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s561	0	False
43.795	1.0	44.462	0.1	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.567	blue	2.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
45.901	1.0	46.659	0.1	2.272	True	71.0	High-Low	n/a	twobytwo	71.0	0.658	orange	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
48.278	1.0	48.918	0.1	2.136	True	71.0	Color	n/a	twobytwo	71.0	0.54	orange	3.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
50.52	1.0	51.272	0.1	2.0	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.652	blue	3.0	cue_switch	color	stay	stim	poldrack-single-stim	s561	0	False
53.424	1.0	54.76	0.9	2.0	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.436	blue	4.0	cue_stay	color	stay	stim	poldrack-single-stim	s561	0	False
56.33	1.0	57.642	0.9	2.0	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.412	blue	9.0	cue_stay	color	stay	stim	poldrack-single-stim	s561	0	False
58.436	1.0	59.116	0.1	2.68	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.58	orange	3.0	cue_stay	color	stay	stim	poldrack-single-stim	s561	0	False
61.225	1.0	61.999	0.1	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	0.674	blue	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
63.331	1.0	64.096	0.1	2.272	True	89.0	Color	n/a	twobytwo	89.0	0.665	blue	1.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
65.71	1.0	66.382	0.1	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	0.572	orange	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
67.817	1.0	68.638	0.1	2.272	True	71.0	Magnitude	switch	twobytwo	71.0	0.721	blue	6.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s561	0	False
70.993	1.0	72.38	0.9	2.952	True	89.0	High-Low	switch	twobytwo	89.0	0.487	blue	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s561	0	False
74.052	1.0	74.84	0.1	2.0	True	71.0	Color	n/a	twobytwo	71.0	0.688	orange	1.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
76.957	1.0	78.386	0.9	2.0	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.529	blue	8.0	cue_switch	color	stay	stim	poldrack-single-stim	s561	0	False
79.863	1.0	81.313	0.9	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	0.55	orange	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
81.966	1.0	82.775	0.1	2.0	True	89.0	Magnitude	stay	twobytwo	89.0	0.709	orange	3.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s561	0	False
84.871	1.0	86.276	0.9	2.136	True	89.0	High-Low	switch	twobytwo	89.0	0.505	blue	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s561	0	False
87.114	1.0	88.02	0.1	2.0	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.806	orange	1.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
90.02	1.0	91.559	0.9	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.639	blue	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
92.927	1.0	94.325	0.9	2.0	True	71.0	High-Low	switch	twobytwo	71.0	0.498	orange	7.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s561	0	False
95.833	1.0	97.272	0.9	2.272	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.539	orange	1.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
98.21	1.0	98.879	0.1	2.136	True	89.0	Magnitude	n/a	twobytwo	89.0	0.569	orange	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
101.252	1.0	102.525	0.9	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.373	blue	2.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
103.36	1.0	104.237	0.1	2.136	True	71.0	High-Low	n/a	twobytwo	71.0	0.777	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
106.405	1.0	107.831	0.9	2.816	True	89.0	Color	n/a	twobytwo	89.0	0.526	blue	4.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
110.124	1.0	111.455	0.9	2.408	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.431	orange	8.0	cue_switch	color	stay	stim	poldrack-single-stim	s561	0	False
112.639	1.0	113.338	0.1	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.599	blue	3.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
114.746	1.0	115.551	0.1	2.136	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.705	orange	7.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
116.989	1.0	117.741	0.1	2.136	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.652	orange	8.0	cue_stay	color	stay	stim	poldrack-single-stim	s561	0	False
119.229	1.0	120.408	0.1	2.136	True	89.0	Color	switch	twobytwo	89.0	1.079	blue	8.0	cue_switch	color	stay	stim	poldrack-single-stim	s561	0	False
121.469	1.0	122.249	0.1	2.544	True	89.0	Magnitude	n/a	twobytwo	89.0	0.68	blue	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
124.92	1.0	126.243	0.9	2.136	True	89.0	Color	n/a	twobytwo	89.0	0.423	blue	8.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
127.963	1.0	129.379	0.9	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.516	blue	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s561	0	False
130.871	1.0	132.121	0.9	2.0	True	71.0	Color	n/a	twobytwo	71.0	0.35	orange	3.0	task_switch	color	switch	stim	poldrack-single-stim	s561	0	False
