onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
4.411	1.0	5.898	0.9	2.136	True	89.0	Color	switch	twobytwo	89.0	0.587	orange	1.0	cue_switch	color	stay	stim	poldrack-single-stim	s556	1	False
7.453	1.0	8.993	0.9	2.272	True	89.0	High-Low	n/a	twobytwo	89.0	0.64	blue	2.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
10.629	1.0	12.086	0.9	2.136	True	89.0	Color	n/a	twobytwo	89.0	0.557	orange	2.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
13.669	1.0	15.115	0.9	2.272	True	89.0	Color	stay	twobytwo	89.0	0.546	orange	8.0	cue_stay	color	stay	stim	poldrack-single-stim	s556	0	False
16.045	1.0	17.156	0.1	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	1.011	blue	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
18.949	1.0	21.325	0.9	2.816	True	71.0	Magnitude	stay	twobytwo	71.0	1.476	orange	8.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
22.669	1.0	24.444	0.9	2.408	True	89.0	High-Low	switch	twobytwo	89.0	0.875	orange	4.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s556	0	False
25.981	1.0	27.412	0.9	2.0	True	71.0	High-Low	stay	twobytwo	71.0	0.531	blue	7.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
28.886	1.0	30.559	0.9	2.544	True	71.0	High-Low	stay	twobytwo	71.0	0.773	orange	9.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
31.536	1.0	32.426	0.1	2.136	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.79	orange	7.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
33.776	1.0	34.729	0.1	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	0.853	orange	3.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
35.881	1.0	36.778	0.1	2.0	True	71.0	High-Low	stay	twobytwo	71.0	0.797	blue	8.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
38.785	1.0	40.343	0.9	2.136	True	71.0	Magnitude	switch	twobytwo	71.0	0.658	blue	9.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s556	0	False
41.025	1.0	41.758	0.1	2.136	True	89.0	Magnitude	stay	twobytwo	89.0	0.633	blue	2.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
44.064	1.0	45.506	0.9	2.272	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.542	orange	7.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
47.241	1.0	49.243	0.9	3.224	True	89.0	Color	switch	twobytwo	89.0	1.102	orange	6.0	cue_switch	color	stay	stim	poldrack-single-stim	s556	0	False
50.569	1.0	51.681	0.1	2.0	True	89.0	Orange-Blue	switch	twobytwo	89.0	1.012	orange	2.0	cue_switch	color	stay	stim	poldrack-single-stim	s556	0	False
52.673	1.0	53.413	0.1	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	0.64	blue	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
54.777	1.0	55.863	0.1	2.272	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.986	orange	6.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
57.154	1.0	58.293	0.1	2.136	True	71.0	High-Low	n/a	twobytwo	71.0	1.039	blue	7.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
59.396	1.0	60.61	0.1	2.0	True	89.0	Magnitude	switch	twobytwo	89.0	1.114	orange	4.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s556	0	False
61.5	1.0	62.207	0.1	2.0	True	71.0	Magnitude	stay	twobytwo	71.0	0.607	blue	9.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
64.403	1.0	66.076	0.9	2.0	True	71.0	Magnitude	stay	twobytwo	71.0	0.773	orange	6.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
66.508	1.0	67.243	0.1	2.68	True	89.0	Magnitude	stay	twobytwo	89.0	0.635	orange	2.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
70.092	1.0	71.583	0.9	2.0	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.591	orange	3.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
72.997	1.0	74.401	0.9	2.272	True	89.0	High-Low	n/a	twobytwo	89.0	0.504	orange	2.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
75.372	1.0	76.478	0.1	2.0	True	71.0	Color	n/a	twobytwo	71.0	1.006	blue	9.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
77.477	1.0	78.426	0.1	2.272	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.849	orange	8.0	cue_switch	color	stay	stim	poldrack-single-stim	s556	0	False
79.853	1.0	80.933	0.1	2.952	True	89.0	Color	switch	twobytwo	89.0	0.98	orange	7.0	cue_switch	color	stay	stim	poldrack-single-stim	s556	0	False
82.908	1.0	83.815	0.1	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.807	orange	3.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
85.813	1.0	87.299	0.9	2.0	True	71.0	High-Low	switch	twobytwo	71.0	0.586	orange	6.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s556	0	False
88.717	1.0	90.02	0.9	2.0	True	71.0	Color	n/a	twobytwo	71.0	0.403	blue	4.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
91.621	1.0	93.286	0.9	2.0	True	89.0	Color	stay	twobytwo	89.0	0.765	orange	4.0	cue_stay	color	stay	stim	poldrack-single-stim	s556	0	False
94.525	1.0	95.942	0.9	2.136	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.517	orange	3.0	cue_switch	color	stay	stim	poldrack-single-stim	s556	0	False
97.565	1.0	99.009	0.9	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	0.544	blue	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
100.471	1.0	101.862	0.9	2.0	True	71.0	Color	n/a	twobytwo	71.0	0.491	blue	7.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
102.575	1.0	103.611	0.1	2.0	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.936	orange	3.0	cue_switch	color	stay	stim	poldrack-single-stim	s556	0	False
105.48	1.0	106.858	0.9	2.272	True	71.0	High-Low	n/a	twobytwo	71.0	0.478	orange	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
107.856	1.0	108.91	0.1	2.136	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.954	blue	3.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
110.896	1.0	112.296	0.9	2.0	True	71.0	Magnitude	n/a	twobytwo	71.0	0.5	blue	7.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
113.801	1.0	115.28	0.9	2.136	True	89.0	Color	n/a	twobytwo	89.0	0.579	orange	1.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
116.84	1.0	118.258	0.9	2.816	True	89.0	High-Low	n/a	twobytwo	89.0	0.518	orange	3.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
119.761	1.0	120.775	0.1	2.408	True	71.0	Magnitude	switch	twobytwo	71.0	0.914	orange	7.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s556	0	False
122.273	1.0	123.398	0.1	2.0	True	71.0	Orange-Blue	n/a	twobytwo	71.0	1.025	blue	8.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
124.377	1.0	125.72	0.1	2.136	True	71.0	High-Low	n/a	twobytwo	71.0	1.243	blue	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
127.417	1.0	128.959	0.9	2.136	True	71.0	High-Low	stay	twobytwo	71.0	0.642	blue	8.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
130.457	1.0	131.94	0.9	2.136	True	89.0	Magnitude	switch	twobytwo	89.0	0.583	orange	4.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s556	0	False
133.497	1.0	134.925	0.9	2.544	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.528	blue	9.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
136.946	1.0	138.464	0.9	2.136	True	89.0	High-Low	n/a	twobytwo	89.0	0.618	orange	3.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
139.987	1.0	141.364	0.9	2.0	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.477	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
142.892	1.0	144.241	0.9	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.449	orange	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
145.796	1.0	148.038	0.9	2.0	True	89.0	Magnitude	stay	twobytwo	89.0	1.342	blue	4.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
147.901	1.0	148.85	0.1	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.849	orange	1.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
150.004	1.0	150.88	0.1	2.136	True	71.0	Magnitude	n/a	twobytwo	71.0	0.776	orange	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s556	0	False
152.244	1.0	153.088	0.1	2.0	True	71.0	High-Low	switch	twobytwo	71.0	0.744	orange	8.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s556	0	False
155.149	1.0	156.587	0.9	2.0	True	89.0	Magnitude	switch	twobytwo	89.0	0.538	blue	4.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s556	0	False
158.052	1.0	159.39	0.9	2.0	True	89.0	Magnitude	stay	twobytwo	89.0	0.438	orange	4.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s556	0	False
160.957	1.0	162.292	0.9	2.136	True	89.0	Color	n/a	twobytwo	89.0	0.435	orange	1.0	task_switch	color	switch	stim	poldrack-single-stim	s556	0	False
