onset	duration	block_duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_id	trial_type	worker_id	junk
3.018	4.0	5.316	smaller_sooner	discount_fixed	71	31.0	76.0	1.608	20.0	n/a	smaller_sooner	s648	False
8.34	4.0	4.568	larger_later	discount_fixed	89	43.0	19.0	1.633	20.0	n/a	larger_later	s648	False
12.914	4.0	4.636	larger_later	discount_fixed	89	60.0	124.0	1.589	20.0	n/a	larger_later	s648	False
17.553	4.0	4.908	smaller_sooner	discount_fixed	71	27.0	142.0	1.299	20.0	n/a	smaller_sooner	s648	False
22.466	4.0	4.5	smaller_sooner	discount_fixed	71	25.0	70.0	1.418	20.0	n/a	smaller_sooner	s648	False
26.97	4.0	4.976	larger_later	discount_fixed	89	44.0	92.0	0.997	20.0	n/a	larger_later	s648	False
31.952	4.0	4.908	larger_later	discount_fixed	89	41.0	27.0	1.695	20.0	n/a	larger_later	s648	False
36.866	4.0	4.568	larger_later	discount_fixed	89	64.0	89.0	0.729	20.0	n/a	larger_later	s648	False
41.44	4.0	4.5	larger_later	discount_fixed	89	78.0	108.0	0.703	20.0	n/a	larger_later	s648	False
45.944	4.0	6.2	larger_later	discount_fixed	89	80.0	145.0	0.643	20.0	n/a	larger_later	s648	False
52.147	4.0	4.704	larger_later	discount_fixed	89	41.0	174.0	1.812	20.0	n/a	larger_later	s648	False
56.856	4.0	5.044	larger_later	discount_fixed	89	42.0	145.0	1.021	20.0	n/a	larger_later	s648	False
61.905	4.0	5.044	larger_later	discount_fixed	89	36.0	114.0	2.802	20.0	n/a	larger_later	s648	False
66.954	4.0	5.18	larger_later	discount_fixed	89	58.0	55.0	1.018	20.0	n/a	larger_later	s648	False
72.138	4.0	4.976	larger_later	discount_fixed	89	81.0	58.0	0.661	20.0	n/a	larger_later	s648	False
77.119	4.0	4.772	smaller_sooner	discount_fixed	71	32.0	111.0	1.14	20.0	n/a	smaller_sooner	s648	False
81.896	4.0	4.772	smaller_sooner	discount_fixed	71	25.0	141.0	1.028	20.0	n/a	smaller_sooner	s648	False
86.671	4.0	5.18	larger_later	discount_fixed	89	67.0	23.0	0.843	20.0	n/a	larger_later	s648	False
91.854	4.0	5.18	larger_later	discount_fixed	89	77.0	161.0	0.675	20.0	n/a	larger_later	s648	False
97.038	4.0	5.248	larger_later	discount_fixed	89	55.0	163.0	0.703	20.0	n/a	larger_later	s648	False
102.292	4.0	4.568	larger_later	discount_fixed	89	40.0	159.0	1.714	20.0	n/a	larger_later	s648	False
106.864	4.0	4.5	larger_later	discount_fixed	89	76.0	161.0	0.728	20.0	n/a	larger_later	s648	False
111.367	4.0	4.908	larger_later	discount_fixed	89	48.0	128.0	1.197	20.0	n/a	larger_later	s648	False
116.28	4.0	4.568	smaller_sooner	discount_fixed	71	39.0	95.0	1.271	20.0	n/a	smaller_sooner	s648	False
120.853	4.0	6.2	larger_later	discount_fixed	89	83.0	105.0	0.741	20.0	n/a	larger_later	s648	False
127.056	4.0	4.908	larger_later	discount_fixed	89	67.0	41.0	1.176	20.0	n/a	larger_later	s648	False
131.968	4.0	5.248	larger_later	discount_fixed	89	56.0	172.0	1.578	20.0	n/a	larger_later	s648	False
137.222	4.0	5.044	smaller_sooner	discount_fixed	71	28.0	123.0	1.092	20.0	n/a	smaller_sooner	s648	False
142.267	4.0	4.636	larger_later	discount_fixed	89	50.0	129.0	1.567	20.0	n/a	larger_later	s648	False
146.907	4.0	4.704	smaller_sooner	discount_fixed	71	23.0	61.0	0.665	20.0	n/a	smaller_sooner	s648	False
151.617	4.0	4.636	larger_later	discount_fixed	89	79.0	92.0	0.68	20.0	n/a	larger_later	s648	False
156.258	4.0	4.568	larger_later	discount_fixed	89	61.0	141.0	1.156	20.0	n/a	larger_later	s648	False
160.832	4.0	4.568	larger_later	discount_fixed	89	43.0	38.0	1.502	20.0	n/a	larger_later	s648	False
165.406	4.0	4.908	larger_later	discount_fixed	89	66.0	145.0	0.622	20.0	n/a	larger_later	s648	False
170.319	4.0	4.84	smaller_sooner	discount_fixed	71	30.0	23.0	0.962	20.0	n/a	smaller_sooner	s648	False
175.163	4.0	5.248	smaller_sooner	discount_fixed	71	32.0	57.0	1.011	20.0	n/a	smaller_sooner	s648	False
180.416	4.0	4.772	smaller_sooner	discount_fixed	71	27.0	91.0	1.142	20.0	n/a	smaller_sooner	s648	False
185.193	4.0	5.996	larger_later	discount_fixed	89	43.0	120.0	2.306	20.0	n/a	larger_later	s648	False
191.195	4.0	5.588	larger_later	discount_fixed	89	75.0	60.0	0.792	20.0	n/a	larger_later	s648	False
196.789	4.0	4.568	smaller_sooner	discount_fixed	71	34.0	176.0	1.09	20.0	n/a	smaller_sooner	s648	False
201.36	4.0	5.112	smaller_sooner	discount_fixed	71	24.0	38.0	0.86	20.0	n/a	smaller_sooner	s648	False
206.475	4.0	5.656	larger_later	discount_fixed	89	82.0	74.0	0.754	20.0	n/a	larger_later	s648	False
212.136	4.0	4.568	larger_later	discount_fixed	89	58.0	53.0	0.907	20.0	n/a	larger_later	s648	False
216.709	4.0	4.772	larger_later	discount_fixed	89	54.0	23.0	1.442	20.0	n/a	larger_later	s648	False
221.487	4.0	5.044	larger_later	discount_fixed	89	41.0	55.0	1.197	20.0	n/a	larger_later	s648	False
