onset	duration	block_duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id	junk
3.512	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.711	stim	s647	False
6.12	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.608	stim	s647	False
8.727864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.546	stim	s647	False
11.335728	1.7	2.100272	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.45	stim	s647	False
13.943592	1.7	2.100408	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.501	stim	s647	False
16.552	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.557	stim	s647	False
19.159864000000002	1.7	2.100136	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.554	stim	s647	False
21.763864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.48	stim	s647	False
24.372	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.871	stim	s647	False
26.979592	1.7	2.100408	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.697	stim	s647	False
29.587456	1.7	2.1005439999999997	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.583	stim	s647	False
32.195864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.729	stim	s647	False
34.803864000000004	1.7	2.100136	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.847	stim	s647	False
37.412	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.658	stim	s647	False
40.018	1.7	2.1	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.692	stim	s647	False
42.623864000000005	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.822	stim	s647	False
45.232	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.787	stim	s647	False
47.840864	1.7	2.100136	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.525	stim	s647	False
50.448	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.736	stim	s647	False
53.053591999999995	1.7	2.100408	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.528	stim	s647	False
55.662	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.987	stim	s647	False
58.269184	1.7	2.100816	0.0	89.0	double	attention_network_task	up	left	incongruent	71	1.383	stim	s647	False
60.87532	1.7	2.1006799999999997	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.779	stim	s647	False
63.484	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.403	stim	s647	False
66.089864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.463	stim	s647	False
68.697864	1.7	2.100136	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.494	stim	s647	False
71.304864	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.623	stim	s647	False
73.912	1.7	2.1	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.623	stim	s647	False
76.519864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.603	stim	s647	False
79.126048	1.7	2.1009520000000004	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	1.186	stim	s647	False
81.733864	1.7	2.100136	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.761	stim	s647	False
84.340592	1.7	2.100408	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.773	stim	s647	False
86.947048	1.7	2.1009520000000004	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.84	stim	s647	False
89.555864	1.7	2.100136	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.665	stim	s647	False
92.161728	1.7	2.100272	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.793	stim	s647	False
94.770728	1.7	2.100272	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.794	stim	s647	False
97.378	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.846	stim	s647	False
99.985	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.714	stim	s647	False
102.591728	1.7	2.100272	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	1.193	stim	s647	False
105.2	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.883	stim	s647	False
107.808	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.673	stim	s647	False
110.414728	1.7	2.100272	1.0	71.0	double	attention_network_task	down	right	congruent	71	1.693	stim	s647	False
113.022	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.471	stim	s647	False
115.627864	1.7	2.100136	0.0	89.0	spatial	attention_network_task	down	left	congruent	71	0.497	stim	s647	False
118.23572800000001	1.7	2.100272	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.615	stim	s647	False
120.843	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.478	stim	s647	False
123.448	1.7	2.1	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.631	stim	s647	False
126.056	1.7	2.1	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.744	stim	s647	False
128.663	1.7	2.1	0.0	89.0	spatial	attention_network_task	down	left	incongruent	-1	n/a	stim	s647	False
131.27	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.587	stim	s647	False
133.878	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.542	stim	s647	False
136.485728	1.7	2.100272	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.499	stim	s647	False
139.093864	1.7	2.100136	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.53	stim	s647	False
141.70091200000002	1.7	2.1010880000000003	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.451	stim	s647	False
144.309728	1.7	2.100272	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.531	stim	s647	False
146.917864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.592	stim	s647	False
149.525864	1.7	2.100136	1.0	89.0	double	attention_network_task	up	left	congruent	89	1.144	stim	s647	False
152.134	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.495	stim	s647	False
154.74	1.7	2.1	0.0	71.0	spatial	attention_network_task	up	right	incongruent	89	1.647	stim	s647	False
157.347	1.7	2.1	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.568	stim	s647	False
159.954	1.7	2.1	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.602	stim	s647	False
162.559864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.569	stim	s647	False
165.167728	1.7	2.100272	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.596	stim	s647	False
167.773864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.533	stim	s647	False
180.889864	1.7	2.100136	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.606	stim	s647	False
183.497	1.7	2.1	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.57	stim	s647	False
186.105	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.656	stim	s647	False
188.712592	1.7	2.100408	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.506	stim	s647	False
191.320456	1.7	2.1005439999999997	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.533	stim	s647	False
193.927592	1.7	2.100408	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.564	stim	s647	False
196.535	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.475	stim	s647	False
199.142592	1.7	2.100408	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.469	stim	s647	False
201.752	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.583	stim	s647	False
204.35859200000002	1.7	2.100408	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.903	stim	s647	False
206.967	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.568	stim	s647	False
209.574	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	1.082	stim	s647	False
212.179592	1.7	2.100408	0.0	71.0	spatial	attention_network_task	up	right	incongruent	89	0.463	stim	s647	False
214.786864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.7	stim	s647	False
217.39472800000001	1.7	2.100272	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.693	stim	s647	False
220.002456	1.7	2.1005439999999997	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.769	stim	s647	False
222.610728	1.7	2.100272	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.579	stim	s647	False
225.219	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.545	stim	s647	False
227.824592	1.7	2.100408	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.931	stim	s647	False
230.433	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.624	stim	s647	False
233.041	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.678	stim	s647	False
235.647456	1.7	2.1005439999999997	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.692	stim	s647	False
238.254592	1.7	2.100408	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.643	stim	s647	False
240.863	1.7	2.1	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.66	stim	s647	False
243.469864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.712	stim	s647	False
246.076184	1.7	2.100816	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	1.278	stim	s647	False
