onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
3.618	1.0	4.513	0.1	3.224	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.795	blue	8.0	cue_stay	color	stay	stim	poldrack-single-stim	s611	1	False
6.954	1.0	7.702	0.1	2.408	True	71.0	Magnitude	n/a	twobytwo	71.0	0.648	orange	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s611	0	False
10.267	1.0	11.725	0.9	2.816	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.558	orange	6.0	task_switch	color	switch	stim	poldrack-single-stim	s611	0	False
13.991	1.0	15.454	0.9	2.408	True	71.0	Magnitude	n/a	twobytwo	71.0	0.563	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s611	0	False
16.503	1.0	17.454	0.1	2.136	True	89.0	Color	n/a	twobytwo	89.0	0.851	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s611	0	False
19.549	1.0	20.793	0.9	2.136	True	71.0	Color	stay	twobytwo	71.0	0.344	blue	8.0	cue_stay	color	stay	stim	poldrack-single-stim	s611	0	False
21.791	1.0	22.577	0.1	2.0	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.686	blue	9.0	cue_switch	color	stay	stim	poldrack-single-stim	s611	0	False
23.897	1.0	24.702	0.1	2.0	True	89.0	Color	switch	twobytwo	89.0	0.705	orange	4.0	cue_switch	color	stay	stim	poldrack-single-stim	s611	0	False
26.805	1.0	28.083	0.9	2.272	True	71.0	High-Low	n/a	twobytwo	71.0	0.378	blue	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s611	0	False
29.186	1.0	30.201	0.1	2.408	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.915	blue	8.0	task_switch	color	switch	stim	poldrack-single-stim	s611	0	False
32.501	1.0	33.922	0.9	2.0	True	89.0	High-Low	n/a	twobytwo	89.0	0.521	orange	2.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s611	0	False
35.405	1.0	36.773	0.9	2.136	True	89.0	Magnitude	switch	twobytwo	89.0	0.468	blue	1.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s611	0	False
38.447	1.0	39.748	0.9	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.401	orange	2.0	task_switch	color	switch	stim	poldrack-single-stim	s611	0	False
