onset	duration	block_duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id	junk
3.510048	1.7	2.1009520000000004	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.728	stim	s465	False
6.116864	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.585	stim	s465	False
8.721727999999999	1.7	2.100272	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.645	stim	s465	False
11.327727999999999	1.7	2.100272	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.513	stim	s465	False
13.934	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.569	stim	s465	False
16.542	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.516	stim	s465	False
19.148728	1.7	2.100272	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.542	stim	s465	False
21.755	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.575	stim	s465	False
24.361	1.7	2.1	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.506	stim	s465	False
26.968728	1.7	2.100272	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.568	stim	s465	False
29.578	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.435	stim	s465	False
32.183864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.524	stim	s465	False
34.790728	1.7	2.100272	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.506	stim	s465	False
37.397	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.47	stim	s465	False
40.002	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.817	stim	s465	False
42.607	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.422	stim	s465	False
45.212	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.555	stim	s465	False
47.819	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.472	stim	s465	False
50.425	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.475	stim	s465	False
53.031728	1.7	2.100272	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.378	stim	s465	False
55.636864	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.583	stim	s465	False
58.242912	1.7	2.1010880000000003	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.404	stim	s465	False
60.850728000000004	1.7	2.100272	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.476	stim	s465	False
63.456864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.488	stim	s465	False
66.066864	1.7	2.100136	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.495	stim	s465	False
68.673	1.7	2.1	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.47	stim	s465	False
71.278	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.373	stim	s465	False
73.883	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.421	stim	s465	False
76.489	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.464	stim	s465	False
79.095864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.467	stim	s465	False
81.70272800000001	1.7	2.100272	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.535	stim	s465	False
84.310864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.442	stim	s465	False
86.915864	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.347	stim	s465	False
89.522	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.448	stim	s465	False
92.127	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.384	stim	s465	False
94.73259200000001	1.7	2.100408	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.399	stim	s465	False
97.337456	1.7	2.1005439999999997	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.517	stim	s465	False
99.94359200000001	1.7	2.100408	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.378	stim	s465	False
102.551	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.512	stim	s465	False
105.156592	1.7	2.100408	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.463	stim	s465	False
107.763	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.598	stim	s465	False
110.367592	1.7	2.100408	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.422	stim	s465	False
112.974	1.7	2.1	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.478	stim	s465	False
