onset	duration	SS_delay	block_duration	correct	correct_response	experiment_exp_id	key_press	passed_check	response_time	stopped	trial_id	trial_type	worker_id	junk
3.019	0.85	0.3	2.522	1.0	89.0	stop_signal	89.0	True	1.373	False	stim	go	s553	False
5.547	0.85	0.3	2.25	1.0	89.0	stop_signal	89.0	True	0.719	False	stim	go	s553	False
7.8	0.85	0.3	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
10.054	0.85	0.35	2.25	1.0	71.0	stop_signal	71.0	True	0.432	False	stim	go	s553	False
12.31	0.85	0.35	2.25	1.0	71.0	stop_signal	71.0	True	0.536	False	stim	go	s553	False
14.566	0.85	0.35	2.386	1.0	71.0	stop_signal	71.0	True	0.437	False	stim	go	s553	False
16.955	0.85	0.35	2.25	1.0	89.0	stop_signal	89.0	True	0.462	False	stim	go	s553	False
19.212	0.85	0.35	2.25	1.0	71.0	stop_signal	71.0	True	0.528	False	stim	stop_failure	s553	False
21.467	0.85	0.3	2.25	1.0	71.0	stop_signal	71.0	True	0.885	False	stim	go	s553	False
23.723	0.85	0.3	2.25	1.0	89.0	stop_signal	89.0	True	1.002	False	stim	stop_failure	s553	False
25.98	0.85	0.25	2.522	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
28.506	0.85	0.3	2.386	1.0	89.0	stop_signal	89.0	True	0.616	False	stim	go	s553	False
30.899	0.85	0.3	2.522	1.0	71.0	stop_signal	71.0	True	0.555	False	stim	go	s553	False
33.425	0.85	0.3	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
35.681	0.85	0.35	2.386	1.0	71.0	stop_signal	71.0	True	0.442	False	stim	go	s553	False
38.073	0.85	0.35	2.386	1.0	71.0	stop_signal	71.0	True	0.382	False	stim	go	s553	False
40.465	0.85	0.35	2.25	1.0	89.0	stop_signal	89.0	True	0.512	False	stim	go	s553	False
42.719	0.85	0.35	2.386	1.0	71.0	stop_signal	71.0	True	0.592	False	stim	go	s553	False
45.108	0.85	0.35	2.386	1.0	89.0	stop_signal	89.0	True	0.688	False	stim	go	s553	False
47.498	0.85	0.35	2.386	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
49.886	0.85	0.4	2.658	1.0	89.0	stop_signal	89.0	True	0.491	False	stim	go	s553	False
52.546	0.85	0.4	2.522	1.0	71.0	stop_signal	71.0	True	0.898	False	stim	go	s553	False
55.074	0.85	0.4	2.25	1.0	71.0	stop_signal	71.0	True	0.416	False	stim	stop_failure	s553	False
57.331	0.85	0.35	2.93	1.0	71.0	stop_signal	71.0	True	0.664	False	stim	stop_failure	s553	False
60.263	0.85	0.3	2.25	1.0	71.0	stop_signal	71.0	True	0.654	False	stim	go	s553	False
62.517	0.85	0.3	2.522	1.0	89.0	stop_signal	89.0	True	0.603	False	stim	go	s553	False
65.042	0.85	0.3	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
67.298	0.85	0.35	2.25	1.0	89.0	stop_signal	89.0	True	0.719	False	stim	go	s553	False
69.552	0.85	0.35	2.25	1.0	89.0	stop_signal	89.0	True	0.58	False	stim	go	s553	False
71.807	0.85	0.35	2.25	1.0	71.0	stop_signal	71.0	True	0.541	False	stim	go	s553	False
74.97	0.85	0.35	2.522	1.0	71.0	stop_signal	71.0	True	0.557	False	stim	go	s553	False
77.498	0.85	0.35	3.066	1.0	71.0	stop_signal	71.0	True	0.447	False	stim	stop_failure	s553	False
80.57	0.85	0.3	2.25	1.0	89.0	stop_signal	89.0	True	0.55	False	stim	stop_failure	s553	False
82.823	0.85	0.25	2.386	1.0	71.0	stop_signal	71.0	True	0.503	False	stim	go	s553	False
85.213	0.85	0.25	2.386	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
87.605	0.85	0.3	2.522	1.0	71.0	stop_signal	71.0	True	0.544	False	stim	go	s553	False
90.131	0.85	0.3	2.386	1.0	89.0	stop_signal	89.0	True	0.787	False	stim	go	s553	False
92.52	0.85	0.3	2.386	1.0	89.0	stop_signal	89.0	True	0.788	False	stim	go	s553	False
94.91	0.85	0.3	2.794	1.0	71.0	stop_signal	71.0	True	0.501	False	stim	stop_failure	s553	False
97.71	0.85	0.25	2.386	1.0	89.0	stop_signal	89.0	True	0.618	False	stim	go	s553	False
100.102	0.85	0.25	2.25	1.0	89.0	stop_signal	89.0	True	0.441	False	stim	stop_failure	s553	False
112.87	0.85	0.2	2.522	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
115.396	0.85	0.25	2.386	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
117.785	0.85	0.3	2.386	1.0	71.0	stop_signal	71.0	True	0.449	False	stim	go	s553	False
120.177	0.85	0.3	2.25	1.0	71.0	stop_signal	71.0	True	0.383	False	stim	stop_failure	s553	False
122.431	0.85	0.25	2.386	1.0	71.0	stop_signal	71.0	True	0.619	False	stim	go	s553	False
124.823	0.85	0.25	2.25	1.0	71.0	stop_signal	71.0	True	0.57	False	stim	go	s553	False
127.079	0.85	0.25	2.25	1.0	89.0	stop_signal	89.0	True	0.44	False	stim	stop_failure	s553	False
129.334	0.85	0.2	2.25	1.0	89.0	stop_signal	89.0	True	0.434	False	stim	go	s553	False
131.587	0.85	0.2	2.386	1.0	71.0	stop_signal	71.0	True	0.688	False	stim	go	s553	False
133.977	0.85	0.2	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
136.231	0.85	0.25	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
138.484	0.85	0.3	2.386	1.0	89.0	stop_signal	89.0	True	0.495	False	stim	stop_failure	s553	False
140.874	0.85	0.25	2.386	0.0	89.0	stop_signal	71.0	True	0.447	False	stim	stop_failure	s553	False
143.266	0.85	0.2	2.25	1.0	71.0	stop_signal	71.0	True	0.709	False	stim	go	s553	False
145.522	0.85	0.2	2.522	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
148.05	0.85	0.25	2.25	1.0	89.0	stop_signal	89.0	True	0.433	False	stim	go	s553	False
150.303	0.85	0.25	2.386	1.0	89.0	stop_signal	89.0	True	0.79	False	stim	go	s553	False
152.695	0.85	0.25	2.25	1.0	89.0	stop_signal	89.0	True	0.604	False	stim	go	s553	False
154.952	0.85	0.25	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
157.205	0.85	0.3	2.386	1.0	71.0	stop_signal	71.0	True	0.436	False	stim	go	s553	False
159.597	0.85	0.3	2.522	1.0	89.0	stop_signal	89.0	True	0.693	False	stim	go	s553	False
162.123	0.85	0.3	2.386	1.0	89.0	stop_signal	89.0	True	0.641	False	stim	go	s553	False
164.515	0.85	0.3	2.522	1.0	71.0	stop_signal	71.0	True	0.777	False	stim	go	s553	False
167.039	0.85	0.3	2.93	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s553	False
169.976	0.85	0.35	2.522	1.0	71.0	stop_signal	71.0	True	1.0	False	stim	go	s553	False
172.503	0.85	0.35	2.522	1.0	89.0	stop_signal	89.0	True	0.601	False	stim	go	s553	False
175.027	0.85	0.35	2.25	1.0	89.0	stop_signal	89.0	True	0.759	False	stim	go	s553	False
177.283	0.85	0.35	2.522	1.0	71.0	stop_signal	71.0	True	0.565	False	stim	stop_failure	s553	False
179.808	0.85	0.3	2.386	1.0	71.0	stop_signal	71.0	True	0.615	False	stim	go	s553	False
182.2	0.85	0.3	2.25	1.0	89.0	stop_signal	89.0	True	1.024	False	stim	go	s553	False
184.454	0.85	0.3	2.386	1.0	71.0	stop_signal	71.0	True	0.48	False	stim	go	s553	False
186.846	0.85	0.3	2.25	1.0	71.0	stop_signal	71.0	True	0.495	False	stim	go	s553	False
189.099	0.85	0.3	2.386	1.0	71.0	stop_signal	71.0	True	0.438	False	stim	stop_failure	s553	False
191.491	0.85	0.25	2.522	1.0	89.0	stop_signal	89.0	True	0.587	False	stim	go	s553	False
194.018	0.85	0.25	2.25	1.0	89.0	stop_signal	89.0	True	0.495	False	stim	stop_failure	s553	False
